,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-64,2,-65,21,-63,3,-63,3,-64,2,-62,4,-62,6,-63,4,-79,25,-60,6,-62,21,-60,7,-61,6,-64,2,-59,9,-62,4,-63,3,-64,2,-70,9
1,-64,2,-126,39,-63,3,-63,3,-64,2,-62,4,-62,6,-63,4,-90,29,-60,6,-62,22,-60,7,-61,6,-64,2,-59,9,-62,4,-63,3,-64,2,-70,9
2,-64,2,-136,43,-63,3,-63,3,-64,2,-62,4,-62,6,-63,4,-109,34,-60,6,-90,41,-60,7,-61,6,-64,2,-63,12,-62,4,-63,3,-64,2,-73,9
3,-64,2,-137,43,-63,3,-63,3,-64,2,-62,4,-62,6,-63,4,-113,34,-60,6,-160,59,-60,7,-61,6,-64,2,-64,12,-62,4,-63,3,-64,2,-73,10
4,-64,2,-148,45,-63,3,-63,3,-64,2,-62,4,-62,6,-63,4,-116,34,-60,6,-226,70,-60,8,-61,6,-64,2,-64,12,-62,4,-63,3,-64,2,-74,10
5,-64,2,-159,48,-63,3,-63,3,-64,2,-62,4,-64,6,-63,4,-117,34,-60,6,-289,77,-60,8,-61,6,-64,2,-69,14,-62,4,-63,3,-64,2,-75,10
6,-64,2,-165,48,-63,3,-63,3,-64,2,-63,4,-64,6,-63,4,-117,34,-60,6,-358,86,-64,8,-61,6,-64,2,-72,15,-62,4,-63,3,-64,2,-76,11
7,-64,2,-201,52,-63,3,-63,3,-64,2,-63,4,-64,6,-63,4,-117,34,-60,6,-407,88,-64,8,-61,6,-64,2,-73,15,-63,4,-63,3,-64,2,-78,11
8,-64,2,-273,54,-63,3,-63,3,-64,2,-64,7,-64,6,-63,4,-127,37,-60,6,-407,88,-64,8,-61,7,-64,2,-74,15,-63,4,-63,3,-64,2,-80,11
9,-64,2,-288,55,-63,3,-63,3,-64,2,-65,7,-64,6,-63,4,-130,37,-60,6,-477,89,-64,8,-64,7,-64,2,-74,15,-63,4,-63,3,-64,2,-80,12
10,-64,2,-357,57,-63,3,-63,3,-64,2,-66,7,-64,6,-63,4,-137,38,-60,6,-487,89,-64,8,-64,8,-64,2,-75,15,-63,4,-63,3,-64,2,-83,12
11,-64,2,-439,59,-63,3,-63,3,-64,3,-66,7,-64,6,-63,4,-137,38,-60,6,-490,89,-64,8,-64,8,-64,2,-75,15,-63,4,-63,3,-71,2,-83,12
12,-64,2,-507,72,-63,3,-63,3,-64,3,-66,7,-64,6,-63,4,-137,38,-61,10,-491,89,-68,10,-64,8,-64,2,-76,16,-63,4,-63,3,-71,2,-83,12
13,-64,2,-508,72,-63,3,-63,3,-64,3,-66,7,-64,6,-68,4,-145,39,-100,25,-491,89,-75,13,-67,8,-64,2,-88,17,-63,4,-63,3,-71,2,-83,12
