,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-69,3,-69,26,-64,8,-70,2,-68,4,-67,6,-72,11,-76,12,-63,9,-66,6,-75,37,-68,4,-68,6,-70,2,-64,8,-68,4,-69,3,-71,3,-69,3
1,-69,3,-93,34,-64,8,-70,2,-68,4,-67,6,-72,11,-76,12,-63,9,-66,6,-122,53,-68,4,-68,6,-70,2,-64,8,-68,4,-69,3,-71,3,-69,3
2,-69,3,-113,47,-64,8,-70,2,-68,4,-67,6,-72,11,-76,12,-63,9,-66,6,-177,60,-68,4,-68,6,-70,2,-64,8,-68,4,-69,3,-71,3,-69,3
3,-69,3,-160,53,-64,8,-70,2,-68,4,-67,6,-72,11,-76,12,-63,9,-66,6,-215,64,-68,4,-68,6,-70,2,-64,8,-68,4,-69,3,-71,3,-69,3
4,-70,3,-212,59,-64,8,-70,2,-68,4,-67,6,-72,11,-76,12,-63,9,-66,6,-250,65,-68,4,-68,6,-70,2,-64,8,-68,4,-69,3,-71,3,-69,3
5,-71,3,-257,61,-64,8,-70,2,-68,4,-67,6,-72,11,-76,12,-63,9,-67,6,-289,69,-68,4,-70,7,-70,2,-64,8,-68,4,-69,3,-71,3,-69,3
6,-73,3,-285,63,-64,8,-70,2,-68,4,-67,7,-73,15,-76,12,-63,9,-67,6,-340,73,-68,4,-70,7,-70,2,-64,8,-69,4,-69,3,-72,3,-69,3
7,-73,3,-285,63,-64,8,-70,2,-68,4,-67,7,-75,15,-76,12,-63,9,-67,6,-422,82,-68,4,-70,8,-70,2,-64,8,-70,4,-69,3,-72,3,-69,3
8,-73,3,-311,64,-64,8,-70,2,-68,4,-67,7,-81,15,-76,12,-63,9,-67,6,-480,85,-68,4,-70,8,-70,2,-64,8,-70,5,-69,3,-72,3,-69,3
9,-75,3,-391,66,-64,9,-70,2,-68,4,-69,8,-81,15,-76,13,-63,9,-67,6,-485,86,-68,4,-70,8,-70,2,-64,8,-70,5,-69,3,-72,3,-69,3
10,-75,3,-459,66,-75,14,-70,2,-68,4,-69,8,-81,15,-80,14,-63,9,-67,6,-491,86,-68,4,-70,8,-70,2,-64,8,-70,5,-69,3,-72,3,-69,3
11,-75,3,-507,69,-95,24,-70,2,-68,4,-70,8,-86,17,-81,16,-63,9,-67,6,-494,86,-68,4,-70,8,-70,2,-64,8,-70,5,-69,3,-72,3,-69,3
