,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-159,5,-61,8,-65,4,-66,3,-63,6,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
1,-224,8,-82,14,-65,4,-66,3,-63,6,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
2,-224,8,-156,35,-65,4,-66,3,-63,6,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
3,-224,8,-186,46,-110,13,-66,3,-63,6,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
4,-224,8,-186,46,-195,23,-66,3,-63,6,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
5,-224,8,-186,46,-208,24,-146,4,-63,6,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
6,-224,8,-186,46,-208,24,-228,4,-73,9,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
7,-224,8,-186,46,-208,24,-228,4,-166,11,-67,2,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
8,-224,8,-186,46,-208,24,-228,4,-220,12,-105,4,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
9,-224,8,-186,46,-208,24,-228,4,-220,12,-199,5,-60,9,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
10,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-120,16,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
11,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-208,23,-66,3,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
12,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-151,12,-60,9,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
13,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-84,11,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
14,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-164,26,-60,9,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
15,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-107,15,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
16,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-188,29,-51,18,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
17,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-201,31,-112,37,-65,4,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
18,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-201,31,-177,55,-76,5,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
19,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-201,31,-177,55,-164,12,-64,5,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
20,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-201,31,-177,55,-217,15,-95,13,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
21,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-201,31,-177,55,-217,15,-184,19,-67,2,-63,6,-64,5,-67,2,-66,3,-64,5
22,-224,8,-186,46,-208,24,-228,4,-220,12,-226,6,-209,23,-214,18,-200,32,-201,31,-177,55,-217,15,-212,20,-130,5,-63,6,-64,5,-67,2,-66,3,-64,5
