,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24
0,-98,7,-95,2,-134,78,-90,7,-95,2,-94,3,-95,2,-95,2,-96,2,-95,2,-92,6,-94,3,-94,13,-95,3,-93,12,-93,19,-94,3,-97,7,-95,10,-95,2,-103,4,-94,3,-139,18,-93,4,-95,8
1,-98,7,-95,2,-236,176,-90,7,-95,2,-94,3,-95,2,-95,2,-96,2,-95,2,-97,6,-94,3,-98,17,-95,3,-93,12,-96,22,-94,3,-97,7,-101,13,-95,2,-105,4,-94,3,-141,27,-93,4,-102,10
2,-98,7,-95,2,-433,190,-90,7,-95,2,-94,3,-95,2,-95,2,-96,2,-95,2,-97,6,-94,3,-111,19,-95,3,-93,12,-96,22,-94,3,-97,7,-101,13,-95,2,-105,4,-94,3,-148,44,-93,4,-102,10
3,-99,8,-95,2,-472,226,-90,7,-95,2,-94,3,-95,2,-95,2,-96,2,-95,2,-97,7,-94,3,-129,25,-95,3,-97,13,-114,34,-94,3,-97,8,-110,22,-95,2,-105,4,-95,3,-195,64,-93,4,-127,11
4,-109,10,-95,2,-487,226,-92,15,-95,2,-94,3,-95,2,-95,2,-96,2,-95,2,-97,7,-94,3,-142,27,-97,4,-104,18,-147,56,-94,3,-98,8,-136,31,-95,2,-106,4,-95,3,-277,67,-93,5,-131,12
5,-109,10,-95,2,-487,226,-95,15,-95,2,-98,3,-95,2,-95,2,-96,2,-95,2,-97,7,-94,3,-142,27,-97,5,-113,18,-334,91,-94,3,-98,8,-141,32,-95,2,-106,4,-95,3,-279,67,-93,5,-132,14
6,-138,14,-98,2,-492,226,-106,35,-95,2,-99,3,-95,2,-95,2,-96,2,-95,2,-122,8,-97,3,-145,27,-100,5,-123,32,-349,102,-94,3,-104,8,-180,33,-95,2,-106,4,-99,4,-280,68,-102,16,-135,30
7,-138,14,-98,2,-492,226,-297,87,-95,2,-99,3,-95,2,-95,2,-96,2,-95,2,-122,8,-97,3,-145,27,-100,6,-123,32,-352,102,-94,3,-104,8,-180,33,-95,2,-106,4,-99,4,-280,68,-102,16,-138,30
8,-138,14,-98,2,-527,226,-454,92,-95,2,-99,3,-95,2,-95,2,-96,2,-95,2,-122,8,-97,3,-145,27,-103,7,-132,34,-356,105,-94,8,-104,8,-180,33,-95,2,-106,4,-99,4,-280,68,-120,20,-142,30
9,-147,20,-103,3,-547,227,-523,92,-95,2,-99,3,-95,2,-95,2,-96,2,-95,2,-122,8,-100,3,-145,27,-147,7,-167,38,-356,105,-100,9,-104,8,-180,33,-95,2,-106,4,-101,4,-292,68,-148,23,-143,30
10,-172,37,-103,4,-585,229,-632,96,-95,2,-100,3,-95,2,-95,2,-99,2,-95,2,-122,8,-100,3,-145,28,-147,7,-173,41,-364,108,-105,11,-107,8,-180,33,-95,2,-106,11,-101,4,-301,69,-150,23,-143,30
11,-178,62,-103,4,-641,240,-772,108,-95,2,-100,3,-95,2,-95,2,-99,2,-95,2,-122,8,-100,3,-145,28,-147,7,-173,41,-364,108,-105,11,-107,8,-180,33,-95,2,-106,11,-101,4,-301,69,-150,23,-143,30
12,-405,83,-103,4,-641,240,-772,109,-95,2,-100,3,-95,2,-95,2,-99,2,-95,2,-122,8,-100,3,-145,28,-147,7,-173,41,-365,108,-105,11,-107,8,-180,33,-95,2,-106,11,-101,4,-301,69,-150,23,-143,30
13,-630,86,-103,4,-641,240,-772,109,-95,2,-100,3,-95,2,-95,2,-99,2,-95,2,-122,8,-100,3,-145,28,-147,7,-174,41,-366,108,-105,12,-107,8,-180,33,-95,2,-122,13,-101,4,-302,69,-150,23,-143,30
14,-784,97,-149,4,-641,240,-772,109,-95,2,-100,3,-95,2,-95,2,-99,2,-95,2,-122,8,-100,3,-145,28,-148,7,-175,42,-370,108,-115,12,-110,9,-180,33,-95,2,-122,16,-101,4,-317,69,-150,23,-143,30
15,-784,97,-149,4,-641,240,-772,109,-98,2,-104,3,-98,2,-95,2,-101,3,-98,2,-122,8,-108,3,-156,28,-148,7,-199,43,-438,115,-115,12,-138,9,-181,33,-98,2,-140,24,-106,4,-366,69,-150,23,-145,31
16,-784,97,-149,5,-641,240,-772,109,-98,2,-104,3,-98,2,-99,2,-109,3,-98,2,-122,9,-108,3,-158,28,-148,7,-207,45,-463,116,-138,12,-138,9,-181,33,-98,2,-217,28,-114,4,-450,71,-150,23,-145,31
17,-784,97,-149,5,-641,240,-772,109,-98,2,-104,3,-98,2,-99,2,-110,3,-98,2,-122,9,-108,3,-158,28,-148,7,-224,49,-464,116,-138,12,-138,9,-181,33,-98,2,-218,28,-114,4,-673,71,-150,23,-148,31
18,-784,97,-149,5,-641,240,-772,109,-100,2,-104,3,-100,2,-101,2,-110,3,-100,2,-122,9,-108,3,-178,28,-148,7,-234,51,-515,116,-138,12,-138,9,-181,33,-100,2,-220,28,-119,4,-810,71,-150,23,-161,31
19,-784,97,-149,5,-641,240,-772,109,-104,2,-124,3,-102,2,-105,2,-122,3,-105,2,-123,9,-115,4,-180,28,-148,7,-281,54,-610,119,-138,12,-143,9,-186,33,-103,2,-226,28,-129,4,-810,71,-159,23,-166,32
20,-784,97,-149,5,-641,240,-772,109,-104,2,-124,3,-103,2,-105,2,-122,3,-105,2,-133,9,-137,6,-180,28,-148,7,-304,56,-758,123,-138,12,-148,9,-216,33,-103,2,-226,28,-129,4,-810,71,-159,23,-168,33
21,-784,97,-149,5,-641,240,-772,109,-109,3,-124,3,-105,2,-117,2,-122,3,-119,2,-133,9,-166,8,-187,28,-148,7,-388,61,-758,123,-138,12,-170,9,-216,33,-107,2,-226,28,-134,4,-810,71,-180,23,-205,33
22,-784,97,-149,6,-641,240,-772,109,-168,3,-135,3,-118,2,-117,2,-122,3,-128,2,-142,9,-214,14,-203,28,-148,8,-401,61,-758,123,-139,12,-181,10,-216,33,-119,3,-226,28,-164,5,-810,71,-182,23,-210,33
23,-784,97,-149,6,-641,240,-772,109,-168,3,-152,3,-122,2,-140,2,-133,3,-134,2,-143,9,-225,20,-233,28,-149,8,-417,61,-758,123,-143,12,-193,11,-257,34,-140,3,-232,28,-171,5,-810,71,-194,23,-229,33
24,-784,97,-167,6,-641,240,-772,109,-168,3,-154,3,-130,2,-145,2,-135,3,-141,2,-161,9,-237,29,-233,28,-151,8,-449,61,-758,123,-172,13,-248,13,-267,35,-140,3,-253,29,-186,5,-810,71,-194,23,-229,33
25,-784,97,-167,6,-641,240,-772,109,-168,3,-164,4,-146,2,-153,2,-140,3,-153,2,-161,9,-292,29,-245,28,-171,8,-453,61,-758,123,-181,13,-250,13,-281,35,-176,4,-274,29,-209,5,-810,71,-194,23,-230,33
26,-784,97,-175,6,-641,240,-772,109,-169,3,-190,7,-149,2,-160,2,-155,3,-159,3,-163,9,-292,29,-246,28,-171,8,-529,62,-758,123,-221,14,-250,14,-283,35,-191,4,-280,29,-215,5,-810,71,-207,23,-246,33
27,-784,97,-175,6,-641,240,-772,109,-185,4,-229,8,-157,2,-168,2,-155,3,-181,3,-169,9,-292,29,-247,28,-171,8,-575,62,-758,123,-222,14,-265,14,-310,35,-230,9,-281,29,-215,5,-810,71,-209,23,-258,33
28,-784,97,-181,6,-641,240,-772,109,-221,4,-239,8,-170,2,-169,2,-155,3,-186,3,-174,9,-296,30,-275,28,-172,8,-583,62,-758,123,-222,14,-279,14,-320,35,-302,12,-281,29,-222,5,-810,71,-221,24,-271,33
29,-784,97,-194,6,-641,240,-772,109,-225,4,-252,8,-174,2,-184,2,-168,3,-199,3,-186,9,-304,30,-276,28,-196,8,-601,63,-758,123,-223,14,-279,14,-338,36,-308,12,-340,29,-223,5,-810,71,-243,24,-274,33
30,-784,97,-210,6,-641,240,-772,109,-228,4,-252,8,-208,2,-184,2,-174,4,-202,3,-186,9,-327,30,-300,28,-196,8,-646,63,-758,123,-223,14,-303,14,-339,36,-308,12,-377,29,-228,5,-810,71,-245,24,-299,34
31,-784,97,-210,6,-641,240,-772,109,-244,4,-258,8,-208,2,-205,2,-209,4,-229,3,-201,9,-327,30,-305,28,-196,8,-681,63,-758,123,-257,14,-303,14,-339,36,-308,12,-377,29,-262,5,-810,71,-248,24,-317,35
32,-784,97,-210,6,-641,240,-772,109,-324,4,-258,8,-213,2,-210,2,-209,4,-231,3,-205,9,-327,30,-305,28,-196,8,-801,63,-758,123,-257,14,-303,14,-340,36,-310,12,-377,29,-292,5,-810,71,-248,24,-318,35
33,-784,97,-214,6,-641,240,-772,109,-324,4,-264,8,-225,2,-223,2,-209,4,-236,3,-207,9,-328,30,-319,28,-206,8,-817,64,-758,123,-257,14,-318,15,-382,36,-346,12,-380,29,-292,5,-810,71,-262,26,-371,35
34,-784,97,-217,6,-641,240,-772,109,-324,4,-265,8,-232,2,-229,3,-209,4,-246,3,-213,9,-341,30,-319,28,-206,8,-817,64,-758,123,-257,14,-372,15,-425,36,-346,12,-402,29,-292,5,-810,71,-314,26,-403,35
35,-784,97,-227,6,-641,240,-772,109,-334,4,-275,8,-241,2,-261,4,-214,4,-274,3,-231,9,-360,30,-324,28,-218,8,-817,64,-758,123,-258,14,-372,15,-463,36,-346,12,-406,29,-303,5,-810,71,-332,26,-422,35
36,-784,97,-280,6,-641,240,-772,109,-334,4,-296,8,-241,2,-280,5,-214,4,-274,3,-252,9,-373,30,-361,29,-218,8,-817,64,-758,123,-269,14,-372,15,-506,36,-346,12,-414,29,-313,5,-810,71,-333,26,-433,35
37,-784,97,-280,6,-641,240,-772,109,-342,4,-296,8,-254,2,-290,5,-240,4,-275,3,-254,9,-374,30,-368,29,-218,8,-817,64,-758,123,-269,14,-372,15,-607,37,-346,12,-443,29,-313,5,-810,71,-365,26,-452,35
38,-784,97,-280,6,-641,240,-772,109,-342,4,-296,8,-254,2,-290,5,-240,4,-275,3,-254,9,-374,30,-368,29,-219,8,-817,64,-758,123,-269,14,-374,15,-843,38,-346,12,-453,29,-313,5,-810,71,-365,26,-452,35
39,-784,97,-280,6,-641,240,-772,109,-345,4,-296,8,-254,2,-305,5,-254,4,-277,3,-254,9,-408,30,-368,29,-235,8,-817,64,-758,123,-318,14,-383,15,-843,38,-352,12,-476,29,-334,5,-810,71,-407,26,-468,35
40,-784,97,-280,6,-641,240,-772,109,-356,4,-297,8,-261,2,-347,5,-254,4,-291,3,-259,9,-432,30,-391,29,-246,8,-817,64,-758,123,-318,14,-383,15,-843,38,-408,12,-495,29,-334,5,-810,71,-420,26,-492,35
41,-784,97,-331,6,-641,240,-772,109,-356,4,-321,8,-261,2,-347,5,-254,4,-293,3,-259,9,-432,30,-444,29,-246,8,-817,64,-758,123,-318,14,-424,17,-843,38,-408,12,-556,29,-334,5,-810,71,-420,26,-508,35
42,-784,97,-331,6,-641,240,-772,109,-360,4,-321,8,-268,2,-347,5,-258,4,-297,3,-260,9,-432,30,-449,29,-248,8,-817,64,-758,123,-318,14,-432,17,-843,38,-408,12,-666,30,-334,5,-810,71,-435,26,-596,36
43,-784,97,-331,6,-641,240,-772,109,-360,4,-321,8,-268,2,-347,5,-258,4,-297,3,-260,9,-433,30,-449,29,-248,8,-817,64,-758,123,-318,14,-432,17,-843,38,-408,12,-849,32,-339,5,-810,71,-435,26,-655,36
44,-784,97,-331,6,-641,240,-772,109,-362,4,-321,8,-268,2,-347,5,-258,4,-300,3,-262,9,-434,30,-479,32,-251,8,-817,64,-758,123,-318,14,-435,17,-843,38,-408,12,-849,32,-339,5,-810,71,-464,26,-829,36
45,-784,97,-331,6,-641,240,-772,109,-373,4,-322,8,-277,2,-347,5,-258,4,-302,3,-269,9,-475,30,-582,37,-252,8,-817,64,-758,123,-318,14,-471,19,-843,38,-408,12,-849,32,-339,5,-810,71,-480,26,-841,40
46,-784,97,-331,6,-641,240,-772,109,-373,4,-322,8,-277,2,-347,5,-258,4,-302,3,-269,9,-475,30,-823,44,-252,8,-817,64,-758,123,-318,14,-473,19,-843,38,-408,12,-849,32,-339,5,-810,71,-480,26,-841,40
47,-784,97,-331,6,-641,240,-772,109,-389,4,-322,8,-294,2,-347,5,-258,4,-318,3,-270,9,-552,32,-835,46,-255,8,-817,64,-758,123,-318,14,-547,19,-843,38,-408,12,-849,32,-363,8,-810,71,-483,26,-841,40
48,-784,97,-331,6,-641,240,-772,109,-389,4,-322,8,-294,2,-347,5,-258,4,-318,3,-270,9,-679,32,-835,46,-255,8,-817,64,-758,123,-333,14,-547,19,-843,38,-408,12,-849,32,-468,11,-810,71,-483,26,-841,40
49,-784,97,-331,6,-641,240,-772,109,-389,4,-347,8,-294,2,-347,5,-264,4,-318,3,-271,9,-849,32,-835,46,-256,8,-817,64,-758,123,-333,14,-556,19,-843,38,-408,12,-849,32,-500,12,-810,71,-488,26,-841,40
50,-784,97,-333,6,-641,240,-772,109,-424,6,-347,8,-316,3,-370,5,-265,4,-352,3,-289,9,-849,32,-835,46,-276,8,-817,64,-758,123,-333,14,-556,19,-843,38,-408,12,-849,32,-523,12,-810,71,-557,26,-841,40
51,-784,97,-333,6,-641,240,-772,109,-500,13,-353,8,-378,3,-370,5,-265,4,-354,3,-310,9,-849,32,-835,46,-276,8,-817,64,-758,123,-333,14,-616,19,-843,38,-408,12,-849,32,-523,12,-810,71,-573,26,-841,40
52,-784,97,-333,6,-641,240,-772,109,-595,14,-363,8,-378,3,-370,5,-301,4,-354,3,-310,9,-849,32,-835,46,-276,8,-817,64,-758,123,-333,14,-616,19,-843,38,-408,12,-849,32,-523,12,-810,71,-680,27,-841,40
53,-784,97,-334,6,-641,240,-772,109,-600,14,-363,8,-378,3,-370,5,-303,4,-355,3,-310,9,-849,32,-835,46,-292,8,-817,64,-758,123,-335,15,-616,19,-843,38,-456,12,-849,32,-523,12,-810,71,-852,29,-841,40
54,-784,97,-370,6,-641,240,-772,109,-620,14,-363,8,-417,3,-394,5,-303,4,-380,3,-341,9,-849,32,-835,46,-343,8,-817,64,-758,123,-346,15,-620,19,-843,38,-456,12,-849,32,-532,12,-810,71,-852,29,-841,40
55,-784,97,-392,6,-641,240,-772,109,-630,14,-364,8,-417,3,-394,5,-341,5,-406,3,-390,9,-849,32,-835,46,-346,8,-817,64,-758,123,-373,15,-627,19,-843,38,-522,12,-849,32,-532,12,-810,71,-852,29,-841,40
56,-784,97,-393,6,-641,240,-772,109,-630,14,-364,8,-417,3,-421,5,-342,6,-413,3,-454,9,-849,32,-835,46,-433,8,-817,64,-758,123,-381,15,-681,19,-843,38,-522,12,-849,32,-532,12,-810,71,-852,29,-841,40
57,-784,97,-417,6,-641,240,-772,109,-632,14,-377,8,-437,3,-421,5,-398,6,-414,3,-479,9,-849,32,-835,46,-479,8,-817,64,-758,123,-412,15,-713,19,-843,38,-522,12,-849,32,-532,12,-810,71,-852,29,-841,40
58,-784,97,-420,6,-641,240,-772,109,-663,14,-457,8,-437,3,-421,5,-398,6,-419,3,-482,9,-849,32,-835,46,-480,8,-817,64,-758,123,-412,15,-713,19,-843,38,-522,12,-849,32,-659,12,-810,71,-852,29,-841,40
59,-784,97,-420,6,-641,240,-772,109,-848,14,-457,8,-481,3,-426,5,-414,6,-419,3,-482,9,-849,32,-835,46,-480,8,-817,64,-758,123,-412,15,-713,19,-843,38,-522,12,-849,32,-659,12,-810,71,-852,29,-841,40
