CVIRS,MML,Adaptive,MMC,STM,Greedy_sample,Random,Random_sample,Greedy,MASFo,Query
0.093984166,0.093984166,0.093984166,0.093984166,0.093984166,0.093984166,0.093984166,0.093984166,0.093984166,0.090358321,0.090283467
0.093492703,0.103443491,0.103558734,0.093861807,0.121811278,0.10485429,0.093623201,0.094264557,0.123792877,0.106521344,0.090283467
0.093190109,0.109074296,0.10484007,0.095545611,0.134507367,0.108197975,0.09548654,0.094952982,0.137619709,0.113011365,0.095142812
0.093036028,0.114176573,0.107236479,0.095542264,0.146606438,0.112627517,0.096451046,0.095406658,0.143864512,0.115303867,0.101927124
0.092580299,0.116183548,0.110555238,0.098466262,0.153691941,0.115599652,0.097370056,0.09565731,0.146868383,0.115427451,0.103872214
0.092294754,0.118762855,0.112488883,0.099365907,0.155411308,0.119611377,0.098924787,0.096782684,0.151273179,0.117829318,0.104293986
0.092076729,0.120025984,0.114364711,0.101668203,0.156493776,0.120660735,0.099742471,0.098111538,0.154663756,0.121318331,0.104666251
0.091512558,0.121780264,0.116074531,0.102417967,0.156033879,0.122113859,0.10034404,0.099178289,0.15791666,0.122723936,0.104666251
0.091404671,0.122647035,0.116959134,0.104301007,0.15465284,0.122791599,0.10088669,0.099034205,0.158771151,0.122866194,0.104666251
0.091162072,0.124532832,0.119077597,0.104554683,0.154876324,0.123768098,0.100621803,0.099837736,0.159773517,0.123901172,0.104666251
0.090860537,0.125427545,0.119771908,0.105236967,0.154673654,0.124733046,0.100849927,0.100769633,0.160690429,0.127205951,0.104666251
0.090860537,0.127024795,0.122139922,0.105689978,0.154533756,0.126727032,0.101280104,0.101481428,0.161218272,0.127317287,0.105145889
0.090485805,0.127930276,0.12438439,0.1058677,0.154200069,0.127086332,0.102685423,0.102554554,0.16083427,0.127052117,0.105412131
0.090309302,0.128892603,0.125758351,0.106077186,0.153617601,0.127854797,0.103226439,0.103255379,0.160785823,0.128859375,0.105768847
0.090000914,0.130233179,0.127282427,0.10583992,0.153094118,0.128484225,0.103640336,0.104253317,0.161284278,0.129312585,0.106725122
0.089939237,0.131065278,0.128632045,0.106047883,0.15137034,0.129250994,0.104261345,0.104147968,0.162210863,0.129775896,0.108229506
0.089939237,0.13301073,0.129515747,0.107722278,0.152075499,0.130479909,0.104813394,0.104631257,0.163529517,0.128795996,0.112697602
0.089858827,0.132998689,0.129760939,0.10803132,0.151560426,0.131587247,0.104526943,0.105837286,0.163406847,0.13027069,0.11372443
0.089895834,0.134721743,0.131307777,0.108854211,0.151517839,0.131968096,0.104860611,0.105902745,0.163758785,0.129445058,0.115319246
0.089895834,0.134665326,0.133192376,0.109107719,0.152469777,0.133888162,0.105669098,0.106660486,0.164689388,0.130633246,0.116426793
0.08955318,0.136262927,0.134196248,0.109742042,0.152820056,0.133309623,0.106732047,0.107686949,0.164689388,0.131874466,0.118252914
0.089498356,0.137381038,0.134938158,0.109717301,0.153327874,0.133714759,0.106748152,0.109514184,0.164817205,0.131400345,0.119660097
0.089299617,0.137980249,0.136608343,0.111050833,0.152681639,0.134083386,0.107636459,0.110796273,0.164817205,0.131400345,0.119660097
0.089070528,0.138255829,0.138434819,0.110998703,0.153164065,0.135091884,0.108621113,0.111061594,0.164887218,0.132628024,0.121913996
0.089070528,0.138329564,0.138856732,0.111721049,0.15321889,0.135949985,0.109055482,0.111963394,0.165241932,0.131624682,0.122370867
0.089070528,0.138709199,0.140844377,0.113190267,0.152929048,0.136564652,0.109159518,0.112392647,0.165100449,0.13305928,0.122255352
0.089070528,0.138761471,0.142446759,0.113693125,0.153036086,0.137320193,0.109889981,0.112654791,0.165015559,0.132812845,0.122588457
0.089022557,0.139435389,0.143832732,0.114343906,0.154203048,0.137461523,0.110055986,0.113985951,0.164759122,0.133519809,0.122482869
0.088779958,0.140715261,0.14437339,0.114848345,0.154102556,0.138155697,0.110161724,0.114618835,0.164886939,0.133867802,0.123201422
0.088699303,0.140475679,0.145469779,0.115106216,0.153818512,0.138962559,0.111497764,0.116375683,0.163745162,0.134355883,0.123379788
0.088699303,0.141362725,0.14788076,0.115660775,0.153807077,0.138669923,0.111811047,0.117314032,0.163175212,0.134624666,0.123978101
0.088699303,0.141800681,0.148317236,0.115652027,0.153480788,0.139845034,0.113088803,0.117296007,0.163175212,0.134781308,0.123568635
0.088705882,0.141781897,0.149700977,0.11675325,0.153526905,0.140675453,0.113303974,0.117731021,0.163175212,0.1349869,0.126030673
0.088693546,0.141620461,0.149998004,0.117536738,0.152893183,0.14050504,0.11314744,0.118419421,0.163175212,0.1349869,0.127738522
0.088493437,0.142376214,0.149636268,0.117794497,0.153372898,0.141348905,0.1144541,0.118258513,0.163714615,0.134882006,0.128682322
0.088493437,0.142391761,0.149526081,0.118747836,0.153430947,0.141741389,0.114508883,0.119331019,0.162979199,0.135087598,0.129310048
0.088493437,0.143071594,0.149434752,0.11936895,0.153060159,0.14285022,0.114836647,0.119318349,0.162665686,0.135345404,0.12956587
0.088493437,0.143276366,0.149721166,0.120391499,0.152862712,0.143981301,0.11615653,0.119929969,0.162665686,0.135926936,0.130825493
0.088493437,0.143352513,0.149542681,0.120700119,0.152621409,0.143777396,0.116389666,0.119853889,0.16263739,0.136718256,0.130850752
0.088493437,0.143047498,0.149905166,0.1218397,0.152536776,0.144736412,0.116462068,0.12199524,0.162695752,0.137338295,0.132069139
0.088420011,0.143317679,0.150776919,0.122164681,0.152512285,0.144771685,0.116336663,0.122813055,0.163164413,0.137622208,0.133964313
0.088420011,0.14586231,0.150562676,0.123446727,0.15237501,0.149128575,0.11692354,0.123747878,0.163035792,0.137490461,0.135837601
0.088484984,0.146344832,0.150929677,0.123400324,0.152114593,0.150160563,0.117109091,0.124225637,0.163280666,0.137931016,0.135861651
0.088464425,0.146221122,0.150871979,0.124916804,0.152088857,0.15226353,0.118897308,0.125241938,0.162343343,0.138009337,0.136688106
0.088531585,0.150009858,0.151067146,0.125069292,0.151961679,0.153056606,0.119535194,0.126185779,0.162343343,0.139096038,0.136583968
0.088859162,0.151004706,0.151613368,0.126255979,0.15170263,0.152222962,0.120715131,0.127075028,0.16180394,0.139681766,0.137955972
0.08897635,0.152055974,0.151865935,0.126563823,0.151413039,0.152207893,0.121323146,0.12789975,0.162122277,0.139681766,0.13921994
0.08933334,0.15236133,0.151614946,0.127146636,0.151373095,0.152530881,0.123622943,0.127879786,0.162195191,0.140331176,0.13941026
0.089450908,0.152210006,0.151742902,0.127894626,0.151180472,0.153083431,0.123942296,0.127881618,0.161979177,0.14077173,0.139603849
0.089612253,0.152023135,0.151186466,0.127857073,0.150763697,0.153294049,0.124667075,0.127274315,0.161827841,0.141630928,0.140000512
0.090514095,0.151316376,0.150711161,0.128593484,0.150394088,0.152830259,0.1245645,0.1278931,0.161266383,0.141630928,0.14051953
0.090483216,0.151907893,0.149831963,0.129579769,0.150320662,0.152918762,0.124880948,0.129433653,0.160659776,0.14174615,0.140990637
0.092597243,0.151711699,0.149877314,0.129950172,0.150320662,0.152778081,0.125754519,0.129018757,0.160735233,0.14174615,0.14044646
0.092778088,0.151522673,0.149975084,0.129990719,0.150552866,0.152020523,0.125352766,0.130299595,0.160685125,0.141951742,0.140617215
0.092814134,0.151200952,0.150168145,0.129811495,0.151661431,0.151683939,0.124468673,0.129747474,0.160825247,0.142392297,0.140425148
0.093461619,0.151295982,0.15067862,0.130339874,0.151870983,0.152220128,0.125166479,0.130033867,0.160671385,0.143273406,0.140506292
0.094027591,0.15150857,0.151234775,0.130186959,0.151819026,0.152430099,0.12560343,0.130856172,0.160671385,0.142392297,0.140857921
0.09434589,0.151582092,0.151005922,0.13064577,0.15143964,0.152535827,0.127749409,0.131228265,0.160598043,0.14371396,0.140867203
0.095932981,0.151611139,0.150671544,0.131535505,0.151601847,0.152703956,0.12760563,0.131973812,0.160506409,0.14371396,0.140942913
0.097747493,0.151625785,0.151209851,0.132901659,0.152025243,0.152593263,0.128392462,0.132181037,0.160506409,0.143919552,0.141230844
0.099563245,0.151914315,0.15081371,0.133007066,0.152424091,0.15252173,0.129023667,0.132575524,0.160692105,0.144078152,0.141177914
0.101019947,0.151881794,0.151403714,0.134541722,0.152635833,0.153073717,0.129020303,0.133795877,0.160692105,0.144078152,0.141233821
0.102110288,0.151755324,0.151351904,0.134003107,0.152609252,0.15350344,0.129122027,0.133378791,0.160135017,0.143480956,0.141397157
0.103442386,0.151656052,0.15128799,0.134826258,0.152609252,0.153469175,0.131018355,0.134910877,0.160162983,0.142839005,0.141499082
0.103713507,0.152009671,0.151100216,0.136030625,0.152897081,0.153403385,0.132173315,0.135202153,0.159762983,0.142839005,0.141622542
0.105082329,0.152054367,0.15102679,0.135723004,0.153064492,0.153349866,0.132167854,0.135280097,0.159449953,0.142662503,0.141689066
0.106030547,0.151852578,0.150919093,0.137112099,0.153064492,0.153062755,0.133308558,0.136455772,0.159427313,0.143259699,0.141297172
0.107444265,0.151739844,0.150970263,0.136998187,0.153190131,0.153062755,0.134138187,0.137501956,0.159449377,0.143259699,0.141359055
0.109281051,0.152311764,0.151128993,0.136797264,0.153050916,0.153080811,0.134676031,0.138099073,0.159236671,0.142819145,0.141583865
0.109439162,0.152433596,0.151130272,0.137650243,0.153160565,0.153007385,0.135297584,0.13876651,0.15876734,0.142472575,0.140892244
0.110544424,0.152731393,0.150855027,0.138244969,0.153218718,0.153531031,0.136664605,0.139515116,0.158882295,0.142472575,0.140887892
0.112059068,0.152424312,0.150942337,0.138687159,0.153386129,0.153314114,0.137186853,0.140050907,0.158838082,0.142472575,0.140938656
0.113454632,0.152744924,0.151033712,0.138318319,0.153405107,0.153228222,0.137448479,0.140064721,0.159237771,0.142472575,0.141128399
0.114682318,0.152987523,0.151206409,0.138585421,0.153618466,0.153136566,0.139138249,0.140327561,0.159350957,0.143069771,0.141236694
0.115842557,0.153712284,0.151007344,0.139007043,0.15376238,0.153288669,0.138707451,0.141028025,0.159514251,0.143069771,0.141456398
0.11740695,0.153797621,0.150925107,0.140126736,0.15376238,0.153344865,0.138970843,0.141628138,0.159481912,0.143069771,0.141534236
0.119473231,0.153730461,0.151109066,0.141506864,0.153931161,0.153637589,0.139329525,0.14181609,0.159204842,0.143069771,0.141820445
0.120092977,0.154096611,0.151442104,0.141634892,0.153664693,0.153599656,0.140069531,0.14252663,0.159134101,0.143069771,0.14217782
0.122524298,0.153890437,0.151917707,0.141982325,0.154184351,0.153259934,0.141186256,0.142975805,0.159595867,0.143069771,0.142757394
0.124751008,0.15370476,0.151792068,0.141776522,0.154018133,0.154449627,0.141987057,0.14288596,0.159509208,0.143069771,0.143075028
0.124597974,0.153814409,0.151932262,0.142135419,0.154090987,0.154721792,0.141752805,0.142636012,0.159452511,0.143069771,0.142791065
0.125018179,0.153663521,0.151954192,0.143063036,0.154180076,0.154693658,0.141693159,0.143214494,0.159581867,0.143069771,0.143333509
0.12708731,0.1536645,0.151939492,0.143744533,0.154791109,0.155202156,0.141521001,0.142724611,0.159392044,0.143069771,0.14345099
0.128806762,0.15358442,0.152456017,0.144877378,0.154752928,0.1555779,0.143244937,0.143935687,0.159392044,0.143069771,0.143595449
