CVIRS,MML,Adaptive,MMC,STM,Greedy_sample,Random,Random_sample,Greedy,MASFo,Query
7.551953125,7.48125,7.486328125,7.500390625,7.636328125,7.469140625,7.597265625,7.425,7.658266129,6.6171875,6.892939815
7.612109375,7.575390625,7.4828125,7.571484375,7.31171875,7.617578125,7.4765625,7.6625,7.669354839,6.825892857,6.858217593
7.510546875,7.43046875,7.43515625,7.410546875,7.069140625,7.398828125,7.47109375,7.530078125,7.649193548,6.865513393,6.659722222
7.471875,7.3671875,7.30078125,7.3734375,6.995703125,7.419921875,7.33046875,7.399609375,7.537298387,6.813616071,6.575810185
7.37109375,7.348046875,7.25859375,7.249609375,6.9390625,7.31328125,7.342578125,7.323046875,7.539314516,6.853794643,6.544560185
7.456640625,7.30546875,7.169921875,7.061328125,6.8796875,7.293359375,7.20078125,7.321484375,7.411290323,6.834821429,6.616898148
7.306640625,7.14375,7.086328125,6.982421875,6.827734375,7.143359375,7.0875,7.119140625,7.329637097,6.681361607,6.625578704
7.268359375,7.13125,6.944921875,6.910546875,6.7421875,7.130078125,7.105078125,7.075,7.215725806,6.704799107,6.565972222
7.262890625,7.094140625,6.89921875,6.858203125,6.647265625,7.135546875,7.104296875,7.11953125,7.148185484,6.626674107,6.460648148
7.213671875,7.03671875,6.823828125,6.78359375,6.603515625,7.0109375,6.998828125,7.04140625,7.039818548,6.577566964,6.475115741
7.29375,6.92265625,6.78203125,6.747265625,6.528515625,6.937109375,6.955859375,7.024609375,6.857862903,6.489955357,6.418402778
7.27265625,6.9359375,6.82578125,6.7515625,6.4984375,6.912890625,6.9515625,7.00390625,6.811995968,6.424665179,6.369791667
7.27109375,6.84296875,6.605078125,6.608984375,6.499609375,6.868359375,6.905859375,6.92109375,6.627520161,6.468191964,6.384837963
7.248828125,6.7640625,6.621484375,6.664453125,6.418359375,6.86171875,6.86328125,6.940234375,6.635584677,6.515625,6.306712963
7.299609375,6.70546875,6.540625,6.606640625,6.326953125,6.807421875,6.940625,6.76953125,6.55141129,6.509486607,6.244212963
7.243359375,6.718359375,6.512890625,6.61640625,6.32265625,6.803125,6.848828125,6.821875,6.477822581,6.469866071,6.110532407
7.211328125,6.596484375,6.499609375,6.548828125,6.237890625,6.685546875,6.844921875,6.75546875,6.463709677,6.363839286,6.061342593
7.23984375,6.595703125,6.444921875,6.459375,6.275390625,6.7046875,6.75546875,6.766015625,6.418850806,6.376116071,6.019675926
7.17421875,6.5375,6.386328125,6.526953125,6.209375,6.60625,6.6859375,6.743359375,6.322076613,6.325334821,5.964699074
7.22890625,6.4890625,6.334375,6.432421875,6.1171875,6.499609375,6.68203125,6.683203125,6.293850806,6.271205357,6.068865741
7.09375,6.4359375,6.291015625,6.45234375,6.2,6.528125,6.69375,6.754296875,6.3125,6.271205357,6.07349537
7.21953125,6.3671875,6.29140625,6.475,6.098828125,6.4390625,6.6375,6.725,6.261592742,6.272321429,5.91724537
7.19296875,6.349609375,6.2515625,6.430859375,6.08984375,6.43046875,6.64609375,6.602734375,6.208165323,6.198660714,5.875578704
7.22109375,6.352734375,6.223828125,6.40703125,6.104296875,6.3734375,6.57734375,6.671875,6.257056452,6.270089286,5.819444444
7.240625,6.312109375,6.2375,6.4453125,6.05703125,6.29765625,6.520703125,6.617578125,6.182459677,6.194196429,5.710648148
7.234765625,6.283203125,6.187109375,6.407421875,6.054296875,6.287109375,6.553125,6.60390625,6.111895161,6.134486607,5.736689815
7.21171875,6.295703125,6.115625,6.337890625,6.0203125,6.221875,6.550390625,6.550390625,6.146169355,6.081473214,5.694444444
7.17265625,6.247265625,6.15,6.32421875,6.02734375,6.2015625,6.51015625,6.622265625,6.149193548,6.122209821,5.609953704
7.192578125,6.183203125,6.10703125,6.400390625,5.9734375,6.18125,6.45703125,6.476953125,6.149193548,6.055245536,5.575810185
7.148046875,6.1640625,6.084765625,6.32421875,5.972265625,6.140625,6.5,6.587890625,6.155745968,6.078125,5.597800926
7.273828125,6.1640625,6.03203125,6.321484375,5.96171875,6.044140625,6.446875,6.5640625,6.130544355,6.040178571,5.483217593
7.217578125,6.11171875,6.03984375,6.297265625,5.972265625,6.046484375,6.4375,6.501953125,6.10483871,6.055803571,5.403356481
7.16640625,6.15703125,5.94921875,6.301171875,5.94296875,6.0140625,6.413671875,6.48125,6.100302419,5.949776786,5.406828704
7.281640625,6.1046875,5.978125,6.201953125,5.944140625,6.03203125,6.408984375,6.51328125,6.140120968,5.933035714,5.391203704
7.271875,6.06640625,5.905859375,6.270703125,5.970703125,6.03359375,6.35,6.46171875,6.135080645,5.933035714,5.282986111
7.2140625,6.0453125,5.916015625,6.215625,5.96171875,6.005078125,6.352734375,6.5046875,6.107358871,5.906808036,5.319444444
7.15234375,6.03984375,5.93046875,6.184375,5.890234375,5.99375,6.308984375,6.466015625,6.085181452,5.87109375,5.280092593
7.23359375,6.038671875,5.99296875,6.17578125,5.9078125,5.9515625,6.32421875,6.451171875,6.081149194,5.877232143,5.230902778
7.24296875,5.984765625,5.962890625,6.224609375,5.93515625,5.896875,6.251953125,6.40859375,6.074596774,5.87109375,5.249421296
7.22578125,5.960546875,5.860546875,6.1109375,5.896875,5.904296875,6.218359375,6.408984375,6.121975806,5.799107143,5.218171296
7.196484375,6.0078125,5.881640625,6.094921875,5.854296875,5.886328125,6.25859375,6.41484375,6.065524194,5.811383929,5.193287037
7.205078125,5.89765625,5.86796875,6.16875,5.903515625,5.86171875,6.222265625,6.378515625,6.052923387,5.797433036,5.11400463
7.190234375,5.90390625,5.8578125,6.110546875,5.880859375,5.884375,6.190234375,6.337890625,6.015120968,5.765066964,5.161458333
7.1703125,5.892578125,5.8671875,6.035546875,5.831640625,5.848046875,6.2140625,6.35078125,6.007056452,5.652901786,5.126157407
7.157421875,5.91796875,5.86953125,6.103515625,5.86875,5.845703125,6.149609375,6.33828125,6.015120968,5.659040179,5.13599537
7.1828125,5.86171875,5.878125,6.07578125,5.827734375,5.8875,6.145703125,6.309765625,5.989415323,5.607142857,5.124421296
7.089453125,5.851171875,5.84765625,6.04375,5.84609375,5.851171875,6.180078125,6.31953125,6.009576613,5.669084821,5.097800926
7.12421875,5.881640625,5.854296875,6.04453125,5.80234375,5.865625,6.116796875,6.307421875,5.958165323,5.5625,5.077546296
7.153125,5.85078125,5.829296875,6.04375,5.825390625,5.841796875,6.1078125,6.31015625,6.005544355,5.473214286,5.067708333
7.074609375,5.873046875,5.822265625,6.014453125,5.854296875,5.863671875,6.101171875,6.31328125,6.060987903,5.525669643,5.034722222
7.05859375,5.82890625,5.828515625,6.059765625,5.83984375,5.82265625,6.093359375,6.28203125,6.024193548,5.459821429,5.039930556
7.07109375,5.8359375,5.816796875,6.005859375,5.83203125,5.826171875,6.091015625,6.293359375,6.006552419,5.41796875,5.012731481
7.12109375,5.778515625,5.83046875,6.0046875,5.80546875,5.756640625,6.10859375,6.24140625,5.986391129,5.396205357,4.9375
7.044140625,5.849609375,5.78984375,6.003125,5.792578125,5.833984375,6.1171875,6.251953125,5.965725806,5.377232143,4.940393519
7.031640625,5.79453125,5.75625,5.996484375,5.834375,5.801171875,6.1015625,6.23671875,5.916834677,5.313058036,4.958333333
7.005859375,5.801171875,5.76875,5.95390625,5.8375,5.7734375,6.07109375,6.241796875,5.982358871,5.310267857,4.862847222
7.037109375,5.785546875,5.78203125,5.961328125,5.77109375,5.78203125,6.06484375,6.223046875,6.002016129,5.273995536,4.902199074
6.9328125,5.765234375,5.754296875,5.95234375,5.821484375,5.784375,6.0359375,6.2,5.877016129,5.1796875,4.929398148
6.923046875,5.76171875,5.751171875,5.906640625,5.8140625,5.75703125,6.034765625,6.241015625,5.896673387,5.157924107,4.871527778
6.910546875,5.762890625,5.708984375,5.90625,5.829296875,5.76953125,6.0296875,6.186328125,5.874495968,5.220424107,4.884259259
6.92734375,5.787890625,5.726171875,5.955859375,5.770703125,5.722265625,6.011328125,6.15078125,5.930443548,5.197544643,4.855324074
6.859375,5.72890625,5.6875,5.884375,5.771484375,5.783203125,6.021484375,6.199609375,5.872479839,5.149553571,4.872106481
6.835546875,5.76015625,5.70546875,5.9109375,5.77578125,5.785546875,5.96875,6.116796875,5.893649194,5.158482143,4.804398148
6.83125,5.758203125,5.720703125,5.901171875,5.742578125,5.759765625,5.9703125,6.1453125,5.881048387,5.174665179,4.830439815
6.847265625,5.769140625,5.693359375,5.909765625,5.748828125,5.734765625,5.959375,6.14453125,5.908770161,5.092633929,4.816550926
6.778515625,5.724609375,5.70078125,5.853515625,5.757421875,5.761328125,5.964453125,6.164453125,5.855846774,5.084821429,4.793402778
6.828515625,5.780859375,5.6953125,5.894140625,5.737109375,5.7734375,5.965625,6.1,5.856350806,5.132254464,4.852430556
6.78671875,5.7421875,5.691796875,5.876953125,5.72890625,5.765234375,5.970703125,6.15,5.866935484,5.137276786,4.797453704
6.757421875,5.71484375,5.66796875,5.797265625,5.762109375,5.76484375,5.94609375,6.18203125,5.873991935,5.08203125,4.810185185
6.7109375,5.71640625,5.66484375,5.8234375,5.741015625,5.74765625,5.925390625,6.138671875,5.842741935,5.053571429,4.829282407
6.69609375,5.71875,5.683203125,5.803125,5.69375,5.728125,5.928515625,6.132421875,5.858366935,4.995535714,4.789930556
6.721484375,5.733203125,5.694140625,5.82890625,5.71484375,5.70703125,5.93671875,6.08515625,5.820060484,5.012834821,4.787615741
6.610546875,5.73984375,5.7421875,5.876171875,5.7265625,5.76875,5.896875,6.091015625,5.797379032,4.962611607,4.850115741
6.644140625,5.728125,5.693359375,5.816796875,5.703125,5.758203125,5.9125,6.098828125,5.815020161,4.947544643,4.779513889
6.5765625,5.684765625,5.659765625,5.805078125,5.7203125,5.76015625,5.884765625,6.101953125,5.83266129,4.921875,4.800925926
6.53125,5.708984375,5.683984375,5.763671875,5.758984375,5.734765625,5.90390625,6.05859375,5.835685484,4.918526786,4.774884259
6.537109375,5.70078125,5.695703125,5.748828125,5.677734375,5.73984375,5.869140625,6.077734375,5.826612903,4.932477679,4.814236111
6.466015625,5.724609375,5.676171875,5.746484375,5.678125,5.74765625,5.898828125,6.08046875,5.799395161,4.914620536,4.781828704
6.4640625,5.69765625,5.712109375,5.78125,5.7,5.733984375,5.893359375,6.01640625,5.810987903,4.87109375,4.782407407
6.4765625,5.7046875,5.687109375,5.78984375,5.7203125,5.742578125,5.85390625,6.02734375,5.767137097,4.90625,4.785300926
6.43359375,5.72734375,5.661328125,5.734375,5.7234375,5.72109375,5.889453125,6.046875,5.774193548,4.874441964,4.797453704
6.391015625,5.71015625,5.6421875,5.725390625,5.672265625,5.7328125,5.869140625,6.082421875,5.767137097,4.873883929,4.774884259
6.33359375,5.68046875,5.659765625,5.715625,5.723046875,5.72890625,5.85546875,6.06015625,5.761592742,4.882254464,4.766782407
6.31328125,5.701953125,5.686328125,5.70625,5.703125,5.740234375,5.855859375,6.02421875,5.742943548,4.893973214,4.81712963
6.3140625,5.69140625,5.657421875,5.70234375,5.704296875,5.73203125,5.8328125,6.022265625,5.747983871,4.887276786,4.764467593
6.2578125,5.660546875,5.69453125,5.724609375,5.661328125,5.720703125,5.828515625,6.005859375,5.739415323,4.858816964,4.802083333
6.217578125,5.716796875,5.686328125,5.737109375,5.686328125,5.72109375,5.788671875,5.93828125,5.737399194,4.850446429,4.787037037
6.1421875,5.66484375,5.653125,5.737109375,5.716015625,5.731640625,5.76015625,5.89453125,5.737903226,4.854352679,4.779513889
6.13671875,5.674609375,5.68671875,5.73125,5.73203125,5.709375,5.738671875,5.9421875,5.71875,4.849888393,4.753472222
6.137109375,5.667578125,5.6625,5.7125,5.69453125,5.6875,5.7234375,5.954296875,5.714717742,4.856026786,4.750578704
6.102734375,5.6875,5.67578125,5.720703125,5.673046875,5.68203125,5.74453125,5.955859375,5.736391129,4.818638393,4.788773148
6.06171875,5.675390625,5.63359375,5.681640625,5.61796875,5.7328125,5.703125,5.951171875,5.684475806,4.792410714,4.760416667
6.06328125,5.65546875,5.64609375,5.691015625,5.7,5.724609375,5.723046875,5.8953125,5.681955645,4.796316964,4.757523148
6.008203125,5.716796875,5.682421875,5.684765625,5.639453125,5.6984375,5.72421875,5.95078125,5.677419355,4.788504464,4.740162037
5.98671875,5.683203125,5.6453125,5.715234375,5.660546875,5.688671875,5.71171875,5.869921875,5.73891129,4.801897321,4.762152778
5.95078125,5.64453125,5.660546875,5.67421875,5.65,5.6734375,5.691015625,5.903515625,5.661794355,4.8125,4.728587963
5.951171875,5.7015625,5.66796875,5.671875,5.62421875,5.66796875,5.6796875,5.880859375,5.707157258,4.778459821,4.767361111
5.852734375,5.696484375,5.7046875,5.6859375,5.661328125,5.684765625,5.70234375,5.891015625,5.678931452,4.78125,4.756365741
5.81171875,5.667578125,5.636328125,5.659375,5.647265625,5.64453125,5.69609375,5.83046875,5.677923387,4.768415179,4.74537037
5.812109375,5.665234375,5.646875,5.67265625,5.685546875,5.6640625,5.702734375,5.87109375,5.722278226,4.747209821,4.769097222
5.765234375,5.668359375,5.654296875,5.6546875,5.64140625,5.68203125,5.674609375,5.892578125,5.664818548,4.79296875,4.75
