CVIRS,MML,Adaptive,MMC,STM,Greedy_sample,Random,Random_sample,Greedy,MASFo,Query
0.011285164,0.011285164,0.011285164,0.011285164,0.011285164,0.011285164,0.011285164,0.011285164,0.011438571,0.00623867,0.005891028
0.010663884,0.022754751,0.020115717,0.011473917,0.058115976,0.022536303,0.010417838,0.010301845,0.065755715,0.042682338,0.005891028
0.010104925,0.029660474,0.025073545,0.013306201,0.085591075,0.026644148,0.011693833,0.012440365,0.096603694,0.058528976,0.016732713
0.009667191,0.035491484,0.031030391,0.012452548,0.110217719,0.032593861,0.014725174,0.013220198,0.10634088,0.063505395,0.033657916
0.009014083,0.038590575,0.037530875,0.014935611,0.126049924,0.037002198,0.016786679,0.015108181,0.113719493,0.065381998,0.038913017
0.008514643,0.043944278,0.04303536,0.016345386,0.131790535,0.042043441,0.018461133,0.016850219,0.120100028,0.070341348,0.039866176
0.008267542,0.045849951,0.048185713,0.019579662,0.134433615,0.045415227,0.018611492,0.0184216,0.122091046,0.07466967,0.040815844
0.007574642,0.050843808,0.05447839,0.020632008,0.129723317,0.049216959,0.01947846,0.019597706,0.124665811,0.076010396,0.040815844
0.007366308,0.054253888,0.055636977,0.024290773,0.124374959,0.051216427,0.02110725,0.020264678,0.125279836,0.076717258,0.040815844
0.007628694,0.057483566,0.061574248,0.026660923,0.122405977,0.054153223,0.021365125,0.022685499,0.125087842,0.077676555,0.040815844
0.006696499,0.060698063,0.063966382,0.027451267,0.121747901,0.056101318,0.022313903,0.023120325,0.125833844,0.081782882,0.040815844
0.006696499,0.06486206,0.068309938,0.027592901,0.121533196,0.059931685,0.022664338,0.023820516,0.125173133,0.081551996,0.042461346
0.006108263,0.068941662,0.072742004,0.02895123,0.121022241,0.06051066,0.025779673,0.026972492,0.124638367,0.080952443,0.043154449
0.005963031,0.070617234,0.075109726,0.029520503,0.120834668,0.064541698,0.026790342,0.028519442,0.124296789,0.082227107,0.044153801
0.005884906,0.075476626,0.07799268,0.029202523,0.119896932,0.067611568,0.027659685,0.029937452,0.124056643,0.084160631,0.047001248
0.005689594,0.078707726,0.081511154,0.030179498,0.117872188,0.071373673,0.028846413,0.029687084,0.125000684,0.084865261,0.049930054
0.005689594,0.083588179,0.083501083,0.031569488,0.118492662,0.075136139,0.02978418,0.029938293,0.125751249,0.083565492,0.054906407
0.005730035,0.085996996,0.083528086,0.032260732,0.117962611,0.078180223,0.030380309,0.031787035,0.125830007,0.085724046,0.056282272
0.005730035,0.089814771,0.08819695,0.033289339,0.117132907,0.079338338,0.031505511,0.03231656,0.125521529,0.08474489,0.059957152
0.005730035,0.092116787,0.091293962,0.033107334,0.116812115,0.082180799,0.033569129,0.03280843,0.126092058,0.086976644,0.062531196
