CVIRS,MML,Adaptive,MMC,STM,Greedy_sample,Random,Random_sample,Greedy,MASFo,Query
0.086321272,0.086321272,0.086321272,0.086321272,0.086321272,0.086321272,0.086321272,0.086321272,0.086321272,0.08596687,0.086379142
0.08636239,0.085333288,0.085456643,0.086297286,0.082919865,0.085211075,0.08636239,0.086424068,0.084360557,0.083264803,0.086379142
0.086384092,0.084678819,0.085232776,0.086132812,0.081091237,0.08479989,0.086177357,0.086300713,0.082031987,0.08200188,0.085495858
0.08642521,0.084059759,0.084795322,0.086216192,0.079131259,0.084183114,0.085971765,0.086197917,0.080939917,0.081649436,0.084460283
0.086508589,0.083750228,0.084281341,0.085826709,0.077877147,0.083730811,0.085807292,0.086074561,0.080488941,0.081678806,0.08418616
0.086570267,0.083235106,0.083746802,0.085723913,0.077484238,0.083276224,0.085725055,0.085910088,0.079930379,0.081326363,0.084094786
0.086570267,0.083151727,0.083542352,0.085455501,0.07735974,0.082947277,0.085622259,0.085723913,0.07965773,0.080944549,0.084033869
0.086652504,0.082715415,0.083192845,0.085373264,0.077424845,0.082699424,0.085519463,0.085600557,0.079523616,0.080709586,0.084033869
0.086631944,0.082408169,0.083007813,0.085187089,0.077793768,0.082576069,0.085438368,0.085559439,0.07941603,0.080768327,0.084033869
0.086610243,0.082144326,0.082572643,0.085063734,0.077854304,0.082347633,0.085437226,0.085415524,0.079444032,0.080680216,0.084033869
0.08669248,0.081996985,0.082408169,0.084981497,0.077917124,0.082244837,0.085373264,0.085436084,0.07933792,0.080445254,0.084033869
0.086713039,0.081688596,0.082139757,0.084878701,0.077977659,0.081937591,0.085332145,0.085333288,0.079390976,0.080503994,0.083942495
0.086775859,0.081460161,0.081746848,0.084939236,0.078103299,0.081897615,0.085125411,0.085066018,0.079417504,0.080474624,0.083912037
0.086777001,0.081275128,0.081521838,0.084939236,0.078144417,0.081729715,0.084960938,0.084981497,0.079417504,0.080298402,0.083851121
0.08679756,0.081068394,0.08117119,0.084878701,0.078206095,0.081525265,0.084919819,0.084920961,0.079389502,0.080210291,0.083668372
0.08681812,0.080883361,0.080964455,0.08489926,0.07839227,0.081359649,0.084837582,0.08496208,0.079255388,0.08012218,0.08339425
0.08681812,0.080532712,0.080923337,0.084691383,0.078350009,0.081007858,0.084775905,0.084920961,0.07917433,0.080210291,0.082937378
0.08681812,0.080491594,0.080881076,0.08458973,0.078411687,0.080720029,0.084755345,0.084755345,0.079175804,0.08012218,0.082846004
0.086777001,0.080160362,0.08053157,0.084548611,0.078412829,0.080781707,0.084734786,0.084693668,0.079202332,0.080210291,0.082571881
0.086777001,0.080160362,0.080304276,0.084508635,0.078453947,0.080511011,0.08463199,0.084590872,0.079122748,0.08003407,0.082450049
0.08681812,0.079853116,0.080120386,0.084467516,0.07839227,0.08057383,0.084445815,0.084571455,0.07909622,0.079945959,0.082236842
0.086838679,0.079623538,0.080016447,0.084303043,0.078330592,0.080552129,0.084486933,0.084282484,0.079069692,0.080004699,0.082084552
0.086859238,0.079499041,0.079873675,0.084159128,0.07839227,0.080469892,0.084363578,0.084057474,0.079069692,0.080004699,0.082084552
0.086900356,0.079416804,0.079790296,0.084096308,0.078351151,0.080243741,0.084260782,0.083994655,0.079043164,0.079916588,0.081932261
0.086900356,0.079439647,0.079749178,0.08405519,0.078351151,0.080100969,0.084197962,0.083931835,0.07896358,0.08003407,0.081901803
0.086900356,0.079461349,0.079605263,0.083891859,0.078412829,0.079915936,0.084136285,0.083891859,0.07896358,0.079857848,0.081962719
0.086900356,0.07942023,0.079337993,0.083912418,0.078412829,0.07979258,0.084032346,0.08385074,0.078990108,0.079887218,0.081962719
0.086941475,0.079336851,0.079172378,0.083809622,0.078330592,0.079791438,0.084052906,0.083644006,0.079016636,0.079799107,0.081993177
0.086962034,0.079272889,0.079194079,0.083747944,0.078371711,0.079688642,0.084032346,0.083520651,0.078990108,0.079769737,0.081871345
0.086982593,0.079293448,0.079132401,0.083624589,0.078474507,0.079666941,0.083806195,0.08327394,0.079016636,0.079710996,0.081840887
0.086982593,0.079213496,0.07890625,0.08358347,0.078453947,0.079584704,0.083744518,0.083171144,0.07909622,0.079681626,0.081749513
0.086982593,0.079213496,0.078802312,0.083559485,0.078474507,0.079502467,0.083558342,0.083070632,0.07909622,0.079652256,0.081871345
0.086962034,0.079172378,0.078595577,0.083374452,0.078496208,0.079358553,0.083558342,0.08300667,0.07909622,0.079622885,0.081536306
0.086982593,0.079214638,0.078595577,0.08327394,0.078557886,0.079501325,0.083497807,0.082903874,0.07909622,0.079622885,0.081353558
0.087003152,0.079088999,0.078636696,0.083315058,0.078516767,0.079213496,0.083395011,0.082924433,0.079069692,0.079622885,0.081262183
0.087003152,0.0791107,0.078616137,0.083232822,0.078496208,0.079234055,0.083457831,0.082842197,0.079124222,0.079622885,0.081231725
0.087003152,0.079049022,0.078657255,0.083109466,0.078516767,0.079192937,0.083375594,0.082821637,0.079203806,0.079564145,0.081109893
0.087003152,0.079069582,0.078614995,0.082902732,0.078557886,0.079006762,0.083147158,0.08275996,0.079203806,0.079534774,0.08083577
0.087003152,0.079006762,0.078697231,0.082841054,0.078599004,0.079026179,0.083107182,0.082739401,0.079203806,0.079446664,0.08083577
0.087003152,0.079007904,0.078677814,0.082738258,0.078618421,0.078946226,0.083086623,0.082614903,0.079177278,0.079358553,0.080713938
0.087023712,0.078945084,0.078616137,0.082656022,0.078640122,0.078947368,0.083107182,0.082574927,0.07915075,0.079358553,0.080409357
0.087023712,0.078883406,0.078595577,0.082491548,0.078660682,0.07859672,0.083045504,0.082490406,0.07915075,0.079387923,0.080104776
0.087105948,0.078863989,0.078575018,0.082554368,0.0787018,0.078535042,0.082983827,0.082490406,0.079122748,0.079358553,0.080013402
0.087104806,0.078885691,0.078698374,0.082306515,0.078722359,0.078308891,0.082819353,0.082364766,0.079175804,0.079358553,0.079861111
0.087084247,0.078617279,0.078698374,0.082346491,0.078722359,0.078267772,0.082738258,0.082119198,0.079175804,0.079270442,0.079922027
0.087063688,0.078536184,0.078657255,0.082160316,0.078784037,0.078393412,0.082656022,0.0819947,0.079202332,0.079211701,0.079647904
0.087021427,0.078452805,0.078636696,0.082055236,0.078804596,0.078413971,0.082635462,0.081953582,0.079175804,0.079211701,0.079434698
0.08695975,0.078452805,0.078636696,0.082014117,0.078784037,0.078372853,0.082491548,0.081974141,0.079149276,0.079182331,0.079495614
0.086856954,0.078493924,0.078656113,0.081993558,0.078825155,0.078289474,0.082491548,0.081934165,0.079175804,0.079152961,0.079495614
0.086774717,0.078495066,0.07878061,0.081911321,0.078865132,0.078268914,0.082284814,0.082017544,0.07922886,0.07906485,0.079495614
0.08669248,0.07859672,0.07878061,0.081809667,0.07890625,0.078351151,0.08238761,0.081996985,0.0793615,0.07906485,0.07940424
0.086671921,0.078432246,0.078924525,0.081664611,0.078926809,0.078351151,0.082346491,0.081704587,0.079334972,0.079035479,0.079312865
0.086567982,0.078514483,0.078903966,0.081624635,0.078926809,0.07839227,0.082223136,0.081827942,0.079334972,0.079035479,0.079343324
0.086507447,0.07857616,0.078842288,0.081542398,0.078885691,0.078433388,0.082285956,0.081646336,0.079308444,0.079006109,0.079373782
0.086507447,0.07859672,0.07880117,0.081501279,0.078782895,0.078453947,0.082347633,0.08181081,0.079255388,0.078976739,0.079282407
0.086486888,0.078617279,0.078739492,0.081501279,0.078762336,0.078351151,0.082223136,0.081728573,0.079308444,0.078917998,0.079251949
0.086384092,0.078637838,0.078677814,0.081581232,0.078782895,0.07839227,0.082097496,0.081645194,0.079308444,0.078976739,0.079160575
0.086322414,0.07857616,0.078698374,0.081542398,0.078762336,0.078351151,0.081829084,0.081564099,0.079334972,0.078888628,0.079160575
0.08611568,0.078555601,0.078739492,0.081437317,0.078742918,0.078351151,0.081912463,0.081440744,0.0793615,0.078888628,0.079160575
0.085930647,0.078555601,0.078677814,0.081313962,0.078660682,0.078371711,0.081787966,0.081459019,0.0793615,0.078859258,0.079160575
0.085600557,0.078555601,0.078718933,0.081191749,0.078599004,0.078351151,0.081746848,0.081479578,0.079334972,0.078829887,0.079221491
0.085455501,0.078535042,0.078657255,0.081170048,0.078578445,0.078288332,0.081767407,0.081272844,0.079334972,0.078829887,0.079221491
0.085291027,0.078555601,0.078657255,0.081130071,0.078578445,0.078244929,0.081705729,0.081313962,0.079414556,0.078859258,0.079251949
0.085167672,0.07857616,0.078657255,0.081068394,0.078578445,0.078265488,0.081500137,0.081170048,0.079414556,0.078917998,0.079221491
0.085188231,0.078535042,0.078698374,0.080924479,0.078537326,0.078265488,0.081460161,0.081148346,0.079469086,0.078917998,0.079221491
0.084982639,0.078514483,0.078718933,0.080945038,0.078516767,0.078286047,0.081460161,0.081127787,0.079495614,0.078947368,0.079221491
0.084920961,0.078555601,0.078739492,0.080760005,0.078516767,0.078347725,0.081275128,0.080964455,0.079523616,0.078917998,0.079251949
0.084715369,0.078577303,0.078739492,0.080739446,0.078496208,0.078347725,0.081172332,0.08077828,0.079576672,0.078917998,0.079251949
0.084590872,0.078514483,0.078739492,0.080739446,0.078537326,0.078348867,0.081068394,0.080715461,0.0796032,0.078947368,0.079191033
0.084630848,0.078493924,0.078762336,0.080616091,0.078516767,0.078369426,0.081028417,0.080758863,0.079709312,0.078976739,0.079343324
0.084384137,0.078452805,0.078824013,0.080533854,0.078516767,0.078328308,0.080822825,0.080696043,0.079682784,0.078976739,0.079343324
0.084199105,0.078473364,0.078803454,0.080469892,0.078475649,0.078369426,0.080803408,0.080674342,0.079709312,0.078976739,0.079343324
0.08405519,0.078451663,0.078803454,0.080469892,0.078475649,0.078348867,0.080721171,0.080653783,0.079656256,0.078976739,0.079282407
0.083890716,0.078431104,0.078762336,0.080367096,0.07845509,0.078348867,0.080556698,0.080530428,0.079656256,0.078947368,0.079251949
0.08378792,0.078370568,0.078803454,0.080408215,0.07843453,0.078328308,0.080618375,0.08046875,0.079682784,0.078947368,0.079221491
0.083500091,0.078350009,0.078782895,0.080161504,0.07843453,0.078307749,0.080618375,0.080407072,0.079682784,0.078947368,0.079191033
0.083294499,0.078370568,0.078782895,0.080058708,0.078413971,0.078287189,0.08049502,0.080386513,0.07973584,0.078947368,0.079191033
0.083232822,0.07832945,0.078700658,0.08001759,0.07845509,0.078287189,0.080411641,0.080305418,0.079762368,0.078947368,0.079191033
0.08296441,0.07839227,0.07863898,0.079955912,0.078393412,0.078350009,0.080288286,0.080325978,0.079788896,0.078947368,0.079160575
0.082654879,0.07843453,0.078681241,0.079935353,0.07843453,0.078267772,0.08012267,0.080346537,0.079815424,0.078947368,0.079099659
0.082613761,0.07843453,0.078660682,0.079995888,0.07845509,0.078226654,0.080102111,0.080368238,0.079841952,0.078947368,0.079160575
0.082572643,0.078474507,0.078660682,0.079893092,0.07843453,0.078247213,0.080060992,0.080265442,0.079841952,0.078947368,0.079099659
0.082283671,0.078474507,0.078660682,0.079810855,0.078372853,0.078185535,0.080060992,0.080286001,0.079895008,0.078947368,0.079099659
0.082180875,0.078474507,0.078599004,0.0796875,0.078393412,0.078164976,0.079875959,0.080121528,0.079895008,0.078947368,0.079038743
0.081851928,0.078474507,0.078659539,0.079583562,0.07843453,0.078226654,0.079937637,0.08005985,0.079895008,0.078947368,0.079008285
0.081709156,0.078433388,0.078700658,0.079523026,0.078415113,0.078204952,0.079711486,0.079957054,0.079921536,0.078947368,0.079038743
0.081483004,0.078371711,0.078762336,0.079461349,0.078435673,0.078204952,0.079732045,0.079874817,0.08000112,0.078947368,0.079038743
0.081215735,0.078288332,0.078762336,0.079399671,0.078456232,0.078206095,0.079732045,0.079730903,0.080054176,0.078947368,0.079038743
0.080948465,0.078370568,0.078680099,0.079440789,0.07849735,0.078247213,0.079649808,0.079751462,0.080027648,0.078947368,0.079038743
0.080927906,0.07843453,0.078659539,0.079481908,0.078456232,0.078247213,0.079567571,0.079648666,0.079948064,0.078947368,0.078977827
0.080434485,0.07845509,0.078618421,0.079399671,0.078456232,0.078288332,0.079444216,0.079730903,0.079948064,0.078947368,0.078977827
0.080392224,0.07845509,0.07863898,0.079277458,0.078457374,0.078247213,0.07934142,0.079647524,0.079921536,0.078947368,0.079038743
0.080247167,0.078475649,0.078680099,0.079214638,0.078477933,0.078268914,0.079238624,0.079503609,0.079921536,0.078947368,0.079008285
0.079978755,0.07843453,0.078681241,0.07921578,0.078457374,0.078227796,0.079175804,0.079339136,0.07986848,0.078947368,0.079069201
0.079733187,0.07845509,0.078661824,0.079010188,0.078436815,0.078186678,0.079093567,0.079174662,0.079709312,0.078947368,0.079130117
0.079630391,0.078415113,0.078641265,0.079092425,0.078416255,0.078207237,0.079073008,0.078948511,0.079654782,0.078947368,0.079130117
0.079609832,0.07849735,0.078641265,0.078804596,0.078416255,0.078249497,0.078908534,0.078866274,0.079628254,0.078947368,0.079221491
0.07960869,0.07849735,0.078641265,0.078824013,0.078416255,0.078332876,0.078846857,0.07896907,0.079654782,0.078947368,0.079251949
0.079320861,0.078517909,0.078641265,0.078660682,0.078416255,0.078415113,0.078826298,0.078845715,0.07968131,0.078947368,0.079251949
0.078970212,0.078538469,0.078682383,0.078662966,0.078416255,0.078415113,0.078682383,0.078681241,0.079654782,0.078947368,0.079251949
0.078763478,0.078517909,0.078683525,0.07856017,0.078416255,0.078435673,0.078641265,0.078619563,0.079601726,0.078947368,0.079221491
