CVIRS,MML,Adaptive,MMC,STM,Greedy_sample,Random,Random_sample,Greedy,MASFo,Query
0.013501007,0.013501007,0.013501007,0.013501007,0.013501007,0.013501007,0.013501007,0.013501007,0.013501007,0.007561908,0.00686732
0.012667674,0.029977587,0.028994973,0.013263252,0.06344518,0.032182306,0.012716179,0.013766821,0.063333059,0.039505743,0.00686732
0.012325013,0.039461288,0.032374912,0.016400849,0.087287102,0.038357785,0.015645124,0.0152584,0.084517522,0.051814101,0.016562385
0.012007031,0.048028182,0.036187922,0.016432941,0.107608771,0.046079416,0.017768664,0.016114778,0.096333784,0.055108569,0.028417082
0.011121019,0.051626872,0.042113322,0.021464695,0.120906948,0.050986615,0.019572119,0.016917701,0.102098028,0.05724605,0.031584279
0.010523664,0.056412212,0.046095456,0.023246868,0.123631858,0.057537422,0.022390671,0.018991346,0.109163308,0.061548137,0.031985609
0.010054972,0.058411631,0.049524008,0.027534857,0.126104857,0.059949906,0.023704713,0.021394042,0.115042937,0.066931558,0.032694452
0.008915527,0.061805317,0.052976119,0.028738764,0.123790855,0.06243806,0.024906647,0.023534738,0.120175348,0.068836582,0.032694452
0.008685967,0.063415459,0.054405279,0.031943767,0.121365838,0.06381095,0.026163407,0.023460357,0.121998784,0.069932687,0.032694452
0.008284965,0.066235111,0.058785372,0.03305108,0.121590386,0.065922315,0.025588465,0.024650733,0.122982128,0.072064065,0.032694452
0.007616627,0.06868961,0.060543452,0.034463944,0.120460151,0.067511506,0.025844843,0.026181069,0.12429222,0.07771659,0.032694452
0.007616627,0.071149537,0.064807326,0.03539434,0.120334107,0.070662592,0.026647316,0.027067618,0.124914918,0.077672278,0.033524162
0.007025177,0.073454583,0.068668993,0.035894089,0.119694476,0.071396228,0.029171123,0.029359687,0.123876375,0.077305906,0.034127522
0.006755928,0.074612598,0.071315509,0.036106708,0.118913092,0.073458883,0.030225226,0.030485971,0.12402876,0.07993922,0.034918033
0.006229612,0.078140076,0.073610064,0.035640766,0.117867197,0.075064387,0.031142508,0.032024336,0.12494681,0.080913916,0.037167418
0.006074813,0.079960505,0.076962819,0.036267052,0.115218782,0.076837264,0.031947685,0.03213627,0.126298816,0.081977285,0.040186884
0.006074813,0.082843031,0.078551767,0.039097204,0.116256874,0.078972481,0.033088439,0.03296,0.12823254,0.080238276,0.047622704
0.005924437,0.083740767,0.079360061,0.039409296,0.11565633,0.081266273,0.032716577,0.034879452,0.128158552,0.082855532,0.049713133
0.005943234,0.086679041,0.082274831,0.040785602,0.115887819,0.081650114,0.033350945,0.035236142,0.128537915,0.081351772,0.053294526
0.005943234,0.087223315,0.085513115,0.04116992,0.117146057,0.084950705,0.035006117,0.036323612,0.129847641,0.083581018,0.05567994
0.005274897,0.089775643,0.087512944,0.042040945,0.118001496,0.083895933,0.036831741,0.038456775,0.129847641,0.085906731,0.05921835
0.005157168,0.092266593,0.088543639,0.042157944,0.118648568,0.084755815,0.036984787,0.041467799,0.130087074,0.085311493,0.061664332
0.004781228,0.093002697,0.091510226,0.044171963,0.117653301,0.085256078,0.038825819,0.043800097,0.130087074,0.085311493,0.061664332
0.004297482,0.092953176,0.093924887,0.044526138,0.118411446,0.087187439,0.040283996,0.044383205,0.130207865,0.087441818,0.065285104
0.004297482,0.093638427,0.094955164,0.045258628,0.118501415,0.08834347,0.041307005,0.045683971,0.13088423,0.085708605,0.066064831
0.004297482,0.094081324,0.098476154,0.048046647,0.117977993,0.089487193,0.041468398,0.046181084,0.13071445,0.088234671,0.065972007
0.004297482,0.093831574,0.101040215,0.048927859,0.118160664,0.090603765,0.042770959,0.046793318,0.130682111,0.087870207,0.066514584
