CVIRS,MML,Adaptive,MMC,STM,Greedy_sample,Random,Random_sample,Greedy,MASFo,Query
0.024524113,0.024524113,0.024524113,0.024524113,0.024524113,0.024524113,0.024524113,0.024524113,0.024524113,0.012690201,0.012363713
0.023677618,0.051696566,0.046084245,0.024405575,0.112286928,0.053368933,0.023350338,0.023645009,0.122738783,0.084400035,0.012363713
0.023244856,0.065379014,0.054747242,0.028578839,0.156467807,0.062115757,0.026627505,0.026557248,0.170734184,0.11471959,0.032589085
0.022444199,0.079348313,0.063776192,0.027459804,0.196520214,0.075281855,0.031590285,0.028458664,0.188239407,0.122952895,0.063085223
0.020623235,0.085538286,0.075431743,0.035031691,0.220146275,0.084001416,0.035618663,0.031420181,0.197988346,0.125416287,0.072128993
0.019369931,0.094866556,0.08473736,0.03766986,0.227482043,0.095461374,0.038924735,0.035491386,0.20781082,0.13438349,0.073342812
0.018542359,0.098400547,0.092571167,0.044991842,0.231634604,0.101170855,0.040387257,0.039176772,0.211662714,0.141790415,0.074496424
0.016795487,0.106304872,0.101996044,0.046665376,0.225067612,0.106842499,0.042559464,0.042384883,0.214975024,0.144781746,0.074496424
0.016401535,0.111805911,0.105194727,0.052475988,0.216409263,0.109313868,0.045174452,0.042658598,0.216778954,0.144529407,0.074496424
0.015998181,0.117576025,0.115598064,0.056861664,0.214609469,0.114259152,0.045050649,0.045934851,0.215840131,0.147396998,0.074496424
0.014181136,0.123336454,0.119292596,0.058381259,0.212991772,0.117347443,0.045828713,0.046869104,0.217768757,0.15308906,0.074496424
0.014181136,0.129195247,0.126068105,0.059188495,0.211332482,0.123740486,0.047286058,0.04781626,0.21727641,0.152043181,0.076310045
0.012857738,0.135374522,0.133455793,0.061172482,0.208502063,0.124750623,0.05222635,0.053770768,0.215875348,0.151897503,0.077563575
0.012472891,0.137654975,0.13914968,0.061247401,0.20854306,0.131290428,0.054019449,0.05632291,0.215797103,0.154844434,0.079502076
0.012034506,0.144995751,0.144212405,0.061151671,0.207618374,0.134695446,0.055801716,0.058058576,0.216453263,0.156734242,0.084628105
0.011595909,0.150257584,0.14999646,0.062467403,0.204876668,0.140444037,0.057682872,0.058020866,0.218276914,0.157952673,0.090226555
0.011595909,0.156998887,0.15295399,0.06640339,0.205629235,0.146298905,0.058838985,0.058845311,0.219733955,0.156187364,0.100542302
0.011659618,0.160598611,0.153382116,0.067049012,0.20483568,0.151606531,0.059193248,0.061902917,0.219731603,0.159004923,0.102998732
