,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-22,11,-20,9,-17,12,-22,7,-36,19,-20,9
1,-37,26,-20,9,-17,12,-22,7,-36,19,-20,9
2,-43,48,-20,9,-17,12,-22,7,-37,20,-20,9
3,-49,58,-20,9,-17,12,-22,7,-40,31,-20,9
4,-59,63,-20,9,-17,12,-22,7,-52,34,-20,9
5,-67,80,-20,9,-17,12,-22,7,-53,38,-20,9
6,-81,92,-20,9,-17,12,-22,7,-54,41,-20,9
7,-88,99,-20,9,-17,12,-22,7,-59,52,-20,9
8,-101,104,-20,9,-17,12,-22,7,-70,53,-20,9
9,-107,105,-20,9,-17,12,-22,7,-77,69,-20,9
10,-114,112,-20,9,-17,12,-22,7,-87,75,-20,9
11,-130,118,-20,9,-17,12,-22,7,-93,77,-20,9
12,-130,118,-20,9,-17,12,-22,7,-119,81,-20,9
13,-150,125,-20,9,-17,12,-22,7,-121,82,-20,9
14,-157,130,-20,9,-17,12,-22,7,-131,90,-20,9
15,-170,136,-20,9,-17,12,-22,7,-137,95,-20,9
16,-182,146,-20,9,-17,12,-22,7,-145,95,-20,9
17,-206,146,-20,9,-17,12,-22,7,-150,96,-20,9
18,-206,146,-20,9,-17,12,-22,7,-173,103,-20,9
19,-224,147,-20,9,-17,12,-22,7,-182,105,-20,9
20,-224,147,-20,9,-17,12,-22,7,-206,111,-20,9
21,-239,151,-20,9,-17,12,-22,7,-215,113,-20,9
22,-242,151,-20,9,-17,12,-22,7,-237,118,-20,9
23,-244,151,-20,9,-17,12,-22,7,-259,124,-20,9
24,-257,153,-20,9,-17,12,-22,7,-274,124,-20,9
25,-284,156,-20,9,-17,12,-22,7,-274,124,-20,9
26,-309,157,-20,9,-17,12,-22,7,-278,124,-20,9
27,-309,157,-20,9,-17,12,-22,7,-304,128,-20,9
28,-313,158,-20,9,-17,12,-22,7,-325,132,-20,9
29,-328,158,-20,9,-17,12,-22,7,-337,135,-20,9
30,-328,158,-20,9,-17,12,-22,7,-362,140,-20,9
31,-341,159,-20,9,-17,12,-22,7,-377,141,-20,9
32,-362,159,-20,9,-17,12,-22,7,-384,143,-20,9
33,-374,160,-20,9,-17,12,-22,7,-387,147,-25,14
34,-374,160,-20,9,-17,12,-22,7,-387,147,-33,36
35,-374,160,-20,9,-17,12,-22,7,-387,147,-45,54
36,-374,160,-20,9,-17,12,-22,7,-387,147,-67,62
37,-374,160,-20,9,-17,12,-22,7,-387,147,-80,79
38,-374,160,-20,9,-17,12,-22,7,-387,147,-96,93
39,-374,160,-20,9,-17,12,-22,7,-387,147,-112,107
40,-374,160,-20,9,-17,12,-22,7,-387,147,-133,116
41,-374,160,-20,9,-17,12,-22,7,-387,147,-149,130
42,-374,160,-20,9,-17,12,-22,7,-387,147,-166,143
43,-374,160,-20,9,-17,12,-22,7,-387,147,-188,151
44,-374,160,-20,9,-17,12,-22,7,-387,147,-209,160
45,-374,160,-20,9,-17,12,-22,7,-387,147,-231,168
46,-374,160,-20,9,-17,12,-22,7,-387,147,-258,171
47,-374,160,-20,9,-17,12,-22,7,-387,147,-286,173
48,-374,160,-20,9,-17,12,-22,7,-387,147,-316,173
49,-374,160,-20,9,-17,12,-22,7,-387,147,-345,174
50,-374,160,-20,9,-27,17,-22,7,-387,147,-360,174
51,-374,160,-20,9,-39,35,-22,7,-387,147,-360,174
52,-374,160,-20,9,-49,55,-22,7,-387,147,-360,174
53,-374,160,-20,9,-57,77,-22,7,-387,147,-360,174
54,-374,160,-20,9,-80,84,-22,7,-387,147,-360,174
55,-374,160,-20,9,-90,104,-22,7,-387,147,-360,174
56,-374,160,-20,9,-100,124,-22,7,-387,147,-360,174
57,-374,160,-20,9,-117,137,-22,7,-387,147,-360,174
58,-374,160,-20,9,-129,155,-22,7,-387,147,-360,174
59,-374,160,-20,9,-146,168,-22,7,-387,147,-360,174
60,-374,160,-20,9,-162,182,-22,7,-387,147,-360,174
61,-374,160,-20,9,-178,196,-22,7,-387,147,-360,174
62,-374,160,-20,9,-196,208,-22,7,-387,147,-360,174
63,-374,160,-20,9,-218,216,-22,7,-387,147,-360,174
64,-374,160,-20,9,-243,221,-22,7,-387,147,-360,174
65,-374,160,-20,9,-267,227,-22,7,-387,147,-360,174
66,-374,160,-20,9,-294,230,-22,7,-387,147,-360,174
67,-374,160,-30,11,-301,233,-22,15,-387,147,-360,174
68,-374,160,-30,11,-301,233,-35,32,-387,147,-360,174
69,-374,160,-30,11,-301,233,-50,47,-387,147,-360,174
70,-374,160,-30,11,-301,233,-67,60,-387,147,-360,174
71,-374,160,-30,11,-301,233,-81,76,-387,147,-360,174
72,-374,160,-30,11,-301,233,-98,89,-387,147,-360,174
73,-374,160,-30,11,-301,233,-120,97,-387,147,-360,174
74,-374,160,-30,11,-301,233,-147,100,-387,147,-360,174
75,-374,160,-30,11,-301,233,-172,105,-387,147,-360,174
76,-374,160,-30,11,-301,233,-201,106,-387,147,-360,174
77,-374,160,-30,11,-301,233,-228,109,-387,147,-360,174
78,-374,160,-30,11,-301,233,-252,115,-387,147,-360,174
79,-374,160,-30,11,-301,233,-275,122,-387,147,-360,174
