,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-45,14,-24,5,-16,13,-22,7,-20,9,-16,13
1,-66,23,-24,5,-16,13,-22,7,-20,9,-16,13
2,-84,35,-24,5,-16,13,-22,7,-20,9,-16,13
3,-105,44,-24,5,-16,13,-22,7,-20,9,-16,13
4,-128,51,-24,5,-16,13,-22,7,-20,9,-16,13
5,-152,57,-24,5,-16,13,-22,7,-20,9,-16,13
6,-172,66,-25,5,-16,13,-22,7,-20,9,-16,13
7,-172,66,-48,12,-16,13,-22,7,-20,9,-16,13
8,-172,66,-74,16,-16,13,-22,7,-20,9,-16,13
9,-172,66,-97,23,-16,13,-22,7,-20,9,-16,13
10,-172,66,-121,29,-16,13,-22,7,-20,9,-16,13
11,-172,66,-144,36,-16,13,-22,7,-20,9,-16,13
12,-172,66,-165,45,-16,13,-22,7,-20,9,-16,13
13,-172,66,-185,54,-16,14,-22,7,-20,9,-16,13
14,-172,66,-185,54,-31,29,-22,7,-20,9,-16,13
15,-172,66,-185,54,-50,40,-22,7,-20,9,-16,13
16,-172,66,-185,54,-67,53,-22,7,-20,9,-16,13
17,-172,66,-185,54,-86,64,-22,7,-20,9,-16,13
18,-172,66,-185,54,-102,78,-22,7,-20,9,-16,13
19,-172,66,-185,54,-119,91,-22,7,-20,9,-16,13
20,-172,66,-185,54,-138,101,-22,8,-20,9,-16,13
21,-172,66,-185,54,-138,101,-43,17,-20,9,-16,13
22,-172,66,-185,54,-138,101,-65,25,-20,9,-16,13
23,-172,66,-185,54,-138,101,-90,30,-20,9,-16,13
24,-172,66,-185,54,-138,101,-113,37,-20,9,-16,13
25,-172,66,-185,54,-138,101,-135,45,-20,9,-16,13
26,-172,66,-185,54,-138,101,-156,54,-20,9,-16,13
27,-172,66,-185,54,-138,101,-178,61,-21,9,-16,13
28,-172,66,-185,54,-138,101,-178,61,-40,20,-16,13
29,-172,66,-185,54,-138,101,-178,61,-60,30,-16,13
30,-172,66,-185,54,-138,101,-178,61,-83,37,-16,13
31,-172,66,-185,54,-138,101,-178,61,-104,46,-16,13
32,-172,66,-185,54,-138,101,-178,61,-124,56,-16,13
33,-172,66,-185,54,-138,101,-178,61,-145,65,-16,13
34,-172,66,-185,54,-138,101,-178,61,-166,73,-17,13
35,-172,66,-185,54,-138,101,-178,61,-166,73,-41,19
36,-172,66,-185,54,-138,101,-178,61,-166,73,-59,31
37,-172,66,-185,54,-138,101,-178,61,-166,73,-80,40
38,-172,66,-185,54,-138,101,-178,61,-166,73,-99,51
39,-172,66,-185,54,-138,101,-178,61,-166,73,-121,59
40,-172,66,-185,54,-138,101,-178,61,-166,73,-142,68
41,-173,66,-185,54,-138,101,-178,61,-166,73,-162,77
42,-183,69,-194,58,-139,104,-178,61,-166,73,-162,77
43,-183,69,-194,58,-144,109,-188,64,-171,75,-162,77
44,-185,69,-196,58,-145,110,-189,65,-177,77,-172,81
45,-186,72,-201,59,-149,111,-193,65,-181,78,-177,82
46,-191,73,-204,62,-151,115,-196,66,-184,79,-180,83
47,-194,75,-205,64,-154,116,-202,67,-189,80,-183,85
48,-199,77,-209,65,-156,117,-205,68,-194,80,-186,88
49,-221,81,-212,66,-156,117,-205,68,-194,80,-186,88
50,-221,81,-230,72,-159,120,-205,68,-194,80,-186,88
51,-221,81,-230,72,-169,132,-211,70,-194,80,-186,88
52,-221,81,-230,72,-169,132,-222,80,-199,84,-186,88
53,-221,81,-230,72,-169,132,-222,80,-209,93,-194,91
54,-223,83,-233,72,-170,133,-222,80,-209,94,-208,97
55,-224,85,-234,75,-175,135,-228,80,-214,95,-211,98
56,-228,86,-239,76,-176,139,-233,81,-216,96,-213,101
57,-240,88,-241,77,-178,139,-234,83,-218,98,-215,103
58,-257,94,-246,79,-178,139,-234,83,-218,98,-215,103
59,-257,94,-263,89,-180,140,-234,83,-218,98,-215,103
60,-257,94,-263,89,-190,160,-234,83,-218,98,-215,103
61,-257,94,-263,89,-191,160,-255,91,-218,98,-215,103
62,-257,94,-263,89,-191,160,-258,93,-236,105,-215,103
63,-257,94,-263,89,-191,160,-258,93,-242,108,-231,108
64,-258,96,-266,89,-193,161,-260,93,-243,109,-244,112
65,-262,98,-270,90,-197,162,-263,95,-246,111,-246,114
66,-267,99,-276,91,-199,165,-267,96,-251,111,-246,116
67,-267,102,-278,92,-202,168,-271,98,-254,114,-250,118
68,-274,106,-280,93,-204,169,-274,99,-258,115,-253,119
69,-285,111,-288,97,-204,169,-274,99,-258,115,-254,120
70,-285,111,-295,102,-211,180,-274,99,-258,115,-254,120
71,-285,111,-295,102,-213,184,-289,108,-258,115,-254,120
72,-285,111,-295,102,-213,184,-289,108,-277,121,-259,120
73,-285,113,-297,102,-215,184,-291,108,-278,121,-277,123
74,-290,114,-299,105,-216,188,-293,109,-282,122,-282,124
75,-299,116,-305,106,-218,189,-295,111,-283,123,-284,125
76,-299,116,-308,107,-224,192,-303,112,-290,124,-284,125
77,-301,117,-312,107,-227,194,-304,114,-292,126,-290,130
78,-306,119,-318,108,-229,197,-307,115,-295,127,-292,131
79,-308,120,-320,109,-231,199,-310,119,-300,129,-296,133
