Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.408886172,0.408886172,0.408886172,0.408886172,0.408886172,0.408886172,0.408886172,0.408886172,0.408886172,0.437787551,0.437787551
0.415292673,0.417954049,0.443240676,0.42156898,0.409054595,0.42628541,0.417050175,0.415395127,0.451646835,0.434205746,0.436084477
0.42623523,0.428853217,0.461818788,0.427974951,0.418364357,0.438233673,0.42635821,0.422573082,0.484465226,0.437363543,0.438802713
0.43880407,0.438395344,0.477102459,0.436494371,0.427707736,0.445262215,0.438275894,0.43235646,0.503720974,0.44332804,0.44112924
0.448174767,0.443277362,0.488797731,0.437640817,0.43370683,0.451568081,0.452649539,0.438208397,0.513111263,0.44675948,0.443262606
0.461243333,0.450325694,0.487368149,0.440061916,0.439293964,0.456524032,0.455372631,0.44372957,0.5251628,0.449238965,0.443696215
0.46977538,0.453060761,0.494381883,0.441589264,0.442156365,0.454703549,0.470052186,0.447912592,0.529954888,0.453308319,0.446646636
0.472007981,0.457155188,0.496829226,0.442882784,0.447593165,0.454922707,0.473749287,0.448608444,0.536367102,0.45643972,0.447580066
0.474506193,0.464811224,0.50204713,0.446001346,0.45258288,0.459113533,0.483118467,0.462077783,0.540535176,0.460212113,0.447487351
0.479310967,0.47227707,0.506862766,0.449172088,0.453572402,0.460938088,0.496955775,0.462089389,0.5495341,0.464222741,0.450339156
0.48001306,0.477059118,0.515383659,0.455051168,0.456390395,0.463889462,0.499553841,0.465949245,0.552603776,0.466138383,0.453107751
0.486893667,0.478132631,0.512585503,0.461433369,0.459038839,0.468277307,0.503581419,0.47350101,0.55902407,0.467319572,0.453482665
0.484101912,0.48106565,0.522059798,0.468989478,0.462090505,0.46589195,0.50886207,0.476645796,0.562079602,0.467364706,0.45421532
0.492459443,0.484271655,0.52519756,0.468068988,0.462268271,0.469539718,0.51350828,0.47777684,0.565992971,0.4683638,0.454944122
0.493740937,0.488304378,0.530610089,0.470722807,0.466977909,0.466702463,0.519272191,0.484393772,0.573146976,0.468467012,0.455759297
0.496900565,0.491820898,0.536109326,0.478038337,0.469193081,0.469453209,0.522523955,0.48473101,0.574533063,0.470216353,0.46098895
0.502216704,0.492133283,0.540408434,0.482032475,0.47167479,0.47052942,0.525046989,0.489961787,0.574804675,0.469950851,0.465033466
0.505594994,0.493084891,0.546360965,0.487845003,0.478689454,0.472619082,0.530352213,0.491837999,0.576417227,0.470499628,0.46921691
0.508612645,0.49658801,0.549248455,0.489978562,0.477574811,0.472341628,0.5311022,0.493963297,0.579343839,0.471859487,0.471780235
0.508954201,0.497855961,0.553892027,0.495328261,0.479003692,0.4717943,0.532058893,0.49747444,0.585184131,0.473380266,0.47303489
0.510694098,0.503444602,0.557390927,0.49794633,0.480514947,0.472338298,0.534449919,0.500823699,0.58808291,0.472892113,0.474377641
