Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
3.516525424,3.441101695,3.50720339,3.492372881,3.477542373,3.487288136,3.494491525,3.488983051,3.471186441,2.540556901,2.584745763
3.437711864,3.391525424,3.431779661,3.474152542,3.450847458,3.380084746,3.427542373,3.431779661,3.294491525,2.542372881,2.561138015
3.353813559,3.331355932,3.380932203,3.418220339,3.332627119,3.313983051,3.322457627,3.425423729,3.253813559,2.483656174,2.469128329
3.293644068,3.259745763,3.336440678,3.394491525,3.297457627,3.302966102,3.240254237,3.363559322,3.188135593,2.44188862,2.465496368
3.203813559,3.250847458,3.316525424,3.319915254,3.25,3.270762712,3.182627119,3.25720339,3.184745763,2.447336562,2.523002421
3.144067797,3.225,3.315254237,3.286016949,3.21059322,3.275423729,3.156779661,3.245762712,3.146610169,2.432808717,2.440677966
3.130932203,3.205508475,3.304237288,3.255508475,3.175423729,3.25720339,3.128813559,3.225423729,3.141525424,2.439467312,2.44188862
3.104237288,3.213559322,3.377966102,3.23220339,3.174576271,3.262288136,3.075,3.181355932,3.118644068,2.449757869,2.472154964
3.093644068,3.163983051,3.322033898,3.191525424,3.130932203,3.231779661,3.058898305,3.15,3.101271186,2.424939467,2.435835351
3.052542373,3.163559322,3.360169492,3.130084746,3.115254237,3.247033898,3.044067797,3.141525424,3.086016949,2.378329298,2.391646489
3.036440678,3.152118644,3.361016949,3.11059322,3.097881356,3.232627119,3.029661017,3.105508475,3.083474576,2.33716707,2.370460048
3.013135593,3.145762712,3.330084746,3.094067797,3.073305085,3.230508475,2.968220339,3.063559322,3.077118644,2.380750605,2.368038741
3.002118644,3.13559322,3.372457627,3.08940678,3.047033898,3.243644068,2.96779661,3.077966102,3.088135593,2.31779661,2.320823245
3.002966102,3.111016949,3.283050847,3.062288136,3.026694915,3.225,2.958050847,3.042372881,3.069915254,2.302058111,2.340193705
2.983474576,3.122033898,3.292372881,3.033050847,3.028389831,3.233050847,2.949152542,3.025423729,3.058474576,2.349273608,2.36440678
2.950423729,3.092372881,3.311864407,3.041101695,3.021186441,3.23940678,2.938559322,3.020762712,3.053813559,2.296004843,2.346246973
2.931355932,3.078389831,3.261440678,3.026694915,2.991949153,3.221186441,2.931355932,2.993220339,3.053389831,2.27905569,2.251815981
2.959745763,3.066101695,3.211440678,3.002966102,3.002118644,3.205084746,2.932627119,3.004237288,3.045762712,2.256053269,2.276634383
2.943220339,3.066949153,3.219491525,2.98220339,2.98940678,3.212711864,2.911016949,3,3.056355932,2.177360775,2.214285714
2.919915254,3.057627119,3.213983051,2.977542373,2.977966102,3.195762712,2.907627119,2.980932203,3.036016949,2.197336562,2.181598063
