Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.352018163,0.352018163,0.352018163,0.352018163,0.352018163,0.352018163,0.352018163,0.352018163,0.352018163,0.360513265,0.360513265
0.352037979,0.360093273,0.424951428,0.353307004,0.33907334,0.362428786,0.355917708,0.355201091,0.429752662,0.35592717,0.354216083
0.375337483,0.379522572,0.454228325,0.362949551,0.366531696,0.379475611,0.377841918,0.360729269,0.485759106,0.35714692,0.362954192
0.400308523,0.408056797,0.486629147,0.368091235,0.385042738,0.382202011,0.40521695,0.373866183,0.520678575,0.389537418,0.368664832
0.422983115,0.414624953,0.514814044,0.35923031,0.401348904,0.390995021,0.424253806,0.390008344,0.543762707,0.392312033,0.372431299
0.433001047,0.428577956,0.517101077,0.366558878,0.41044589,0.396017751,0.430849189,0.398493055,0.562993514,0.406989302,0.373997323
0.460511749,0.432780304,0.521178465,0.361341217,0.415610957,0.392876925,0.457358815,0.402890416,0.575319259,0.416384913,0.382086347
0.461088366,0.441429042,0.529238924,0.362516066,0.424985723,0.394646778,0.462916508,0.402933825,0.590438037,0.419716883,0.383331139
0.478072007,0.456343557,0.543280354,0.374030663,0.437128271,0.405190369,0.480653545,0.425649698,0.598929485,0.42710033,0.381374674
0.482970252,0.467674498,0.549688291,0.378054141,0.436899855,0.40908084,0.500194069,0.425006952,0.610827922,0.430891812,0.388248493
0.483578908,0.477023847,0.556638326,0.388921762,0.443619116,0.414523942,0.510866373,0.428234985,0.618808281,0.433605666,0.392673722
0.493470713,0.483860514,0.559195023,0.393256465,0.452446744,0.419602082,0.517126826,0.44149177,0.623324193,0.436965264,0.393333472
0.492069056,0.485317574,0.574463951,0.404093082,0.454832323,0.420495268,0.521597413,0.445576456,0.628267402,0.441508995,0.396170441
0.503159599,0.491285109,0.579684903,0.403213489,0.455647662,0.425719366,0.526140664,0.449555854,0.63645626,0.446579756,0.39572696
0.504677929,0.494745034,0.587761591,0.40575001,0.463845015,0.428304015,0.533602929,0.462139105,0.644875159,0.44959687,0.399592468
0.504563178,0.500533742,0.597572055,0.415959974,0.466293293,0.429031739,0.539873258,0.460967382,0.650516264,0.446376214,0.421039439
0.516967575,0.505073854,0.605088466,0.424451753,0.472478497,0.426456587,0.542230796,0.471133436,0.646989307,0.447470947,0.440306543
0.520343855,0.508445006,0.607265999,0.429344476,0.480342967,0.430216897,0.554525005,0.475136411,0.644897723,0.446898542,0.467091921
0.524913219,0.512708726,0.611460313,0.434812793,0.480063225,0.431821184,0.554509568,0.485791656,0.647492397,0.448742914,0.478780978
0.526491974,0.516909321,0.61717838,0.443266142,0.480104001,0.429629928,0.557149783,0.495317923,0.654903101,0.448987276,0.480664129
