Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.270338983,0.270338983,0.270338983,0.270338983,0.270338983,0.270338983,0.270338983,0.270338983,0.270338983,0.261400323,0.261400323
0.267019774,0.268149718,0.253954802,0.264477401,0.271186441,0.26299435,0.264548023,0.267443503,0.250988701,0.262409201,0.26200565
0.261158192,0.26299435,0.242867232,0.262076271,0.265607345,0.257485876,0.260310734,0.264548023,0.237782486,0.261501211,0.260492333
0.254449153,0.258403955,0.233545198,0.257627119,0.261228814,0.255225989,0.254378531,0.259533898,0.227754237,0.256759483,0.259079903
0.248022599,0.257132768,0.228177966,0.257062147,0.256991525,0.252471751,0.247669492,0.257062147,0.22259887,0.255044391,0.258171913
0.242867232,0.253531073,0.229237288,0.254590395,0.254025424,0.250847458,0.245550847,0.252754237,0.215677966,0.252421308,0.258171913
0.238347458,0.252118644,0.226129944,0.254872881,0.252754237,0.251977401,0.237853107,0.251200565,0.213206215,0.250100888,0.256658596
0.237853107,0.250282486,0.224223164,0.254025424,0.249858757,0.25190678,0.236370056,0.251483051,0.211016949,0.246872478,0.256053269
0.235805085,0.246327684,0.221680791,0.251977401,0.246892655,0.249435028,0.231567797,0.24470339,0.208968927,0.243946731,0.255145278
0.233757062,0.243502825,0.219279661,0.251553672,0.246257062,0.248870056,0.225635593,0.244632768,0.204378531,0.241424536,0.254338176
0.233333333,0.242019774,0.216031073,0.247245763,0.243573446,0.247387006,0.222951977,0.243714689,0.201977401,0.240112994,0.253329298
0.230508475,0.241666667,0.217655367,0.244774011,0.24230226,0.246045198,0.221892655,0.240183616,0.199435028,0.238397902,0.253329298
0.232344633,0.240324859,0.213064972,0.239971751,0.241596045,0.24710452,0.219774011,0.238135593,0.197457627,0.238095238,0.252925747
0.227966102,0.239265537,0.211793785,0.241172316,0.239830508,0.245621469,0.218008475,0.237570621,0.195127119,0.237489911,0.252723971
0.227824859,0.237288136,0.208474576,0.239830508,0.237641243,0.246751412,0.215819209,0.23460452,0.191313559,0.237389023,0.252118644
0.226412429,0.23559322,0.206355932,0.236935028,0.237146893,0.24569209,0.214265537,0.233757062,0.190042373,0.236481033,0.247780468
0.22309322,0.235663842,0.204590395,0.235451977,0.23559322,0.245550847,0.212711864,0.231214689,0.18990113,0.236279257,0.245056497
0.221680791,0.23509887,0.202048023,0.233757062,0.231779661,0.244844633,0.209957627,0.229943503,0.190112994,0.23617837,0.240516546
0.22019774,0.233827684,0.200211864,0.232627119,0.232415254,0.244067797,0.209745763,0.228389831,0.188629944,0.235068604,0.237489911
0.219915254,0.233757062,0.197740113,0.230932203,0.231991525,0.243785311,0.209039548,0.226624294,0.185451977,0.234564165,0.236682809
