Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.293308442,0.293308442,0.293308442,0.293308442,0.293308442,0.293308442,0.293308442,0.293308442,0.293308442,0.338460332,0.338460332
0.306325356,0.315153755,0.374492506,0.313148323,0.292688337,0.334397952,0.308377725,0.303474998,0.408984592,0.331104723,0.336454528
0.331416816,0.343542617,0.409033952,0.332682397,0.312001852,0.361304051,0.333513787,0.322106064,0.482968347,0.334285757,0.346011699
0.361284087,0.367147394,0.43441624,0.34252046,0.338376738,0.375395416,0.358575317,0.341295685,0.521538729,0.34622912,0.349669046
0.379219452,0.38449882,0.455528421,0.340994342,0.352306426,0.385500069,0.388819527,0.354049337,0.539688164,0.352464786,0.354347362
0.403158069,0.399549106,0.457927529,0.342346923,0.360741847,0.394854565,0.401326233,0.364847908,0.561245793,0.356454669,0.356577912
0.421503733,0.406837537,0.468005059,0.342661136,0.369262203,0.393869565,0.429945643,0.374401726,0.571458825,0.362084631,0.362558663
0.425060503,0.414520764,0.471986663,0.342062075,0.378725944,0.395668979,0.439970563,0.379562687,0.585068784,0.365302727,0.364145071
0.438136055,0.430686312,0.479449537,0.35047916,0.387243008,0.403408206,0.458528565,0.399874628,0.595299914,0.369597448,0.362965665
0.446147744,0.444070546,0.486362792,0.354966089,0.389397303,0.407263805,0.483704674,0.399229924,0.604162119,0.372463551,0.37286551
0.448842554,0.455184057,0.49920383,0.364032849,0.395723358,0.412961375,0.491991174,0.405471474,0.609297687,0.374554736,0.381005165
0.460645259,0.461908436,0.50241865,0.376638149,0.403259601,0.422199201,0.499613644,0.419586248,0.614720853,0.37569458,0.382764397
0.456681815,0.468449939,0.517037651,0.389090356,0.408180639,0.419476652,0.509638158,0.426466879,0.618164513,0.376568113,0.387111387
0.469929861,0.475656036,0.523390995,0.388647535,0.405826071,0.424347115,0.515798387,0.43263852,0.625422159,0.378265698,0.387306211
0.47069685,0.48477609,0.531284218,0.393943763,0.415247975,0.423073802,0.528590513,0.441939277,0.634994042,0.378440136,0.389678238
0.476995067,0.49371769,0.538977022,0.409483881,0.418052442,0.427441522,0.536201054,0.444822452,0.635426589,0.379200759,0.403506027
0.485056488,0.496535934,0.549737821,0.422341154,0.42516388,0.426670342,0.53955602,0.452730968,0.63533289,0.379275331,0.41591053
0.491555714,0.499465723,0.558220581,0.432295588,0.434783538,0.428851596,0.549981398,0.456105536,0.635717738,0.379607317,0.426711943
0.497114761,0.505688964,0.565272943,0.440928191,0.436520907,0.428276113,0.551096856,0.463624453,0.636986523,0.380746612,0.431512882
0.497439587,0.508990806,0.574359767,0.453248896,0.440525217,0.424630763,0.555255707,0.469994931,0.64466645,0.381890618,0.432646772
0.500496586,0.517496938,0.583916047,0.459685144,0.439246303,0.426425367,0.558429087,0.47450185,0.647907541,0.381674547,0.433714825
0.50037512,0.51772342,0.589494235,0.475254121,0.440744491,0.428734201,0.561723512,0.474870932,0.652410035,0.381856232,0.436910552
0.500203554,0.521732741,0.602193479,0.486009373,0.450557045,0.428983113,0.562520213,0.479024707,0.648905837,0.380583154,0.452066777
0.500272368,0.523536167,0.611364971,0.492957585,0.459625219,0.430164918,0.565381889,0.479057907,0.650372772,0.380628776,0.470082289
0.502680606,0.53040398,0.621236578,0.500755169,0.455197512,0.429036428,0.567102117,0.486167046,0.648979898,0.382260138,0.479084428
0.506222437,0.531660033,0.630642468,0.504609696,0.459132883,0.429861399,0.573491787,0.493716307,0.652309257,0.382677215,0.488132889
0.513834999,0.537875882,0.634545034,0.509902749,0.467105909,0.43060548,0.578297044,0.492580606,0.651929611,0.382669465,0.487959541
0.517742634,0.541036816,0.633297529,0.513526102,0.471374443,0.433464364,0.585371593,0.495952387,0.653610933,0.382634116,0.489468517
0.517702903,0.545689293,0.632587265,0.517067516,0.474041348,0.441151807,0.586711887,0.499513667,0.653087853,0.382536238,0.490333679
0.521924155,0.548398721,0.635345314,0.512258976,0.477805,0.444763264,0.59360464,0.500189583,0.652642826,0.383520868,0.49997499
