Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.40096067,0.40096067,0.40096067,0.40096067,0.40096067,0.40096067,0.40096067,0.40096067,0.40096067,0.422660857,0.422660857
0.405953903,0.412365851,0.474547277,0.417871504,0.389943631,0.429998468,0.411996292,0.405675412,0.486536561,0.418093931,0.415803715
0.429043314,0.43217447,0.506393144,0.435832199,0.410920925,0.455362306,0.432177564,0.41887469,0.535930844,0.421271743,0.424788203
0.452127848,0.455553981,0.537059132,0.445366942,0.431888407,0.465760106,0.457872243,0.434550344,0.570194922,0.444348648,0.42911293
0.47112732,0.464710428,0.555183553,0.442605876,0.446205439,0.47721924,0.477986017,0.444830683,0.585403472,0.451723653,0.431684075
0.48477151,0.477293064,0.559202017,0.449187946,0.454214135,0.484866742,0.485588769,0.459027396,0.603301357,0.461800996,0.433669342
0.505580062,0.48220628,0.565553943,0.444425407,0.459728389,0.482924832,0.509216078,0.464376587,0.612752045,0.469592064,0.440369904
0.506783147,0.489097298,0.572498702,0.444557297,0.468352481,0.486227646,0.516376286,0.466848453,0.623402522,0.474657985,0.44119291
0.518983193,0.503616607,0.57872401,0.454910642,0.477881449,0.498302241,0.531623048,0.488703151,0.629853437,0.482047901,0.440850839
0.524424903,0.514893445,0.584740949,0.458399308,0.479825621,0.503117152,0.55089417,0.48830529,0.640094176,0.487322415,0.446521791
0.526695261,0.523679373,0.592225208,0.469371898,0.486270476,0.508629111,0.56002686,0.492139419,0.646113159,0.489978002,0.450987949
0.534926553,0.527913163,0.592855221,0.477197225,0.491438673,0.51479278,0.564945624,0.503851189,0.649358775,0.493094203,0.451922963
0.531774566,0.530867288,0.605038635,0.48909745,0.494930004,0.515193356,0.571827454,0.50873194,0.654020264,0.495352023,0.454101453
0.541656184,0.536617614,0.608111247,0.487277354,0.496606134,0.521427846,0.576557435,0.513441851,0.65989492,0.498352339,0.454577068
0.542585326,0.542578084,0.615063075,0.491286932,0.504398088,0.522442252,0.583634012,0.522499308,0.668414168,0.49955972,0.456268115
0.545908782,0.548891753,0.621251457,0.501573488,0.50538193,0.524426379,0.589534978,0.523638832,0.67016314,0.4987124,0.475207474
