Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.26059322,0.26059322,0.26059322,0.26059322,0.26059322,0.26059322,0.26059322,0.26059322,0.26059322,0.251815981,0.251815981
0.259322034,0.245762712,0.250423729,0.26779661,0.258898305,0.263559322,0.258898305,0.263135593,0.242372881,0.251815981,0.242736077
0.247033898,0.241525424,0.246186441,0.270338983,0.25,0.263135593,0.254237288,0.270762712,0.220762712,0.25,0.228813559
0.23940678,0.240677966,0.229237288,0.273305085,0.243644068,0.264830508,0.246610169,0.270762712,0.210169492,0.251210654,0.222760291
0.236016949,0.234322034,0.229237288,0.273305085,0.23940678,0.265677966,0.239830508,0.270338983,0.205932203,0.247578692,0.220338983
0.230508475,0.233898305,0.224576271,0.274152542,0.240254237,0.263135593,0.236016949,0.279661017,0.194915254,0.248789346,0.217312349
0.225423729,0.231779661,0.225,0.270338983,0.236864407,0.265254237,0.232627119,0.288135593,0.190254237,0.245762712,0.208232446
0.224152542,0.229237288,0.225423729,0.271610169,0.234322034,0.266949153,0.227966102,0.289830508,0.190677966,0.245762712,0.207627119
0.218220339,0.223728814,0.219915254,0.270338983,0.234745763,0.266101695,0.225847458,0.287711864,0.187288136,0.246368039,0.21125908
0.217372881,0.220762712,0.219067797,0.269491525,0.238983051,0.266525424,0.21779661,0.29279661,0.184745763,0.244552058,0.21125908
0.219067797,0.21779661,0.215254237,0.267372881,0.235169492,0.266949153,0.220338983,0.296186441,0.183050847,0.246368039,0.210653753
0.21440678,0.219067797,0.213135593,0.266101695,0.230932203,0.267372881,0.218644068,0.295762712,0.184745763,0.245762712,0.210653753
0.213983051,0.216525424,0.208474576,0.264830508,0.227118644,0.267372881,0.218220339,0.296186441,0.180508475,0.246368039,0.21125908
0.208898305,0.211864407,0.210169492,0.265254237,0.228389831,0.26779661,0.215254237,0.297033898,0.180508475,0.246368039,0.210653753
0.209322034,0.213559322,0.208050847,0.26779661,0.228813559,0.268644068,0.212288136,0.297881356,0.177966102,0.246368039,0.210653753
0.21440678,0.212288136,0.2,0.263559322,0.228389831,0.26779661,0.210169492,0.297457627,0.178389831,0.246973366,0.21125908
0.206779661,0.212288136,0.202542373,0.262711864,0.224576271,0.268220339,0.20720339,0.297457627,0.177966102,0.248789346,0.21125908
0.2,0.20720339,0.195762712,0.263559322,0.222457627,0.269067797,0.205508475,0.297881356,0.177966102,0.248184019,0.21125908
0.197457627,0.203813559,0.19279661,0.260169492,0.223728814,0.269915254,0.203389831,0.298728814,0.18220339,0.248184019,0.21125908
0.199576271,0.203813559,0.194067797,0.255508475,0.224152542,0.270762712,0.202966102,0.299576271,0.181355932,0.245762712,0.21125908
0.199576271,0.201271186,0.193220339,0.258474576,0.225423729,0.271610169,0.202542373,0.3,0.180084746,0.245157385,0.21125908
0.197457627,0.200423729,0.193644068,0.253389831,0.224576271,0.271610169,0.200423729,0.298728814,0.176694915,0.245157385,0.21125908
0.200847458,0.200423729,0.187711864,0.248728814,0.219491525,0.271186441,0.200423729,0.299576271,0.175,0.246368039,0.21125908
0.203389831,0.199152542,0.190677966,0.251694915,0.221610169,0.272881356,0.201271186,0.3,0.179237288,0.246973366,0.21125908
0.200423729,0.195762712,0.189830508,0.249576271,0.225423729,0.272457627,0.197881356,0.299152542,0.177966102,0.246368039,0.21125908
0.202966102,0.195762712,0.186440678,0.249576271,0.222033898,0.273305085,0.196186441,0.297033898,0.178389831,0.245157385,0.21125908
0.199152542,0.194491525,0.183050847,0.247033898,0.21779661,0.272457627,0.197457627,0.297881356,0.183050847,0.245157385,0.21125908
0.202118644,0.194067797,0.18559322,0.248728814,0.223305085,0.272881356,0.194491525,0.298728814,0.179237288,0.245762712,0.21125908
0.206355932,0.193220339,0.18940678,0.247881356,0.219915254,0.273728814,0.195762712,0.298728814,0.183474576,0.245157385,0.21125908
0.205084746,0.194915254,0.185169492,0.251271186,0.218644068,0.274576271,0.194067797,0.299152542,0.181779661,0.244552058,0.21125908
0.205084746,0.191949153,0.184322034,0.245338983,0.216525424,0.272881356,0.191101695,0.298305085,0.182627119,0.244552058,0.21125908
0.21059322,0.193644068,0.181355932,0.244067797,0.215254237,0.271186441,0.193644068,0.298728814,0.179661017,0.246973366,0.21125908
0.20720339,0.195338983,0.182627119,0.240677966,0.212711864,0.268220339,0.193220339,0.298728814,0.18220339,0.246368039,0.21125908
0.204661017,0.191525424,0.181779661,0.232627119,0.213559322,0.269491525,0.190677966,0.299152542,0.180932203,0.246368039,0.21125908
0.204661017,0.190677966,0.182627119,0.234322034,0.209322034,0.266101695,0.190254237,0.299152542,0.181779661,0.243946731,0.21125908
0.203813559,0.188559322,0.181355932,0.231779661,0.205932203,0.262711864,0.188559322,0.299576271,0.183050847,0.239709443,0.21125908
0.202118644,0.18940678,0.18220339,0.229661017,0.207627119,0.258898305,0.190677966,0.299152542,0.181779661,0.236077482,0.21125908
0.201271186,0.186864407,0.182627119,0.229237288,0.208898305,0.260169492,0.191525424,0.298728814,0.181355932,0.233656174,0.21125908
0.199576271,0.187711864,0.18220339,0.224152542,0.205932203,0.254661017,0.188983051,0.3,0.180508475,0.232445521,0.21125908
0.198728814,0.187711864,0.18220339,0.222457627,0.203813559,0.252118644,0.190677966,0.299152542,0.181355932,0.236077482,0.21125908
0.199576271,0.186864407,0.181355932,0.222881356,0.200423729,0.250423729,0.188135593,0.299152542,0.180508475,0.235472155,0.21125908
0.198728814,0.188559322,0.181779661,0.219491525,0.197881356,0.246186441,0.18940678,0.299152542,0.180508475,0.234866828,0.210048426
0.195338983,0.188135593,0.180508475,0.218220339,0.198728814,0.24279661,0.189830508,0.299152542,0.180508475,0.233050847,0.210653753
0.194491525,0.187711864,0.180508475,0.213559322,0.194491525,0.23940678,0.190677966,0.298728814,0.18220339,0.234261501,0.210653753
