Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
2.121186441,2.030084746,2.131355932,2.094915254,2.051694915,2.102966102,2.103813559,2.103813559,2.052966102,2.138619855,2.207021792
2.047457627,1.984322034,1.977118644,2.061016949,2.036440678,1.952542373,1.979237288,2.029237288,1.819067797,2.136803874,2.173123487
1.910169492,1.891949153,1.903813559,2.003389831,1.88220339,1.859745763,1.855508475,2.020762712,1.754661017,2.021791768,2.030266344
1.777542373,1.823728814,1.838983051,1.983474576,1.835169492,1.861864407,1.723305085,1.909745763,1.630084746,1.982445521,2.033898305
1.678813559,1.801694915,1.784745763,1.870762712,1.741101695,1.803813559,1.633050847,1.788983051,1.615254237,1.976997579,2.110169492
1.611864407,1.762711864,1.768220339,1.808898305,1.679661017,1.794067797,1.587711864,1.766949153,1.538135593,1.957021792,1.973365617
1.577966102,1.740677966,1.745338983,1.784745763,1.621610169,1.775847458,1.542372881,1.739830508,1.521610169,1.950363196,1.969128329
1.535169492,1.747033898,1.807627119,1.733898305,1.634745763,1.794491525,1.483474576,1.689830508,1.504661017,1.960653753,2.016343826
1.501271186,1.676271186,1.747881356,1.683050847,1.572881356,1.747457627,1.457627119,1.647457627,1.478389831,1.914043584,1.966101695
1.459322034,1.669915254,1.790677966,1.602966102,1.541525424,1.754661017,1.427966102,1.625423729,1.444915254,1.848668281,1.878934625
1.435169492,1.66059322,1.770762712,1.573305085,1.516101695,1.727118644,1.415254237,1.580932203,1.434745763,1.800847458,1.861985472
1.390677966,1.649576271,1.745762712,1.544491525,1.470338983,1.725423729,1.340677966,1.522033898,1.415254237,1.857142857,1.851089588
1.388559322,1.629237288,1.780084746,1.547033898,1.447881356,1.737288136,1.336864407,1.540677966,1.425847458,1.776634383,1.819007264
1.390677966,1.606779661,1.66059322,1.488135593,1.437288136,1.703389831,1.316949153,1.490677966,1.397033898,1.748184019,1.823244552
1.373728814,1.608898305,1.68559322,1.46779661,1.420338983,1.703389831,1.319067797,1.477118644,1.390677966,1.797215496,1.8468523
1.319067797,1.574152542,1.696610169,1.465254237,1.416525424,1.720762712,1.302118644,1.465677966,1.386016949,1.730024213,1.811138015
1.294491525,1.546610169,1.628813559,1.443220339,1.383474576,1.68559322,1.290254237,1.432627119,1.376271186,1.697941889,1.673123487
1.333474576,1.552118644,1.577118644,1.401271186,1.391101695,1.679237288,1.281779661,1.443220339,1.379661017,1.683414044,1.692493947
1.308898305,1.550423729,1.584745763,1.374152542,1.372457627,1.687288136,1.252966102,1.434322034,1.377966102,1.592009685,1.615617433
1.288559322,1.539830508,1.581355932,1.368220339,1.370338983,1.665254237,1.249152542,1.399576271,1.364830508,1.613196126,1.591404358
1.273728814,1.524576271,1.475,1.359322034,1.340254237,1.647033898,1.241949153,1.388135593,1.355508475,1.650121065,1.554479419
1.253389831,1.537288136,1.487288136,1.344067797,1.309322034,1.648305085,1.227966102,1.376694915,1.322033898,1.681598063,1.538135593
1.254661017,1.525423729,1.429661017,1.320338983,1.319067797,1.659745763,1.215254237,1.380084746,1.325423729,1.61440678,1.521186441
1.257627119,1.511440678,1.400423729,1.300423729,1.287711864,1.669067797,1.212288136,1.358898305,1.345338983,1.602300242,1.455811138
1.236864407,1.497457627,1.357627119,1.295338983,1.289830508,1.664830508,1.215254237,1.356355932,1.338983051,1.634382567,1.45157385
1.244067797,1.518220339,1.324576271,1.261864407,1.267372881,1.648728814,1.209322034,1.339830508,1.343220339,1.613801453,1.424939467
1.229237288,1.505508475,1.313135593,1.268644068,1.23559322,1.662711864,1.208898305,1.343220339,1.327966102,1.625302663,1.405569007
1.21779661,1.491101695,1.268220339,1.256355932,1.225847458,1.638559322,1.205084746,1.334322034,1.313983051,1.599878935,1.435230024
1.200423729,1.481779661,1.297457627,1.238559322,1.237288136,1.588983051,1.197881356,1.320338983,1.305932203,1.608958838,1.381355932
1.201694915,1.471610169,1.258050847,1.216949153,1.20720339,1.591525424,1.186440678,1.299576271,1.298728814,1.598062954,1.365617433
1.178813559,1.456779661,1.222457627,1.219067797,1.205932203,1.585169492,1.188135593,1.302966102,1.286016949,1.632566586,1.374697337
1.19279661,1.436864407,1.181355932,1.197881356,1.197881356,1.593220339,1.176694915,1.306355932,1.283898305,1.627723971,1.349273608
1.158898305,1.43559322,1.180932203,1.180932203,1.178813559,1.560169492,1.173305085,1.28940678,1.26059322,1.615012107,1.293583535
1.173305085,1.414830508,1.180084746,1.169491525,1.173305085,1.553813559,1.162711864,1.281779661,1.245762712,1.613801453,1.283292978
1.152542373,1.40720339,1.181355932,1.168644068,1.156779661,1.550423729,1.163983051,1.283898305,1.221610169,1.663438257,1.296004843
1.134322034,1.406779661,1.173728814,1.156355932,1.141525424,1.551694915,1.163983051,1.28220339,1.195338983,1.544794189,1.242736077
