Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.589919864,0.589919864,0.589919864,0.589919864,0.589919864,0.589919864,0.589919864,0.589919864,0.589919864,0.575345381,0.573084346
0.591405037,0.589271634,0.591771907,0.58922673,0.590802269,0.592171814,0.588364013,0.588671671,0.591928391,0.573716165,0.56975961
0.591594167,0.588469374,0.598517553,0.590024255,0.590064669,0.591736401,0.590954558,0.590275097,0.595538301,0.574388527,0.571576186
0.593010753,0.592049607,0.599858187,0.592146988,0.590117634,0.590999747,0.591917526,0.591755144,0.5975317,0.574463643,0.574367006
0.596331402,0.594017655,0.600474043,0.593924837,0.590792075,0.592928316,0.592382322,0.591780023,0.59857986,0.575191666,0.576847507
0.595528399,0.594041758,0.603301709,0.596924317,0.591725276,0.592785166,0.593225807,0.593486981,0.603310436,0.57485995,0.580961854
0.594793075,0.593325696,0.604694853,0.596775406,0.592402267,0.59261707,0.596520639,0.595955196,0.601334342,0.575681546,0.584181225
0.594761444,0.593765453,0.605945765,0.596066449,0.591397537,0.593186158,0.596014221,0.595991294,0.60176712,0.575305068,0.584285055
0.597246452,0.5953379,0.605022691,0.596870092,0.592778626,0.594322427,0.596685068,0.598312734,0.602282444,0.575021551,0.584745826
0.596791969,0.59478058,0.605778923,0.596785514,0.594181712,0.594145907,0.599275894,0.600278094,0.604261195,0.575061974,0.583737174
0.599184502,0.593651143,0.607628656,0.597467445,0.594433753,0.593042571,0.599213549,0.600468197,0.604484043,0.575140227,0.58675226
0.598180996,0.59396948,0.6067044,0.597764361,0.595469052,0.593820877,0.600101368,0.601554342,0.602896427,0.57540603,0.585004372
0.59940798,0.595222022,0.60717765,0.597747123,0.596236449,0.596029297,0.600180024,0.602250349,0.603642946,0.575420795,0.588210066
0.599294423,0.595501375,0.607634482,0.599276729,0.594994894,0.598752538,0.60407638,0.603985812,0.604029853,0.575459193,0.590605387
0.598842843,0.597178845,0.609235845,0.600685806,0.595555082,0.600917193,0.604319433,0.60236255,0.603978744,0.57547793,0.592103208
0.598166563,0.59752969,0.610081892,0.601482951,0.596614631,0.600917999,0.603701148,0.606317582,0.605122526,0.575779231,0.589948014
0.600582525,0.598560368,0.610297688,0.604265069,0.598317761,0.599405952,0.604961584,0.607139864,0.606754,0.575900642,0.589583689
0.601021516,0.598541318,0.610526478,0.605107821,0.599257585,0.601161237,0.605923259,0.608059249,0.606613862,0.576004496,0.588815102
0.60183247,0.599183505,0.610582326,0.606336321,0.598660748,0.601761274,0.605339975,0.61003308,0.607474413,0.575834463,0.593479767
0.602946339,0.599550491,0.612536486,0.607307298,0.598081318,0.602495727,0.606434706,0.608182605,0.609065906,0.576046886,0.591160603
0.605029815,0.598933264,0.611867421,0.605982587,0.600459728,0.602653081,0.606753035,0.609576864,0.609432806,0.576135246,0.591907081
0.607929737,0.598748314,0.610620184,0.607672403,0.600330019,0.603399041,0.606864003,0.609799251,0.609389427,0.576099984,0.592619737
0.607908355,0.599033767,0.611812429,0.608967463,0.600519696,0.604294025,0.607883106,0.612146869,0.611329056,0.575774276,0.589455809
0.609029901,0.599630632,0.611347662,0.609584507,0.600251772,0.605302152,0.607793044,0.613288603,0.610877096,0.5766661,0.587547697
0.60793689,0.599319338,0.612160937,0.611137906,0.599898586,0.604983864,0.608526138,0.612709192,0.611836704,0.579468935,0.589379278
0.607201097,0.600344013,0.611786659,0.612934441,0.600265389,0.605650162,0.609903259,0.613186605,0.611923726,0.580046884,0.587988573
0.606621964,0.601623632,0.612669217,0.614176403,0.601523541,0.606546361,0.612354385,0.611966681,0.612587568,0.579740061,0.589201399
0.607328946,0.600574003,0.61292694,0.614832247,0.602339882,0.60735459,0.613466385,0.611322014,0.615477926,0.581343078,0.589723384
0.608806239,0.601116167,0.613426044,0.61555287,0.601310782,0.607402223,0.614614706,0.612372808,0.613190747,0.582416394,0.591215229
0.608681513,0.600156086,0.614085846,0.615852484,0.603516998,0.608557344,0.612982312,0.612639113,0.613651026,0.582849126,0.589780237
0.608069236,0.601163428,0.613625767,0.616624814,0.604172117,0.609042549,0.612973947,0.615305913,0.615324919,0.583662209,0.591264811
0.607926087,0.601491604,0.613835654,0.617770831,0.605148834,0.607749301,0.614731533,0.615466822,0.613828156,0.583279065,0.590634771
0.608160571,0.60227375,0.615168663,0.616710794,0.605376463,0.608785339,0.613942396,0.615793853,0.614833606,0.583772837,0.587741997
0.608051815,0.602206787,0.615879968,0.617914712,0.6071819,0.610282128,0.615193086,0.614760107,0.614743315,0.586266732,0.589240453
0.609659449,0.60121019,0.616764167,0.617256357,0.60772942,0.610713467,0.613823679,0.614891791,0.616125607,0.585841363,0.589435684
0.610327701,0.602514423,0.617399713,0.617494011,0.608393343,0.611975771,0.614353245,0.61597228,0.616490966,0.584472773,0.590256582
0.612315707,0.602129706,0.617145251,0.616193538,0.608736327,0.61189835,0.615012443,0.61602241,0.615837326,0.584550818,0.59061706
0.612565585,0.602555488,0.617859504,0.61823749,0.609013127,0.611616636,0.614077052,0.617022252,0.615887237,0.584964012,0.590571205
0.611449589,0.603090313,0.618445425,0.617677824,0.609313093,0.611806974,0.615314919,0.618603516,0.615929598,0.585664817,0.591456529
