Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
5.409610984,5.411441648,5.394050343,5.394050343,5.388100686,5.393592677,5.418764302,5.418306636,5.384439359,5.490196078,5.501611171
5.39771167,5.378947368,5.40228833,5.386727689,5.383066362,5.385354691,5.367505721,5.393135011,5.383524027,5.472652219,5.469387755
5.365217391,5.371624714,5.371167048,5.38993135,5.365217391,5.373913043,5.375743707,5.393135011,5.360640732,5.456140351,5.482277121
5.344622426,5.355148741,5.365675057,5.376201373,5.34187643,5.391762014,5.366590389,5.363386728,5.368421053,5.460268318,5.457572503
5.319908467,5.351487414,5.362929062,5.375743707,5.337299771,5.360640732,5.373913043,5.350114416,5.373455378,5.493292054,5.430719656
5.331350114,5.320366133,5.355148741,5.353775744,5.339130435,5.361098398,5.366590389,5.338215103,5.341418764,5.460268318,5.383458647
5.326773455,5.340503432,5.32173913,5.344622426,5.322196796,5.345080092,5.331350114,5.345995423,5.340503432,5.454076367,5.371643394
5.325858124,5.323112128,5.326315789,5.323112128,5.30617849,5.340961098,5.319908467,5.305720824,5.340045767,5.414860681,5.351235231
5.316704805,5.30389016,5.325858124,5.324942792,5.298855835,5.342334096,5.320823799,5.317162471,5.317162471,5.472652219,5.355531686
5.313501144,5.297940503,5.316704805,5.314874142,5.293363844,5.339130435,5.311670481,5.311670481,5.321281465,5.455108359,5.316863588
5.30389016,5.280549199,5.317620137,5.312128146,5.288787185,5.353318078,5.292448513,5.289244851,5.315789474,5.447884417,5.320085929
5.294279176,5.285125858,5.314416476,5.29610984,5.281922197,5.337299771,5.285125858,5.281006865,5.306636156,5.455108359,5.322234157
5.281922197,5.286956522,5.323569794,5.291990847,5.287871854,5.31624714,5.278718535,5.284210526,5.324942792,5.448916409,5.330827068
5.285583524,5.276887872,5.318077803,5.280549199,5.284210526,5.336384439,5.280549199,5.264988558,5.315331808,5.473684211,5.311493018
5.276887872,5.252631579,5.289244851,5.262242563,5.264530892,5.324942792,5.272311213,5.248512586,5.318535469,5.433436533,5.34264232
5.270022883,5.264530892,5.297025172,5.27826087,5.267276888,5.315789474,5.287871854,5.251258581,5.307093822,5.458204334,5.310418904
5.249427918,5.252631579,5.308924485,5.276430206,5.256750572,5.294279176,5.273684211,5.238443936,5.300686499,5.466460268,5.305048335
5.25583524,5.250800915,5.302974828,5.272768879,5.257208238,5.299771167,5.256750572,5.249427918,5.291075515,5.447884417,5.301825994
5.252631579,5.24576659,5.291075515,5.270480549,5.251258581,5.300228833,5.250343249,5.223798627,5.29610984,5.463364293,5.303974221
5.251258581,5.240732265,5.285583524,5.277803204,5.236613272,5.301144165,5.242105263,5.232951945,5.267276888,5.48503612,5.316863588
5.243478261,5.241189931,5.293363844,5.272768879,5.237070938,5.300228833,5.235697941,5.225171625,5.264073227,5.473684211,5.290010741
5.245308924,5.248970252,5.282837529,5.254004577,5.232951945,5.290160183,5.245308924,5.214645309,5.262700229,5.440660475,5.303974221
5.242105263,5.247139588,5.279176201,5.246681922,5.221052632,5.28375286,5.232494279,5.214187643,5.248970252,5.446852425,5.279269603
5.249885584,5.272311213,5.285125858,5.241189931,5.2201373,5.281922197,5.234324943,5.220594966,5.25812357,5.447884417,5.276047261
5.244393593,5.241189931,5.285125858,5.234324943,5.21006865,5.285125858,5.224713959,5.216933638,5.251716247,5.463364293,5.280343716
5.236155606,5.248970252,5.285583524,5.227459954,5.224713959,5.277803204,5.228375286,5.218764302,5.252631579,5.457172343,5.272824919
