Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.31474338,0.31474338,0.31474338,0.31474338,0.31474338,0.31474338,0.31474338,0.31474338,0.31474338,0.318404707,0.317013464
0.308793723,0.314612619,0.308859104,0.31082053,0.311670481,0.308728343,0.313043478,0.311212815,0.309512913,0.320856489,0.324532261
0.306897679,0.314808761,0.301144165,0.307551487,0.312128146,0.307486107,0.308924485,0.3085322,0.30389016,0.320366133,0.320685435
0.30467473,0.309774436,0.298202027,0.304740111,0.312520432,0.306636156,0.307813011,0.306374632,0.298659693,0.319548872,0.317887743
0.299771167,0.308270677,0.296959791,0.303040209,0.310951291,0.304347826,0.308466819,0.305982347,0.296829029,0.318241255,0.313866061
0.300555737,0.307224583,0.293102321,0.300163452,0.308401438,0.304936254,0.30539392,0.304020922,0.290487087,0.318731612,0.309494667
0.300555737,0.308009153,0.289702517,0.298790454,0.308205296,0.304282445,0.301013403,0.301405688,0.292448513,0.317423995,0.305298129
0.299771167,0.307813011,0.288067996,0.298986597,0.307289964,0.303236352,0.300882641,0.300686499,0.290225564,0.317914351,0.305123273
0.295913697,0.306832298,0.2883949,0.298202027,0.306505394,0.302517162,0.30003269,0.297940503,0.289506375,0.317914351,0.303549572
0.294867604,0.3054593,0.286760379,0.298332788,0.303170971,0.301928735,0.297090552,0.294671461,0.286368094,0.317914351,0.302850149
0.293886891,0.306832298,0.284014384,0.296567506,0.303628637,0.303497875,0.297417457,0.294998365,0.285322001,0.318241255,0.300577024
0.293429225,0.306570775,0.284014384,0.296698267,0.302517162,0.30389016,0.296240602,0.292710036,0.287283426,0.317750899,0.302150726
0.289964041,0.30539392,0.283883622,0.295913697,0.301601831,0.300555737,0.29460608,0.291402419,0.285387381,0.317587447,0.30197587
0.290944753,0.304543969,0.283556718,0.294213795,0.30310559,0.297482838,0.292775417,0.290552468,0.284537431,0.317587447,0.297429621
0.290094802,0.302844067,0.281072246,0.292710036,0.301471069,0.296763648,0.29225237,0.290290945,0.285714286,0.317750899,0.296555342
0.289571755,0.301928735,0.279241582,0.2914678,0.299836548,0.296632887,0.291271657,0.286694998,0.284341288,0.317423995,0.296905053
0.287871854,0.301601831,0.279110821,0.288133377,0.298005884,0.298725074,0.290094802,0.286629618,0.283033671,0.317423995,0.296730198
0.286368094,0.299836548,0.278391631,0.286629618,0.297417457,0.294998365,0.289833279,0.28604119,0.283360575,0.317260543,0.29620563
0.285714286,0.299509644,0.278391631,0.28604119,0.298332788,0.294148415,0.290421706,0.284145145,0.281922197,0.317587447,0.294631929
