Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.704272712,0.704272712,0.704272712,0.704272712,0.704272712,0.704272712,0.704272712,0.704272712,0.704272712,0.704371834,0.703721207
0.712072084,0.701072615,0.710209433,0.70887514,0.704291672,0.713117597,0.704805563,0.706910649,0.709502628,0.699632967,0.691600507
0.71349534,0.700378043,0.717535392,0.7124421,0.702826046,0.714463965,0.707730071,0.709115927,0.714637329,0.699890891,0.696119506
0.716535585,0.705071414,0.720018653,0.715847046,0.701831204,0.716919703,0.708449692,0.711276885,0.719941536,0.701079457,0.698544802
0.721669798,0.705145343,0.719903919,0.716935566,0.702601124,0.719474815,0.707968588,0.710821288,0.721725438,0.701969086,0.705750436
0.720293763,0.705535656,0.723854465,0.719987563,0.704652935,0.719255759,0.709760506,0.712057501,0.728408031,0.701831189,0.709902408
0.720492065,0.704723389,0.726733007,0.721149264,0.703839606,0.720666717,0.713946538,0.714225909,0.727082299,0.70201763,0.714186533
0.721178488,0.704436089,0.728515862,0.720073436,0.704993171,0.721590759,0.714880883,0.71423963,0.729142618,0.701795848,0.715247467
0.724722788,0.705280809,0.727648766,0.720812271,0.705472039,0.722315972,0.715039615,0.716747202,0.729974815,0.701971407,0.715979432
0.725154975,0.706511666,0.729144341,0.720895822,0.707513511,0.723562744,0.717485436,0.720852237,0.732677052,0.701971407,0.71788374
0.724905779,0.705940108,0.732192887,0.722353673,0.706376433,0.723088696,0.717160803,0.720236588,0.734053965,0.701402599,0.720146274
0.725847231,0.706094868,0.732091354,0.722439027,0.706299365,0.722597274,0.718023921,0.722834299,0.732043927,0.701425931,0.718240538
0.729050247,0.707071165,0.732103473,0.722418397,0.707144425,0.725863241,0.719523039,0.723925091,0.733896799,0.701688938,0.719113257
0.728239997,0.707356616,0.732558339,0.72437419,0.705566824,0.728391802,0.721494722,0.725333107,0.73467633,0.701538405,0.724058462
0.729171059,0.708644769,0.735183733,0.725143871,0.707122047,0.729005817,0.721790491,0.725632454,0.733535158,0.701196166,0.72472241
0.729160227,0.709512667,0.73712969,0.726261398,0.708733029,0.728937383,0.722393509,0.729191765,0.734412734,0.701251985,0.725235471
0.730347816,0.709567195,0.73693235,0.729798061,0.710860214,0.727490592,0.723272772,0.728569881,0.735236936,0.701251985,0.724609273
0.731614108,0.711083288,0.73745587,0.730801713,0.710901711,0.731676902,0.723775757,0.728631434,0.734684622,0.701268486,0.724562895
0.732404511,0.710826754,0.737547603,0.731182578,0.709477592,0.73272544,0.723833058,0.730660994,0.736154365,0.700917239,0.728695739
0.733596343,0.712317297,0.739767837,0.731463789,0.709548607,0.733569296,0.725208621,0.729588729,0.736682505,0.70072562,0.726299356
0.735578961,0.711893279,0.739281438,0.731331653,0.711553087,0.733809509,0.725839966,0.731058306,0.737525565,0.700937311,0.727753998
0.738030178,0.711938851,0.738960114,0.732931382,0.711276161,0.735406093,0.726945175,0.73140311,0.737878018,0.701162704,0.727504737
0.737170554,0.712342449,0.740641873,0.734438856,0.711406881,0.734330416,0.728742127,0.734395553,0.739897964,0.697684463,0.725010536
0.738234395,0.714078336,0.739946213,0.734294504,0.711854284,0.735700302,0.728987532,0.736134529,0.739094996,0.695801154,0.722826528
0.737440767,0.713136221,0.740179287,0.735549689,0.71154956,0.736318955,0.729299526,0.735415526,0.740209021,0.699534074,0.726948284
