Query-core-cuda n,Query-core-cuda p,MASFo n,MASFo p
-13.967930029154518,14.154518950437318,-14.002801120448177,13.977591036414566
-14.518950437317786,15.603498542274053,-14.551820728291318,15.428571428571429
-15.21865889212828,16.903790087463555,-14.983193277310923,16.99719887955182
-16.049562682215743,18.072886297376094,-15.495798319327731,18.484593837535016
-16.857142857142858,19.26530612244898,-15.988795518207281,19.991596638655462
-17.60058309037901,20.521865889212823,-16.490196078431374,21.490196078431374
-18.28279883381924,21.839650145772595,-16.921568627450977,23.058823529411764
-18.93586005830904,23.186588921282798,-17.294117647058822,24.686274509803923
-19.52186588921283,24.60058309037901,-17.711484593837532,26.26890756302521
-20.463556851311953,25.658892128279884,-18.159663865546218,27.820728291316527
-21.68221574344023,26.440233236151602,-18.66386554621849,29.316526610644257
-22.976676384839653,27.145772594752184,-19.11204481792717,30.868347338935575
-24.22740524781341,27.895043731778426,-19.54901960784314,32.431372549019606
-25.335276967930035,28.787172011661806,-19.971988795518207,34.008403361344534
-26.297376093294456,29.82507288629738,-20.38095238095238,35.59943977591037
-27.160349854227405,30.962099125364432,-20.73949579831933,37.24089635854342
-28.02040816326531,32.10204081632653,-21.165266106442576,38.815126050420176
-28.830903790087465,33.29154518950437,-21.627450980392158,40.352941176470594
-29.734693877551017,34.38775510204082,-22.1624649859944,41.81792717086836
-30.7201166180758,35.40233236151604,-22.58263305322129,43.39775910364147
-31.658892128279884,36.46355685131196,-23.0952380952381,44.885154061624654
-32.629737609329446,37.492711370262384,-23.81512605042017,46.16526610644258
-33.61516034985423,38.50728862973761,-24.711484593837536,47.26890756302521
-34.61807580174927,39.504373177842574,-25.705882352941178,48.27450980392157
-35.62099125364431,40.501457725947525,-26.80112044817927,49.17927170868347
-36.56851311953353,41.5539358600583,-27.834733893557424,50.14565826330533
-37.51603498542274,42.606413994169095,-28.927170868347336,51.05322128851542
-38.504373177842574,43.61807580174927,-30.04201680672269,51.938375350140056
-39.46647230320699,44.65597667638484,-31.13165266106443,52.84873949579832
-40.454810495626816,45.66763848396501,-32.266106442577026,53.714285714285715
-41.373177842565596,46.74927113702624,-33.38655462184874,54.59383753501401
-42.370262390670554,47.75218658892128,-34.49579831932773,55.48459383753502
-43.33819241982507,48.78425655976677,-35.51820728291317,56.462184873949575
-44.46064139941691,49.66180758017493,-36.523809523809526,57.45658263305321
-45.59475218658893,50.527696793002924,-37.43137254901961,58.54901960784314
-46.72303206997084,51.399416909620996,-38.38655462184874,59.593837535014
-47.83965014577259,52.28279883381924,-39.42016806722689,60.560224089635845
-48.991253644314874,53.13119533527697,-40.4873949579832,61.49299719887956
-50.1399416909621,53.98250728862974,-41.46218487394958,62.51820728291317
-51.27696793002916,54.845481049562686,-42.554621848739494,63.425770308123255
-52.44897959183674,55.67346938775511,-43.635854341736696,64.34453781512606
-53.63556851311954,56.4868804664723,-44.71148459383753,65.26890756302521
-54.76967930029155,57.352769679300295,-45.86834733893557,66.11204481792717
-55.88921282798834,58.23323615160349,-46.904761904761905,67.07563025210084
-57.06413994169096,59.05830903790088,-47.84873949579833,68.13165266106442
-58.180758017492714,59.94169096209912,-48.918767507002805,69.06162464985995
-59.28279883381924,60.83965014577259,-49.960784313725505,70.01960784313725
-60.483965014577265,61.63848396501457,-50.913165266106446,71.0672268907563
-61.647230320699705,62.475218658892125,-52.02240896358544,71.95798319327731
-62.798833819241985,63.323615160349846,-53.03081232492997,72.94957983193278
