Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
2.918535469,2.918535469,2.918535469,2.918535469,2.918535469,2.918535469,2.918535469,2.918535469,2.918535469,3.162022704,3.19226638
2.89382151,2.865446224,2.886498856,2.902974828,2.871853547,2.84805492,2.849885584,2.900686499,2.87826087,3.114551084,3.109559613
2.79771167,2.843020595,2.821510297,2.867276888,2.834782609,2.810983982,2.841189931,2.857665904,2.821510297,3.061919505,3.13104189
2.760183066,2.818306636,2.794050343,2.845308924,2.800457666,2.793135011,2.832494279,2.826086957,2.8,3.083591331,3.077336198
2.715789474,2.788100686,2.770251716,2.80778032,2.786727689,2.735926773,2.844393593,2.799084668,2.806864989,3.123839009,3.044038668
2.698398169,2.746453089,2.739130435,2.730434783,2.781235698,2.740961098,2.835697941,2.773455378,2.732265446,3.026831785,2.937701396
2.659496568,2.743707094,2.707093822,2.722196796,2.758810069,2.686498856,2.771624714,2.793135011,2.732265446,3.004127967,2.92481203
2.649885584,2.705720824,2.710297483,2.67597254,2.729061785,2.730434783,2.718077803,2.715789474,2.712128146,2.963880289,2.858216971
2.670480549,2.691990847,2.711670481,2.681922197,2.736384439,2.703432494,2.711670481,2.746453089,2.708924485,3.063983488,2.878625134
2.646681922,2.684668192,2.684210526,2.671853547,2.71624714,2.694279176,2.669107551,2.690160183,2.674599542,3.002063983,2.833512352
2.651716247,2.661327231,2.705263158,2.674599542,2.709839817,2.695652174,2.635697941,2.657665904,2.688329519,2.974200206,2.8216971
2.605491991,2.656292906,2.664530892,2.650343249,2.670022883,2.661327231,2.63798627,2.630663616,2.667734554,2.998968008,2.810955961
2.572997712,2.664988558,2.681464531,2.666819222,2.705720824,2.623798627,2.633409611,2.656292906,2.68375286,2.978328173,2.834586466
2.574828375,2.658581236,2.702517162,2.613729977,2.676430206,2.642562929,2.640732265,2.601830664,2.653089245,2.989680083,2.809881847
2.575743707,2.612814645,2.652173913,2.593592677,2.639816934,2.631121281,2.622883295,2.604576659,2.675514874,2.954592363,2.857142857
2.545080092,2.622425629,2.650343249,2.612814645,2.665446224,2.618764302,2.627002288,2.622883295,2.630663616,2.986584107,2.833512352
2.511212815,2.634782609,2.659038902,2.594965675,2.644851259,2.593592677,2.615102975,2.573455378,2.600457666,3.002063983,2.809881847
2.527231121,2.632494279,2.654004577,2.569336384,2.627002288,2.576201373,2.580320366,2.580320366,2.596796339,2.955624355,2.792696026
2.532723112,2.590389016,2.635697941,2.590846682,2.644393593,2.585354691,2.560640732,2.555606407,2.589016018,2.955624355,2.77980666
2.515789474,2.587185355,2.630663616,2.571624714,2.584439359,2.582608696,2.533638444,2.55194508,2.561556064,3.005159959,2.78839957
2.508466819,2.600457666,2.618764302,2.578947368,2.573913043,2.59221968,2.545537757,2.572997712,2.570709382,3.024767802,2.748657358
2.508009153,2.587643021,2.624256293,2.557437071,2.588100686,2.560640732,2.530892449,2.537299771,2.528146453,2.937048504,2.772287863
2.515789474,2.588558352,2.59221968,2.540045767,2.56979405,2.543707094,2.528604119,2.529519451,2.543707094,2.984520124,2.758324382
2.52402746,2.605949657,2.605949657,2.537299771,2.570709382,2.553318078,2.561556064,2.525858124,2.539130435,2.964912281,2.744360902
2.522654462,2.556064073,2.623798627,2.531350114,2.552860412,2.565675057,2.503432494,2.538215103,2.53409611,2.978328173,2.770139635
2.497482838,2.572997712,2.616933638,2.510755149,2.554691076,2.556521739,2.528604119,2.542791762,2.519450801,2.962848297,2.776584318
2.494736842,2.567963387,2.586270023,2.504805492,2.530892449,2.527688787,2.523569794,2.53409611,2.527231121,2.941176471,2.77443609
2.497940503,2.60228833,2.623798627,2.520823799,2.530434783,2.529061785,2.552402746,2.529061785,2.545537757,2.861713106,2.778732546
