,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
0,-60,5,-60,5,-60,5,-59,13,-52,16,-58,7,-57,9,-60,5,-63,2,-113,19,-64,11,-59,8,-60,5,-62,3,-61,4,-62,3,-62,3,-61,4
1,-60,5,-60,5,-60,5,-60,14,-88,18,-58,9,-59,14,-60,5,-63,2,-116,19,-85,11,-62,9,-66,12,-62,3,-61,4,-62,3,-62,3,-61,4
2,-60,5,-60,16,-60,5,-60,14,-90,18,-86,10,-60,14,-60,5,-63,2,-116,19,-85,11,-72,9,-101,13,-63,3,-61,4,-62,3,-62,3,-61,4
3,-60,5,-108,58,-60,5,-60,14,-90,18,-86,10,-60,14,-60,5,-63,2,-116,19,-85,11,-72,9,-101,13,-63,3,-61,4,-62,3,-62,3,-61,4
4,-60,5,-185,58,-60,5,-60,14,-102,19,-86,10,-60,14,-60,5,-63,2,-116,19,-85,11,-72,9,-101,13,-63,3,-61,4,-62,3,-62,3,-61,4
5,-60,5,-248,58,-60,5,-60,14,-122,26,-86,10,-60,14,-60,5,-63,2,-116,19,-85,11,-72,9,-101,13,-63,3,-61,4,-62,3,-62,3,-61,4
6,-60,5,-248,58,-60,5,-60,14,-207,30,-86,10,-60,14,-60,5,-63,2,-116,19,-85,11,-72,9,-101,13,-63,3,-61,5,-62,3,-62,3,-61,4
7,-60,5,-254,58,-60,5,-60,14,-289,30,-86,10,-60,15,-60,5,-63,2,-116,19,-85,11,-72,9,-102,13,-63,3,-61,5,-62,3,-62,3,-61,4
8,-60,5,-272,58,-60,5,-60,14,-359,30,-86,10,-62,15,-60,5,-63,2,-116,19,-85,11,-72,9,-102,13,-63,3,-61,5,-62,3,-62,3,-61,4
9,-60,5,-332,58,-60,5,-60,14,-388,30,-86,10,-63,15,-60,5,-63,2,-116,19,-85,11,-72,9,-102,13,-63,3,-61,5,-62,3,-62,3,-61,4
10,-60,5,-416,58,-60,6,-60,14,-390,30,-86,10,-63,15,-60,5,-63,2,-116,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-62,3,-61,4
11,-60,5,-456,58,-60,8,-60,15,-433,30,-86,10,-63,16,-60,5,-63,2,-119,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-62,3,-61,4
12,-60,5,-486,58,-71,10,-102,17,-433,30,-86,10,-64,16,-60,5,-63,2,-119,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-62,5,-61,4
13,-61,9,-527,62,-75,11,-104,17,-434,53,-86,10,-64,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-62,9,-61,4
14,-127,23,-527,62,-75,11,-104,17,-434,53,-86,10,-64,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-69,12,-61,4
15,-177,35,-527,62,-75,11,-104,17,-434,53,-86,10,-64,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-93,16,-61,4
16,-267,35,-527,62,-75,11,-104,17,-434,53,-86,10,-64,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-93,16,-61,4
17,-324,68,-527,62,-75,11,-104,17,-434,53,-86,10,-64,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-93,16,-61,4
18,-414,68,-527,62,-75,11,-104,17,-434,53,-86,10,-64,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-93,16,-61,4
19,-504,68,-527,62,-75,11,-104,17,-434,53,-86,10,-64,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-93,16,-61,4
20,-528,68,-527,62,-75,11,-104,17,-434,96,-87,10,-86,16,-60,5,-63,2,-124,19,-85,11,-72,9,-102,13,-66,3,-61,5,-62,3,-93,16,-61,4
21,-528,68,-527,69,-75,11,-104,17,-434,162,-87,10,-86,16,-61,5,-63,2,-138,19,-85,11,-72,9,-102,13,-66,3,-63,5,-62,3,-93,16,-61,4
22,-528,68,-527,69,-75,11,-107,17,-434,162,-87,10,-86,16,-61,5,-63,2,-223,19,-85,11,-72,9,-102,13,-66,3,-63,5,-62,3,-95,16,-61,4
23,-528,68,-527,69,-75,11,-107,17,-434,162,-87,10,-86,16,-61,5,-63,2,-312,19,-86,11,-72,9,-102,13,-66,3,-63,5,-62,3,-95,16,-61,4
24,-528,68,-527,69,-75,11,-107,17,-434,162,-87,10,-86,16,-61,5,-63,2,-398,19,-86,11,-72,9,-102,13,-66,7,-63,5,-62,3,-95,16,-61,4
25,-528,68,-527,69,-75,11,-112,17,-434,162,-87,10,-86,16,-61,5,-63,2,-479,19,-86,11,-72,9,-102,13,-66,9,-63,7,-62,3,-95,16,-61,4
26,-528,68,-527,69,-75,11,-117,17,-434,162,-87,10,-86,16,-61,5,-63,2,-538,22,-86,11,-83,9,-102,13,-66,9,-63,7,-62,3,-106,16,-62,4
27,-528,68,-527,69,-94,11,-151,17,-434,162,-87,10,-86,16,-61,5,-63,2,-538,58,-86,11,-83,9,-102,13,-66,9,-63,7,-62,3,-107,16,-62,4
28,-528,68,-527,69,-95,11,-226,17,-434,162,-87,10,-89,16,-61,5,-63,2,-538,58,-86,11,-83,9,-104,13,-66,9,-63,7,-62,3,-116,16,-62,4
29,-528,68,-527,69,-95,11,-315,17,-434,162,-87,10,-89,16,-61,5,-63,2,-538,58,-86,11,-84,9,-104,13,-66,9,-63,7,-62,3,-116,16,-62,4
30,-528,68,-527,69,-95,11,-400,19,-434,162,-90,10,-89,16,-61,5,-63,2,-538,58,-86,11,-84,9,-104,13,-66,9,-63,7,-62,3,-116,16,-62,4
31,-528,68,-527,69,-95,11,-481,19,-434,162,-90,10,-89,16,-61,6,-63,2,-538,58,-86,11,-84,9,-104,13,-66,9,-63,7,-62,11,-116,16,-62,4
32,-528,68,-527,69,-95,11,-481,19,-434,162,-90,10,-89,16,-151,6,-63,2,-538,58,-86,11,-84,9,-104,13,-66,9,-63,7,-62,11,-116,16,-62,4
33,-528,68,-527,69,-95,11,-551,20,-434,162,-90,10,-89,16,-151,6,-63,2,-538,58,-88,11,-90,9,-109,13,-66,9,-69,7,-62,11,-116,16,-62,4
34,-528,68,-527,69,-95,11,-551,45,-434,162,-90,10,-93,16,-151,6,-63,2,-538,58,-95,11,-99,9,-124,13,-66,9,-69,7,-62,11,-143,16,-65,4
35,-528,68,-527,69,-95,11,-551,45,-434,162,-92,10,-93,16,-151,6,-69,3,-538,58,-95,11,-99,9,-124,13,-66,9,-69,7,-62,11,-224,16,-65,4
36,-528,68,-527,69,-95,11,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-95,11,-99,9,-124,13,-66,9,-69,7,-62,11,-294,16,-65,4
37,-528,68,-527,69,-95,11,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-95,11,-99,9,-124,13,-93,9,-69,7,-62,11,-356,17,-65,4
38,-528,68,-527,69,-95,34,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-124,13,-93,9,-69,7,-62,11,-411,18,-65,4
