,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16
0,-63,9,-60,4,-61,3,-58,13,-57,7,-59,5,-87,8,-57,7,-58,36,-53,15,-55,9,-58,11,-62,2,-60,4,-61,3,-60,4,-61,3
1,-63,9,-60,4,-61,3,-59,15,-57,7,-59,5,-87,8,-57,7,-114,37,-71,16,-55,9,-59,16,-62,2,-60,4,-61,3,-60,4,-61,3
2,-99,9,-60,4,-61,3,-67,17,-57,7,-61,10,-88,13,-57,7,-114,37,-71,16,-55,10,-79,19,-63,2,-60,4,-61,4,-60,4,-61,3
3,-99,9,-83,17,-61,3,-98,18,-57,7,-61,12,-88,13,-57,8,-118,37,-71,16,-55,13,-81,19,-63,2,-60,5,-61,4,-60,5,-64,3
4,-99,25,-83,53,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-118,37,-71,16,-55,13,-81,19,-63,2,-61,5,-61,4,-61,5,-64,3
5,-141,25,-126,53,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-118,37,-71,16,-55,13,-81,19,-63,2,-61,5,-61,4,-61,5,-64,3
6,-186,26,-164,54,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-118,37,-71,16,-55,13,-81,19,-63,2,-61,5,-61,4,-61,5,-64,3
7,-265,26,-170,54,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-118,37,-71,16,-55,13,-81,19,-63,2,-61,5,-61,4,-61,5,-64,3
8,-324,29,-184,54,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-127,37,-71,16,-55,13,-81,19,-63,2,-61,5,-61,4,-61,5,-64,3
9,-336,69,-206,54,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-129,37,-71,16,-55,14,-81,19,-63,2,-67,7,-61,4,-61,5,-64,3
10,-376,69,-245,57,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-132,37,-71,16,-55,14,-81,19,-63,2,-67,7,-61,4,-61,5,-64,3
11,-457,69,-245,57,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-136,37,-71,16,-55,14,-81,19,-63,2,-67,7,-61,4,-61,5,-64,3
12,-514,69,-252,57,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-157,37,-71,16,-55,14,-81,19,-63,2,-67,7,-61,4,-61,5,-64,3
13,-522,69,-325,57,-61,3,-98,18,-57,7,-61,12,-88,13,-88,8,-161,37,-71,16,-55,14,-81,19,-63,2,-67,7,-61,4,-61,5,-64,3
14,-525,69,-359,57,-61,5,-98,18,-57,8,-69,13,-88,13,-88,8,-168,37,-71,16,-83,15,-81,19,-63,2,-67,7,-61,4,-61,5,-64,3
15,-527,69,-426,57,-63,6,-98,18,-57,8,-69,13,-88,13,-88,8,-179,37,-72,16,-83,15,-82,19,-63,2,-67,7,-61,4,-61,5,-64,3
16,-527,69,-486,57,-64,7,-98,18,-57,8,-69,13,-88,13,-88,8,-188,37,-72,16,-83,15,-82,19,-63,2,-67,7,-75,4,-61,5,-64,3
17,-527,69,-491,58,-66,7,-98,18,-57,8,-69,13,-88,13,-88,8,-265,37,-72,16,-83,15,-82,19,-63,2,-67,7,-75,4,-61,5,-64,3
18,-527,69,-530,58,-66,9,-98,18,-58,8,-69,13,-88,13,-88,8,-308,37,-72,16,-83,15,-82,19,-63,2,-67,7,-75,4,-61,5,-64,3
19,-527,69,-530,61,-66,9,-99,18,-58,8,-69,13,-88,13,-88,8,-389,37,-72,16,-83,15,-82,19,-63,2,-67,7,-75,4,-61,5,-64,3
20,-527,69,-530,66,-66,9,-100,18,-58,8,-69,13,-88,13,-88,8,-468,37,-72,16,-83,15,-82,19,-63,2,-67,7,-75,4,-61,5,-64,3
21,-527,69,-530,66,-66,9,-123,18,-58,8,-69,13,-88,13,-88,8,-523,38,-72,16,-83,15,-88,19,-63,2,-67,7,-75,4,-61,5,-64,3
22,-527,69,-530,66,-66,9,-165,18,-58,8,-69,13,-88,13,-88,8,-538,58,-80,16,-83,15,-88,19,-63,2,-67,7,-75,4,-61,5,-64,3
23,-527,69,-530,66,-66,9,-248,18,-59,8,-69,13,-88,13,-88,8,-538,58,-80,16,-83,15,-89,19,-63,2,-67,7,-75,4,-61,5,-64,3
