Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.523590567,0.525834822,0.523590567,0.523590567,0.525834822,0.525834822,0.523590567,0.523590567,0.523590567,0.513629435,0.513629435
0.542161542,0.558771094,0.628044391,0.540712375,0.525449356,0.548632982,0.549316192,0.540497885,0.750189088,0.553113986,0.537340301
0.568735658,0.575986611,0.708012561,0.520426492,0.524531323,0.539985206,0.573551942,0.555917916,0.82802661,0.56411869,0.533809348
0.595431372,0.584353961,0.761182056,0.51910338,0.52075211,0.539395619,0.593549372,0.575753658,0.851853924,0.575569854,0.531089869
0.611034811,0.592427218,0.793061379,0.518767434,0.511011271,0.542251234,0.607544208,0.596598537,0.864976431,0.599182982,0.51650864
0.630732822,0.600049853,0.816267353,0.52774699,0.506234739,0.538856743,0.625457141,0.611062754,0.87655656,0.606530093,0.515496149
0.651211212,0.603387694,0.835124035,0.538334351,0.507154654,0.5454489,0.638852439,0.624673027,0.884069314,0.622902897,0.523814837
0.672014369,0.607138627,0.855010399,0.548472148,0.50570956,0.55086686,0.654212666,0.633214275,0.891042003,0.625891035,0.533619166
0.685278167,0.613300787,0.873045423,0.562904326,0.506856067,0.562918033,0.670327267,0.647789874,0.893528911,0.638445984,0.539404476
0.706384384,0.616361604,0.885990692,0.577178313,0.508100671,0.572188283,0.681549885,0.658650348,0.895428695,0.631746588,0.546848575
0.72355643,0.614918068,0.896534774,0.587803023,0.511482999,0.57632487,0.691416049,0.669019857,0.898318194,0.641667046,0.562973227
0.735870797,0.61445854,0.902415438,0.601565532,0.514251625,0.583331937,0.69981694,0.674958792,0.899786907,0.643113834,0.573357218
0.752738634,0.611771047,0.906728132,0.610765727,0.518137422,0.589123568,0.710171381,0.683435704,0.89942039,0.646448848,0.587229905
0.759705715,0.611980974,0.911095749,0.616435751,0.520247157,0.59482556,0.720750845,0.690993223,0.900382229,0.649466432,0.595678384
0.769478667,0.611543208,0.915822421,0.626919613,0.524462122,0.598168642,0.726944839,0.697795678,0.900150487,0.656854877,0.596463556
0.776220038,0.614245313,0.919080605,0.638168283,0.529797886,0.60204109,0.732646534,0.700801065,0.899979189,0.669032547,0.597222277
0.779590484,0.612567102,0.920505519,0.649674757,0.534794248,0.606310443,0.738960799,0.705028759,0.89998913,0.671805332,0.61336453
0.787718958,0.611477204,0.920902157,0.663633556,0.539515302,0.607660435,0.744465942,0.710487706,0.899568799,0.67422999,0.627345424
0.795812029,0.612455111,0.921095041,0.676597252,0.544200762,0.612305216,0.748067373,0.715056642,0.900102436,0.677157233,0.64211846
0.802499818,0.613863675,0.920625531,0.685447084,0.550737966,0.614487069,0.751448025,0.718857935,0.900651899,0.68180305,0.644906991
0.804020246,0.613615793,0.920408119,0.694766323,0.560385055,0.615583564,0.7539859,0.722830224,0.901028889,0.681202956,0.660113005
0.80730284,0.613525572,0.92032675,0.709027894,0.565524171,0.620646556,0.757524607,0.727584384,0.90139302,0.686037319,0.669577768
0.813306926,0.613284822,0.91962962,0.72073494,0.574916562,0.62258676,0.75942999,0.729764914,0.902324397,0.690302344,0.680551208
