Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
3.216565657,3.322626263,3.208686869,3.22,3.224848485,3.268686869,3.311111111,3.228080808,3.213535354,2.444055944,2.296620047
3.185858586,3.374949495,3.21979798,3.005858586,2.966464646,3.154747475,3.249090909,3.135151515,2.925454545,2.113053613,1.886946387
3.016161616,3.406060606,3.112121212,2.785252525,2.870707071,2.93979798,3.071313131,3.101212121,2.862222222,1.988344988,1.674242424
2.946060606,3.35030303,2.986262626,2.533131313,2.672929293,2.746666667,3.01030303,3.232929293,2.63979798,1.729020979,1.418997669
2.805858586,3.457171717,2.832727273,2.322020202,2.553939394,2.591313131,3.129494949,3.065050505,2.464040404,1.70979021,1.536713287
2.746262626,3.489494949,2.708484848,2.16020202,2.39979798,2.442222222,2.993333333,3.064646465,2.344040404,1.652680653,1.392773893
2.639393939,3.564040404,2.55979798,2.015353535,2.284444444,2.430505051,2.891717172,2.954343434,2.256767677,1.48018648,1.27039627
2.571515152,3.521212121,2.407878788,1.895959596,2.234545455,2.334949495,2.907070707,2.946666667,2.145858586,1.469114219,1.136363636
2.495757576,3.573535354,2.245858586,1.861414141,2.10020202,2.128282828,2.856363636,2.90969697,2.121818182,1.384615385,1.124125874
2.387878788,3.572323232,2.186666667,1.864444444,2.055353535,2.055353535,2.871515152,2.846666667,2.067878788,1.360722611,1.037878788
2.451717172,3.604444444,2.122828283,1.821010101,1.946262626,1.961616162,2.798585859,2.862020202,2.038585859,1.494172494,1.092074592
2.374343434,3.656363636,2.034747475,1.783636364,1.886464646,1.983434343,2.795757576,2.904646465,2.007272727,1.361888112,1.054778555
2.358181818,3.742424242,1.977373737,1.776969697,1.870909091,1.937373737,2.745858586,2.853131313,2.012727273,1.396270396,1.069347319
2.346262626,3.741212121,1.940808081,1.764646465,1.901818182,1.876969697,2.717979798,2.830707071,1.975555556,1.31993007,0.934149184
2.345252525,3.772929293,1.894545455,1.788484848,1.858181818,1.897979798,2.711717172,2.853939394,1.955151515,1.333916084,0.891608392
2.30020202,3.721818182,1.878787879,1.781212121,1.797575758,1.905050505,2.759191919,2.772929293,1.958787879,1.314102564,0.90034965
2.315353535,3.857171717,1.864444444,1.769494949,1.830707071,1.867272727,2.734747475,2.796161616,1.954141414,1.186480186,0.798951049
2.236565657,3.731919192,1.858585859,1.776767677,1.870505051,1.871111111,2.663434343,2.772323232,1.953939394,1.398601399,0.812354312
2.252929293,3.826868687,1.86040404,1.793333333,1.863232323,1.852323232,2.636161616,2.744646465,1.94,1.157925408,0.809440559
2.188888889,3.883838384,1.897171717,1.767070707,1.873737374,1.878787879,2.65959596,2.746868687,1.94020202,1.063519814,0.871794872
2.173737374,3.806464646,1.858989899,1.783030303,1.824646465,1.825050505,2.615757576,2.725050505,1.927272727,1.178904429,0.800699301
2.15010101,3.879393939,1.863838384,1.787878788,1.827474747,1.874949495,2.622020202,2.703434343,1.933333333,1.119463869,0.824009324
2.124040404,3.850909091,1.858585859,1.792727273,1.833333333,1.843232323,2.614949495,2.677777778,1.913333333,1.143356643,0.82983683
2.068080808,3.900606061,1.869090909,1.808080808,1.853333333,1.837777778,2.668282828,2.672727273,1.907070707,1.042540793,0.83974359
2.040808081,3.869090909,1.86969697,1.812727273,1.82020202,1.88020202,2.616161616,2.664242424,1.904444444,1.003496503,0.836829837
2.008282828,3.97979798,1.872121212,1.800808081,1.835757576,1.852929293,2.574141414,2.636161616,1.914545455,1.009324009,0.83041958
1.987070707,3.981010101,1.881212121,1.811717172,1.864242424,1.822828283,2.568888889,2.663030303,1.907878788,1.027972028,0.844988345
1.932323232,3.971717172,1.87979798,1.811515152,1.861818182,1.865454545,2.572323232,2.620808081,1.908080808,0.978438228,0.842657343
1.946060606,3.961818182,1.907474747,1.813535354,1.852929293,1.857171717,2.595757576,2.615757576,1.904444444,1.041958042,0.865384615
1.931919192,3.902828283,1.889090909,1.829292929,1.844646465,1.864646465,2.538585859,2.651919192,1.907272727,1,0.851981352
1.91979798,4.018181818,1.895959596,1.829090909,1.861818182,1.870505051,2.551919192,2.628686869,1.912929293,1.020979021,0.847902098
1.904040404,4.010909091,1.902626263,1.835151515,1.833131313,1.853131313,2.51979798,2.592121212,1.910707071,1.022144522,0.864219114
1.877979798,4.014949495,1.915959596,1.83979798,1.836767677,1.852525253,2.483030303,2.602424242,1.913737374,1.061188811,0.837412587
1.883434343,3.983232323,1.926262626,1.833535354,1.846464646,1.852121212,2.461212121,2.597171717,1.910909091,0.984265734,0.857226107
1.860606061,3.989494949,1.921616162,1.843838384,1.891313131,1.857171717,2.463232323,2.574747475,1.917373737,1.023892774,0.870629371
1.866464646,3.985656566,1.922222222,1.848484848,1.821212121,1.862626263,2.449292929,2.573939394,1.928888889,0.984265734,0.945804196
1.858787879,4.055151515,1.932929293,1.84969697,1.835959596,1.843838384,2.477979798,2.573333333,1.929090909,0.985431235,0.842074592
1.837575758,4.036767677,1.930505051,1.859191919,1.867272727,1.872929293,2.437373737,2.583030303,1.935757576,1.01048951,0.863636364
1.848888889,4.025454545,1.938787879,1.858585859,1.846464646,1.88,2.427070707,2.550909091,1.935555556,0.941724942,0.855477855
1.846868687,4.044444444,1.943636364,1.867272727,1.851717172,1.892727273,2.408484848,2.587070707,1.942828283,0.964452214,0.858974359
1.838383838,4.022626263,1.934343434,1.864646465,1.846666667,1.855959596,2.422828283,2.550909091,1.926060606,0.996503497,0.871794872
1.847878788,4.037373737,1.945656566,1.872121212,1.846464646,1.867272727,2.382424242,2.526262626,1.944848485,0.893939394,0.877622378
1.847676768,4.071111111,1.952121212,1.860808081,1.840606061,1.870707071,2.379191919,2.519393939,1.946464646,0.94988345,0.846153846
