Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.55029684,0.552357521,0.55029684,0.55029684,0.552357521,0.552357521,0.55029684,0.55029684,0.55029684,0.544776477,0.544776477
0.570232898,0.592907144,0.664221387,0.55792909,0.552052616,0.569549073,0.580391535,0.568689801,0.801204636,0.578010437,0.57235091
0.599715099,0.613067595,0.749186718,0.532438108,0.552795338,0.556462734,0.607746245,0.586752333,0.874050274,0.58356287,0.571056117
0.630043384,0.623301999,0.802264333,0.528785118,0.55105393,0.553138315,0.632198919,0.610191576,0.893160504,0.596493514,0.565747226
0.649223517,0.634763797,0.831515386,0.526129891,0.542901252,0.554911912,0.648583655,0.632481079,0.903066412,0.620048053,0.548885952
0.670198508,0.644175712,0.85230666,0.535553799,0.5387597,0.548195199,0.667637508,0.648467794,0.911528801,0.625574069,0.546272372
0.694068697,0.64852957,0.870380315,0.550080244,0.541097728,0.555312891,0.683447343,0.662307693,0.9169792,0.640445757,0.553836526
0.717257841,0.653567041,0.889711223,0.562591072,0.540033737,0.561108278,0.70034144,0.671837576,0.92208103,0.644382904,0.562243451
0.730655698,0.661579254,0.905915008,0.578555268,0.541174132,0.575157881,0.718771812,0.687880405,0.923834358,0.656217933,0.568932606
0.752930324,0.665440552,0.916627877,0.595523059,0.542734289,0.586497809,0.73262612,0.700350434,0.925121973,0.648750268,0.577314431
0.770103093,0.664327539,0.924629935,0.609199096,0.546252439,0.590363002,0.743040858,0.712170535,0.927330128,0.658345872,0.593902104
0.784237026,0.665130524,0.929624761,0.624446859,0.549302957,0.598652177,0.752007822,0.718435381,0.928322248,0.659243781,0.602132463
0.801858997,0.663350984,0.932907389,0.634575052,0.555028802,0.604441824,0.763066387,0.727401747,0.928110497,0.662401947,0.615183302
0.808243056,0.664311711,0.93637119,0.641146165,0.557341235,0.61101867,0.774826891,0.735681472,0.928830158,0.668137731,0.621158024
0.817275534,0.664260273,0.939730091,0.652272031,0.561740188,0.614817439,0.781193265,0.741930497,0.928707831,0.675097125,0.620746802
0.823023993,0.667305883,0.942454201,0.664229332,0.567327252,0.619695174,0.787243322,0.744646697,0.928548493,0.687779273,0.621896864
0.826666563,0.665582424,0.943806765,0.675764983,0.572631519,0.624171036,0.793441948,0.7492639,0.928538598,0.691452916,0.636035184
0.834076203,0.665313287,0.944149705,0.689414381,0.576732087,0.625642645,0.798587879,0.754124316,0.928216856,0.693193459,0.647738334
0.841221315,0.666633579,0.944243726,0.702121152,0.580492442,0.630637995,0.801516821,0.758242016,0.928587655,0.696295912,0.662837634
