Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.635047995,0.636369241,0.635047995,0.635047995,0.636369241,0.636369241,0.635047995,0.635047995,0.635047995,0.623126623,0.623126623
0.650422329,0.674932838,0.725526789,0.655709547,0.635005403,0.661139319,0.663237552,0.65281486,0.82444945,0.671401666,0.651482376
0.675914795,0.690164328,0.793341429,0.64400858,0.636874641,0.656956055,0.68305133,0.667315801,0.883671492,0.679075432,0.643943168
0.70309056,0.695369041,0.831163146,0.645653556,0.637845243,0.657331372,0.703028986,0.686840299,0.899703453,0.689313764,0.640648196
0.719233269,0.701178557,0.853189974,0.647489092,0.631746841,0.662257734,0.7153398,0.700813228,0.909711702,0.7119944,0.636925892
0.737144521,0.706623685,0.872202787,0.658783268,0.628898881,0.658880763,0.729734569,0.710791741,0.918016707,0.728782055,0.637372711
0.753791265,0.708997818,0.887380455,0.670345597,0.630910976,0.663616687,0.740604907,0.720141847,0.925007743,0.741425182,0.645078643
0.77364638,0.712580154,0.902041523,0.682239204,0.631631866,0.67070308,0.753935269,0.728100287,0.929736007,0.748206152,0.651651886
0.784581978,0.716235026,0.914107294,0.69545168,0.635972862,0.68092912,0.767960316,0.737941798,0.931775874,0.755384456,0.656611332
0.803772453,0.718073925,0.922872039,0.707555725,0.639366242,0.688815432,0.777790723,0.745614128,0.933279678,0.752850207,0.660919086
0.817043302,0.716811959,0.930753008,0.716807719,0.644825154,0.691942918,0.78593311,0.753637708,0.935019979,0.758797113,0.673746219
0.828723809,0.716845672,0.93591004,0.724449856,0.649437895,0.697997849,0.793676761,0.757731256,0.936013879,0.760382557,0.683462506
0.839992048,0.715137365,0.939171365,0.730209097,0.654560513,0.701892108,0.801321077,0.762229946,0.935634901,0.762948592,0.694535355
0.846733894,0.715313322,0.942155285,0.735034917,0.657450516,0.706370134,0.809522508,0.768090815,0.936092875,0.766064775,0.703349999
0.853836796,0.714331735,0.945185384,0.742281489,0.661927785,0.70994094,0.813837621,0.772974716,0.935940244,0.772958474,0.706228908
0.858294066,0.716411041,0.947137782,0.74890162,0.667542593,0.713094925,0.817536952,0.775131144,0.935526449,0.784045959,0.71176551
0.863230265,0.715404018,0.948207064,0.757126269,0.672365652,0.716523219,0.821143016,0.778726573,0.935570006,0.78851562,0.727622769
0.869472741,0.714582004,0.948769087,0.765369908,0.676531405,0.717455696,0.825097806,0.782655691,0.935242434,0.790494613,0.738963971
0.874925757,0.714985225,0.948840925,0.773380269,0.680709942,0.721502372,0.827782333,0.785957302,0.935299716,0.794496637,0.747630486
0.879357798,0.715648777,0.948570788,0.779511271,0.686935174,0.723869797,0.830085118,0.788908631,0.93559348,0.798379567,0.751857097
0.880168641,0.715062136,0.948430663,0.784736421,0.694422116,0.725832,0.831792479,0.791189915,0.935951997,0.79763745,0.760493808
0.882594383,0.716036613,0.94835983,0.793363446,0.697329949,0.730634695,0.833712669,0.794273548,0.936298156,0.803482134,0.767490169
0.887223554,0.716058593,0.94783782,0.799839632,0.704472793,0.732264605,0.83523585,0.795232385,0.936856439,0.805116729,0.77413031
0.889927773,0.71532189,0.947415531,0.808858988,0.713459038,0.734549935,0.836607683,0.796584631,0.936946779,0.810164629,0.779304782
0.890808972,0.713880643,0.946503682,0.81952633,0.722559031,0.736567177,0.838429837,0.798970317,0.936808975,0.813383347,0.785550857
0.893133323,0.712144759,0.946443147,0.831374584,0.7403513,0.738480931,0.841734274,0.800879007,0.936999205,0.814781446,0.791387323
0.89521904,0.711936849,0.945633821,0.835643271,0.759592329,0.740364523,0.842738015,0.800708452,0.936920921,0.819857488,0.79980228
0.89721452,0.712527335,0.945254589,0.842846349,0.781447655,0.743070803,0.843527224,0.801425916,0.936623719,0.818657874,0.808481591
0.902086013,0.714085987,0.944978263,0.849637039,0.808032344,0.745543472,0.844825123,0.801406678,0.935940381,0.821654888,0.817320204
0.903663486,0.714806109,0.944546279,0.859726218,0.830255775,0.749005785,0.84548775,0.802357992,0.935390657,0.826384703,0.828890972
0.906954833,0.715864825,0.944052374,0.867177164,0.848424252,0.751880708,0.847157999,0.802469476,0.935244436,0.831354873,0.836965212
0.910865594,0.716267951,0.943725414,0.870351226,0.867075629,0.755551626,0.848564489,0.803281616,0.934328191,0.837798439,0.845351944
0.912738349,0.716029679,0.94359223,0.876241051,0.883510366,0.758940161,0.84998409,0.804172245,0.934195796,0.838657852,0.852248764
0.91637157,0.715923567,0.94331067,0.881474034,0.895122351,0.763380588,0.851382816,0.806236531,0.933778253,0.84257876,0.858549428
0.920497848,0.715413857,0.943361282,0.887960088,0.902420287,0.766453459,0.852911304,0.806076622,0.933352187,0.842182422,0.86158795
0.922496768,0.715044619,0.942953929,0.899411828,0.906195849,0.769290939,0.854171629,0.807284979,0.93314161,0.846007085,0.871531289
0.924168253,0.714902958,0.942602004,0.907895234,0.909329508,0.774174847,0.855454155,0.808588003,0.932841922,0.848632719,0.875439433
0.92610967,0.715333951,0.941925574,0.91417713,0.911575093,0.777888557,0.856480322,0.808650252,0.932543882,0.851659225,0.876414896
