Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.115959596,0.117575758,0.115959596,0.115959596,0.117575758,0.117575758,0.115959596,0.115959596,0.115959596,0.118298368,0.118298368
0.123636364,0.102020202,0.104040404,0.130505051,0.126464646,0.12969697,0.121212121,0.126666667,0.070505051,0.117132867,0.132867133
0.118585859,0.094747475,0.091717172,0.131717172,0.122222222,0.131313131,0.114747475,0.128484848,0.046868687,0.121794872,0.132867133
0.109090909,0.089292929,0.084646465,0.132727273,0.112727273,0.132323232,0.102626263,0.128282828,0.04040404,0.118298368,0.132867133
0.106464646,0.084444444,0.083434343,0.134343434,0.106464646,0.133333333,0.096969697,0.128484848,0.031111111,0.115967366,0.132867133
0.102424242,0.081818182,0.075757576,0.134141414,0.102020202,0.133131313,0.093333333,0.128686869,0.020808081,0.104895105,0.132867133
0.096767677,0.076969697,0.068686869,0.133535354,0.099191919,0.133737374,0.085252525,0.12969697,0.011515152,0.09965035,0.132867133
0.092121212,0.076363636,0.061616162,0.132121212,0.098989899,0.132323232,0.080606061,0.131313131,0.006868687,0.092074592,0.132867133
0.084242424,0.074141414,0.050505051,0.13010101,0.09959596,0.130707071,0.073737374,0.132323232,0.004444444,0.089160839,0.132867133
0.075757576,0.071717172,0.043434343,0.129090909,0.097575758,0.12989899,0.066060606,0.132323232,0.002020202,0.089160839,0.132284382
0.072121212,0.06989899,0.037171717,0.122626263,0.097979798,0.131313131,0.063232323,0.131515152,0.002424242,0.089160839,0.131701632
0.063232323,0.06969697,0.030707071,0.11959596,0.097979798,0.13030303,0.057171717,0.132323232,0.002424242,0.089160839,0.130536131
0.058383838,0.069090909,0.025454545,0.117373737,0.097373737,0.12989899,0.050909091,0.132323232,0.001818182,0.089160839,0.12995338
0.04969697,0.067676768,0.018989899,0.118383838,0.097575758,0.128484848,0.046868687,0.132121212,0.001818182,0.085664336,0.131118881
0.048080808,0.066464646,0.012323232,0.117575758,0.096969697,0.127878788,0.044444444,0.132323232,0.001818182,0.076340326,0.132284382
0.047272727,0.064040404,0.008282828,0.116565657,0.097171717,0.127676768,0.042828283,0.132323232,0.001818182,0.067016317,0.129370629
0.044040404,0.063434343,0.004848485,0.115959596,0.097171717,0.127474747,0.040808081,0.132323232,0.001818182,0.063519814,0.131701632
0.037373737,0.063232323,0.002020202,0.116161616,0.097373737,0.126464646,0.039393939,0.132323232,0.001818182,0.06002331,0.131701632
0.035757576,0.062020202,0.002020202,0.115555556,0.097373737,0.126060606,0.038989899,0.132525253,0.001818182,0.051282051,0.131118881
0.032525253,0.062020202,0.002020202,0.115353535,0.098585859,0.125454545,0.038787879,0.132525253,0.001616162,0.045454545,0.130536131
0.033939394,0.061212121,0.002020202,0.114747475,0.10040404,0.124646465,0.03959596,0.132121212,0.001616162,0.043706294,0.129370629
0.035353535,0.058181818,0.002020202,0.114141414,0.105454545,0.124242424,0.039191919,0.132525253,0.001616162,0.043706294,0.126456876
0.034343434,0.057575758,0.002020202,0.113333333,0.108282828,0.123838384,0.037373737,0.132727273,0.001616162,0.042540793,0.121794872
0.035151515,0.056363636,0.001616162,0.111717172,0.109090909,0.123636364,0.037171717,0.132727273,0.001616162,0.033799534,0.118881119
0.035353535,0.056161616,0.001616162,0.110505051,0.110505051,0.123434343,0.036161616,0.132525253,0.001616162,0.03030303,0.113636364
0.035555556,0.055959596,0.001616162,0.11030303,0.102222222,0.122828283,0.035353535,0.132525253,0.001616162,0.03030303,0.11013986
0.036565657,0.055959596,0.001616162,0.11030303,0.099191919,0.122222222,0.034747475,0.132525253,0.001616162,0.03030303,0.107226107
0.038989899,0.054545455,0.001616162,0.109494949,0.092727273,0.121818182,0.034141414,0.132727273,0.001616162,0.03030303,0.105477855
0.035959596,0.053333333,0.001616162,0.108484848,0.077373737,0.11979798,0.033737374,0.134343434,0.001616162,0.03030303,0.101981352
0.036363636,0.053333333,0.001616162,0.108282828,0.06989899,0.118585859,0.033939394,0.134343434,0.001616162,0.027972028,0.099067599
0.036161616,0.052929293,0.001616162,0.108080808,0.063030303,0.118989899,0.034141414,0.134343434,0.001616162,0.029137529,0.094405594
0.034949495,0.052929293,0.001616162,0.107272727,0.04989899,0.118585859,0.034545455,0.134343434,0.001616162,0.025641026,0.08974359
0.034343434,0.052929293,0.001616162,0.106666667,0.040606061,0.116767677,0.034343434,0.134343434,0.001616162,0.025641026,0.08974359
0.034949495,0.052929293,0.001616162,0.104646465,0.034747475,0.114343434,0.033737374,0.134343434,0.001616162,0.025641026,0.086247086
0.033535354,0.052929293,0.001616162,0.09979798,0.032121212,0.113939394,0.032929293,0.134343434,0.001818182,0.025641026,0.086247086
0.032525253,0.052525253,0.001616162,0.091515152,0.031717172,0.113535354,0.032929293,0.134343434,0.001818182,0.025641026,0.081585082
0.031919192,0.052525253,0.001616162,0.082626263,0.031313131,0.112121212,0.032121212,0.134343434,0.001818182,0.022727273,0.081585082
0.031313131,0.052525253,0.001818182,0.067070707,0.031313131,0.111111111,0.031313131,0.134343434,0.001818182,0.020979021,0.081585082
