,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-69,4,-67,7,-90,20,-70,3,-71,2,-68,5,-66,7,-65,8,-74,10,-66,10,-80,36,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
1,-69,4,-67,8,-103,27,-70,3,-71,2,-68,5,-66,8,-65,8,-79,11,-67,13,-121,53,-72,5,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,4
2,-69,4,-69,24,-111,27,-70,3,-71,2,-68,5,-72,10,-65,8,-80,12,-76,19,-141,60,-82,6,-71,2,-71,2,-68,5,-75,4,-71,2,-71,2,-70,4
3,-69,4,-95,40,-111,27,-70,3,-71,2,-68,5,-72,10,-65,8,-80,12,-81,19,-176,73,-82,6,-71,2,-71,2,-68,5,-75,4,-71,2,-71,2,-70,4
4,-69,4,-143,49,-111,27,-70,3,-71,2,-68,5,-72,10,-65,8,-80,12,-81,19,-209,78,-82,6,-71,2,-71,2,-68,5,-75,4,-71,2,-71,2,-70,4
5,-69,4,-165,53,-111,27,-70,3,-71,2,-68,5,-72,10,-65,8,-80,12,-81,19,-276,80,-82,6,-71,2,-71,2,-68,5,-75,4,-71,2,-71,2,-70,4
6,-69,4,-199,55,-111,27,-70,3,-71,2,-68,5,-72,10,-65,8,-80,12,-83,19,-331,82,-82,6,-71,2,-71,2,-68,5,-75,4,-71,2,-71,2,-70,4
7,-69,4,-212,56,-113,27,-70,3,-71,2,-68,5,-73,10,-65,8,-82,12,-83,19,-404,84,-82,6,-71,2,-71,2,-69,5,-75,4,-71,2,-71,2,-70,4
8,-69,4,-262,61,-113,27,-70,3,-71,2,-68,5,-74,11,-65,8,-83,13,-85,20,-433,86,-82,6,-71,2,-72,2,-69,5,-75,5,-71,2,-71,2,-70,4
9,-69,4,-296,61,-114,27,-70,3,-71,2,-69,7,-75,12,-66,8,-85,14,-88,22,-471,86,-83,6,-71,2,-72,2,-69,5,-79,5,-71,2,-71,2,-71,6
10,-69,4,-316,62,-114,27,-70,3,-71,2,-82,8,-77,15,-66,8,-90,20,-102,26,-484,87,-83,10,-71,2,-73,2,-69,6,-80,6,-72,2,-71,2,-73,7
11,-69,4,-360,65,-115,27,-70,3,-71,2,-83,9,-83,16,-66,8,-96,34,-109,26,-484,87,-83,10,-71,2,-74,3,-72,8,-84,6,-72,2,-71,2,-73,7
12,-69,4,-395,66,-115,27,-70,3,-71,2,-83,9,-83,19,-66,8,-138,41,-110,26,-484,87,-83,10,-71,2,-75,4,-74,9,-84,7,-72,2,-71,2,-73,7
13,-69,4,-471,66,-115,27,-70,3,-72,2,-83,9,-89,19,-66,8,-148,41,-110,26,-485,87,-83,10,-71,2,-75,4,-75,9,-84,7,-72,2,-71,2,-73,7
14,-69,4,-511,69,-124,28,-70,3,-72,2,-84,9,-91,19,-66,8,-155,41,-129,31,-490,90,-83,10,-71,2,-75,4,-75,9,-84,7,-72,2,-71,2,-73,7
15,-69,4,-512,69,-147,30,-70,3,-72,2,-85,9,-94,20,-66,8,-184,41,-151,34,-491,90,-83,10,-71,2,-75,4,-81,10,-86,7,-72,2,-71,2,-73,7
16,-69,4,-512,69,-156,31,-70,3,-72,2,-85,9,-102,23,-85,10,-184,41,-187,39,-491,90,-83,10,-71,2,-75,4,-86,13,-89,8,-72,2,-71,2,-73,7
