,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-163,5,-66,7,-62,11,-70,3,-71,2,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
1,-219,7,-98,12,-62,11,-70,3,-71,2,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
2,-219,7,-169,36,-62,11,-70,3,-71,2,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
3,-219,7,-184,43,-129,17,-70,3,-71,2,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
4,-219,7,-184,43,-196,30,-85,3,-71,2,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
5,-219,7,-184,43,-196,30,-179,4,-71,2,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
6,-219,7,-184,43,-196,30,-222,4,-118,7,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
7,-219,7,-184,43,-196,30,-222,4,-212,8,-68,5,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
8,-219,7,-184,43,-196,30,-222,4,-218,9,-155,6,-66,7,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
9,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-91,12,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
10,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-180,18,-65,8,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
11,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-125,15,-66,7,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
12,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-73,9,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
13,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-155,22,-65,8,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
14,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-103,16,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
15,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-184,30,-56,17,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
16,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-121,34,-69,4,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
17,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-92,5,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
18,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-181,11,-71,2,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
19,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-126,8,-71,2,-68,5,-69,4,-71,2,-71,2,-70,3
20,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-73,2,-68,5,-69,4,-71,2,-71,2,-70,3
21,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-167,3,-68,5,-69,4,-71,2,-71,2,-70,3
22,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-105,7,-69,4,-71,2,-71,2,-70,3
23,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-192,15,-69,4,-71,2,-71,2,-70,3
24,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-211,16,-141,7,-71,2,-71,2,-70,3
25,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-211,16,-217,9,-87,3,-71,2,-70,3
26,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-211,16,-217,9,-182,3,-71,2,-70,3
27,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-211,16,-217,9,-223,3,-124,3,-70,3
28,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-211,16,-217,9,-223,3,-219,3,-70,3
29,-219,7,-184,43,-196,30,-222,4,-218,9,-219,7,-206,20,-204,22,-199,27,-195,32,-177,49,-211,15,-214,13,-223,3,-211,16,-217,9,-223,3,-224,3,-153,10
30,-222,7,-187,43,-199,30,-225,4,-221,9,-222,7,-208,20,-205,22,-200,27,-196,32,-178,49,-212,15,-215,13,-224,3,-212,16,-218,9,-224,3,-225,3,-210,17
31,-242,8,-197,46,-201,30,-227,4,-223,9,-224,7,-212,20,-209,22,-204,27,-199,33,-183,49,-216,15,-219,13,-228,3,-216,16,-222,9,-228,3,-229,3,-214,17
32,-242,8,-203,48,-218,32,-246,4,-241,10,-242,8,-222,21,-209,22,-204,27,-199,33,-183,49,-216,15,-219,13,-228,3,-216,16,-222,9,-228,3,-229,3,-214,17
33,-242,8,-203,48,-218,32,-246,4,-241,10,-242,8,-229,22,-225,25,-219,31,-216,35,-196,55,-227,15,-219,13,-228,3,-216,16,-222,9,-228,3,-229,3,-214,17
34,-242,8,-203,48,-218,32,-246,4,-241,10,-242,8,-229,22,-225,25,-219,31,-216,35,-196,55,-235,15,-235,16,-246,4,-233,18,-241,9,-239,3,-229,3,-214,17
35,-245,8,-206,48,-220,33,-249,4,-244,10,-245,8,-232,22,-228,25,-222,31,-220,35,-198,55,-237,15,-237,16,-248,4,-234,19,-243,9,-249,3,-249,4,-234,18
36,-266,9,-225,51,-242,33,-269,4,-244,10,-245,8,-232,22,-228,25,-222,31,-220,35,-199,55,-238,15,-238,16,-249,4,-235,19,-244,9,-250,3,-250,4,-235,18
37,-266,9,-225,51,-242,33,-271,4,-265,11,-265,10,-252,24,-246,29,-226,32,-220,35,-199,55,-238,15,-238,16,-249,4,-235,19,-244,9,-250,3,-250,4,-235,18
38,-266,9,-225,51,-242,33,-271,4,-265,11,-265,10,-252,24,-246,29,-239,36,-241,36,-212,64,-258,17,-245,21,-249,4,-235,19,-244,9,-250,3,-250,4,-235,18
39,-266,9,-225,51,-242,33,-271,4,-265,11,-265,10,-252,24,-246,29,-239,36,-241,36,-212,64,-258,17,-253,23,-271,4,-253,23,-265,10,-268,4,-250,4,-235,18
40,-279,10,-228,51,-244,33,-273,4,-267,11,-267,10,-253,24,-248,29,-241,36,-242,36,-213,64,-260,17,-255,23,-273,4,-255,23,-267,10,-273,4,-272,6,-259,18
41,-279,10,-235,55,-253,36,-285,4,-279,11,-278,11,-264,25,-259,30,-250,39,-242,36,-213,64,-260,17,-255,23,-273,4,-255,23,-267,10,-273,4,-272,6,-259,18
42,-279,10,-235,55,-253,36,-285,4,-279,11,-278,11,-264,25,-259,30,-250,39,-252,38,-222,67,-272,17,-267,23,-285,4,-265,25,-278,11,-284,4,-272,6,-259,18
43,-302,11,-255,59,-273,38,-285,4,-279,11,-278,11,-264,25,-259,30,-250,39,-252,38,-222,67,-272,17,-267,23,-285,4,-265,25,-278,11,-285,4,-284,6,-271,18
44,-302,11,-255,59,-275,38,-309,4,-303,11,-302,11,-282,28,-259,30,-250,39,-252,38,-222,67,-272,17,-267,23,-285,4,-265,25,-278,11,-285,4,-284,6,-271,18
45,-302,11,-255,59,-275,38,-309,4,-303,11,-302,11,-285,28,-281,32,-271,42,-273,41,-235,74,-272,17,-267,23,-285,4,-265,25,-278,11,-285,4,-284,6,-271,18
46,-302,11,-255,59,-275,38,-309,4,-303,11,-302,11,-285,28,-281,32,-271,42,-273,41,-238,75,-294,19,-289,25,-308,5,-281,28,-278,11,-285,4,-284,6,-271,18
47,-302,11,-255,59,-275,38,-309,4,-303,11,-302,11,-285,28,-281,32,-271,42,-273,41,-238,75,-294,19,-289,25,-308,5,-286,28,-300,13,-309,4,-307,7,-288,19
48,-307,11,-259,60,-279,39,-314,4,-308,11,-307,11,-290,28,-286,32,-276,42,-278,41,-242,76,-299,19,-294,25,-313,5,-291,28,-305,13,-314,4,-309,7,-296,19
49,-316,11,-267,61,-288,39,-323,4,-315,13,-316,11,-297,30,-290,32,-277,43,-280,41,-243,77,-301,19,-296,25,-315,5,-292,29,-306,14,-316,4,-314,7,-301,19
50,-317,11,-268,61,-289,39,-324,4,-316,13,-317,11,-298,30,-296,32,-284,44,-287,42,-249,79,-308,20,-304,25,-322,5,-298,30,-313,14,-323,4,-321,7,-307,20
51,-322,11,-271,63,-294,39,-328,5,-321,13,-322,11,-303,30,-301,32,-288,45,-291,43,-253,80,-313,20,-309,25,-327,5,-303,30,-318,14,-328,4,-326,7,-312,20
52,-330,11,-278,64,-302,39,-336,5,-328,14,-330,11,-310,31,-309,32,-296,45,-295,44,-255,80,-314,21,-311,25,-329,5,-305,30,-320,14,-330,4,-328,7,-314,20
53,-332,11,-280,64,-304,39,-338,5,-330,14,-332,11,-312,31,-311,32,-298,45,-300,44,-262,81,-321,22,-318,26,-337,5,-313,30,-328,14,-338,4,-336,7,-322,20
54,-338,11,-285,64,-310,39,-344,5,-333,15,-337,11,-318,31,-316,32,-302,46,-305,44,-267,81,-326,22,-322,26,-342,5,-317,30,-333,14,-343,4,-340,7,-327,20
55,-342,11,-288,65,-314,39,-348,5,-338,15,-342,11,-322,31,-321,32,-307,46,-309,44,-272,81,-331,22,-327,26,-348,5,-323,30,-339,14,-349,4,-345,8,-333,20
56,-347,11,-293,65,-319,39,-353,5,-343,15,-347,11,-327,31,-326,32,-312,46,-314,44,-276,82,-335,23,-332,26,-353,5,-328,30,-344,14,-354,4,-350,8,-338,20
57,-352,11,-299,65,-324,39,-358,5,-348,15,-352,11,-332,31,-331,32,-317,46,-317,45,-281,82,-340,23,-337,26,-358,5,-333,30,-349,14,-359,4,-355,8,-343,20
58,-357,11,-304,65,-329,39,-363,5,-352,16,-357,11,-337,31,-336,32,-322,46,-322,45,-286,82,-344,24,-342,26,-363,5,-338,30,-354,14,-364,4,-360,8,-347,21
59,-362,11,-309,65,-334,39,-368,5,-357,16,-362,11,-342,31,-340,32,-327,46,-328,45,-290,83,-349,24,-347,26,-368,5,-343,30,-359,14,-369,4,-365,8,-352,21
60,-367,11,-312,67,-339,39,-372,5,-362,16,-367,11,-347,31,-346,32,-331,47,-332,45,-296,83,-354,24,-352,26,-373,5,-347,31,-364,14,-374,4,-370,8,-357,21
61,-372,11,-316,67,-344,39,-378,6,-366,16,-372,11,-351,31,-352,32,-335,47,-338,45,-302,84,-358,24,-357,26,-378,5,-351,31,-369,14,-379,4,-375,8,-361,22
62,-378,11,-321,67,-350,39,-381,7,-371,16,-378,11,-356,31,-357,32,-340,47,-342,45,-305,84,-364,24,-362,26,-383,5,-356,31,-374,14,-384,4,-380,8,-366,22
63,-384,11,-326,67,-355,39,-385,7,-376,16,-383,11,-361,31,-362,32,-345,47,-347,45,-310,84,-369,24,-367,26,-388,5,-361,31,-379,14,-389,4,-385,8,-371,22
64,-388,11,-330,68,-361,39,-390,7,-381,16,-389,11,-366,31,-366,32,-349,48,-352,45,-315,84,-374,24,-372,26,-393,5,-366,31,-384,14,-394,4,-390,8,-376,22
65,-390,11,-335,68,-363,39,-396,7,-387,16,-391,11,-371,33,-372,32,-355,48,-359,45,-321,84,-378,24,-377,26,-398,5,-372,31,-389,14,-399,4,-395,8,-381,22
66,-398,11,-340,68,-370,39,-401,7,-391,16,-398,11,-374,33,-376,32,-360,48,-367,45,-323,86,-385,24,-380,27,-402,5,-376,31,-393,14,-403,4,-399,8,-385,22
67,-403,11,-344,68,-375,39,-406,7,-397,16,-403,11,-379,33,-380,32,-364,48,-370,45,-326,86,-390,24,-386,27,-408,5,-381,31,-398,15,-409,4,-405,8,-391,22
68,-407,11,-349,68,-379,39,-411,7,-402,16,-407,11,-385,35,-387,32,-369,48,-377,45,-332,88,-394,24,-390,27,-412,5,-386,31,-402,15,-413,4,-409,8,-395,22
69,-412,11,-355,68,-384,39,-415,7,-406,16,-412,11,-391,35,-391,32,-375,48,-381,46,-336,88,-399,24,-395,27,-417,5,-391,31,-408,15,-418,4,-414,8,-400,22
70,-417,11,-361,68,-389,39,-419,7,-411,16,-417,11,-395,35,-396,32,-383,48,-385,46,-339,88,-404,24,-399,28,-422,5,-397,31,-413,15,-423,4,-419,8,-405,22
71,-422,11,-367,68,-394,39,-425,7,-416,16,-422,11,-398,35,-401,32,-387,48,-390,46,-345,88,-409,24,-404,28,-427,5,-402,32,-417,15,-428,4,-424,8,-410,22
72,-426,11,-369,68,-398,39,-433,7,-421,16,-426,11,-405,35,-407,32,-390,48,-397,47,-353,88,-412,24,-409,28,-432,5,-404,32,-423,15,-433,4,-429,8,-415,22
73,-431,11,-374,68,-403,39,-438,7,-426,16,-431,11,-410,35,-414,32,-393,49,-401,47,-357,88,-417,24,-414,28,-438,5,-409,32,-428,15,-438,4,-434,8,-420,22
74,-434,11,-377,68,-406,39,-444,7,-432,16,-434,11,-416,35,-418,32,-398,49,-406,47,-364,88,-422,24,-422,28,-441,5,-414,32,-433,15,-444,4,-440,8,-426,22
75,-440,11,-383,68,-412,39,-447,7,-436,16,-440,11,-419,36,-422,33,-404,49,-413,47,-366,89,-428,24,-425,28,-446,5,-419,32,-439,15,-449,4,-444,8,-431,22
76,-445,11,-388,68,-417,39,-453,7,-441,16,-445,11,-425,36,-426,33,-409,49,-416,47,-371,89,-433,24,-431,28,-451,5,-425,33,-444,15,-453,4,-449,8,-435,22
77,-450,11,-393,68,-422,39,-458,7,-446,16,-450,11,-429,36,-432,33,-414,49,-422,47,-376,89,-438,24,-434,28,-456,5,-430,33,-450,15,-458,4,-454,8,-440,22
78,-456,11,-398,68,-427,39,-464,7,-452,16,-455,11,-434,36,-437,33,-418,49,-423,47,-382,89,-444,24,-440,28,-462,5,-433,33,-452,15,-464,4,-460,8,-446,22
79,-462,11,-403,68,-434,39,-469,7,-456,16,-462,11,-441,36,-440,33,-424,49,-427,47,-388,89,-448,24,-444,28,-467,5,-440,33,-456,15,-467,4,-465,8,-449,22
80,-466,11,-409,68,-439,39,-473,7,-462,16,-467,11,-443,36,-445,33,-428,49,-432,47,-393,89,-455,24,-450,28,-473,5,-445,33,-461,15,-473,4,-468,8,-455,22
81,-469,11,-413,68,-442,39,-478,7,-468,16,-470,11,-449,36,-451,33,-433,49,-438,47,-397,89,-460,24,-455,28,-477,5,-450,33,-466,15,-480,4,-474,8,-462,22
82,-476,11,-416,68,-445,39,-485,7,-472,16,-473,11,-454,36,-454,33,-438,49,-445,47,-404,89,-463,24,-463,28,-481,5,-454,33,-473,15,-484,4,-481,8,-466,22
83,-480,11,-424,69,-453,39,-487,7,-477,16,-481,11,-459,36,-459,33,-444,49,-447,48,-405,89,-470,24,-467,28,-488,5,-459,33,-476,15,-489,4,-484,8,-471,22
84,-484,11,-428,69,-457,39,-494,7,-482,16,-485,11,-465,36,-464,33,-450,49,-453,48,-411,89,-473,24,-472,28,-494,5,-465,33,-480,15,-494,4,-488,8,-476,22
85,-490,11,-434,69,-463,39,-497,7,-486,16,-491,11,-466,36,-470,33,-454,49,-457,48,-419,89,-479,24,-476,28,-498,5,-471,33,-486,15,-498,4,-494,8,-481,22
86,-496,11,-440,69,-470,39,-502,7,-492,16,-498,11,-470,36,-474,33,-458,49,-459,48,-422,89,-484,24,-481,28,-503,5,-476,33,-491,15,-504,4,-499,8,-486,22
87,-500,11,-443,69,-472,39,-508,7,-497,16,-500,11,-481,36,-479,33,-463,49,-466,48,-428,89,-491,24,-486,28,-507,5,-480,33,-495,15,-509,4,-504,8,-491,22
88,-506,11,-449,69,-479,39,-511,7,-501,17,-507,11,-483,36,-482,33,-470,49,-468,48,-431,89,-496,24,-491,28,-512,5,-487,33,-501,15,-514,4,-510,8,-496,22
89,-511,11,-454,69,-483,39,-515,7,-506,17,-511,11,-487,36,-490,33,-476,49,-479,48,-435,89,-498,24,-496,28,-518,5,-490,33,-507,15,-519,4,-513,8,-501,22
90,-516,11,-458,69,-488,39,-521,7,-511,17,-516,11,-492,37,-496,33,-479,50,-483,48,-442,89,-503,24,-500,28,-523,5,-495,33,-511,15,-524,4,-518,8,-506,22
91,-523,11,-464,69,-492,39,-526,7,-516,17,-520,11,-498,37,-501,33,-485,50,-487,48,-445,89,-507,24,-504,28,-530,5,-500,33,-516,15,-529,4,-523,8,-511,22
92,-526,11,-471,69,-499,39,-530,7,-521,17,-527,11,-501,38,-504,33,-488,50,-489,48,-452,89,-515,24,-510,28,-535,5,-505,33,-521,15,-534,4,-527,8,-516,22
93,-530,11,-475,69,-504,39,-535,7,-526,17,-532,11,-505,38,-511,33,-491,50,-493,48,-455,89,-520,24,-516,28,-538,5,-512,33,-526,15,-540,4,-535,8,-522,22
94,-536,11,-481,69,-509,39,-540,7,-533,17,-537,11,-509,38,-513,33,-497,50,-499,48,-458,90,-524,24,-522,28,-543,5,-516,33,-531,15,-546,4,-538,8,-528,22
95,-540,11,-485,69,-514,39,-544,7,-536,17,-542,11,-513,38,-518,33,-504,50,-506,48,-462,90,-529,24,-526,28,-547,5,-520,33,-540,15,-550,4,-547,8,-532,22
96,-546,11,-489,69,-519,39,-551,7,-543,17,-547,11,-519,38,-523,33,-508,50,-513,48,-468,90,-533,24,-530,28,-552,5,-525,33,-544,15,-554,4,-550,8,-536,22
97,-552,11,-493,69,-524,39,-555,7,-546,17,-552,11,-524,38,-530,33,-514,50,-517,48,-473,90,-538,24,-535,28,-557,5,-529,33,-550,15,-559,4,-556,8,-541,22
98,-557,11,-500,69,-529,39,-561,7,-550,17,-557,11,-530,39,-534,33,-518,50,-524,48,-478,90,-544,24,-539,28,-564,5,-534,33,-553,15,-563,4,-559,8,-545,22
99,-562,11,-504,69,-534,39,-566,7,-557,17,-562,11,-533,39,-540,33,-522,50,-524,48,-484,90,-549,24,-546,28,-568,5,-540,33,-557,15,-570,4,-564,8,-552,22
