,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24
0,-311,35,-94,2,-76,20,-86,10,-94,2,-94,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
1,-415,50,-225,2,-76,20,-86,10,-94,2,-94,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
2,-415,50,-463,2,-87,21,-86,10,-94,2,-94,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
3,-415,50,-463,2,-255,103,-86,10,-94,2,-94,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
4,-415,50,-463,2,-331,134,-212,27,-94,2,-94,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
5,-415,50,-463,2,-331,134,-412,53,-118,2,-94,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
6,-415,50,-463,2,-331,134,-412,53,-366,4,-94,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
7,-415,50,-463,2,-331,134,-412,53,-462,4,-248,2,-93,3,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
8,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-127,4,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
9,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-377,4,-93,3,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
10,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-257,4,-94,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
11,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-461,4,-140,2,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
12,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-461,4,-389,3,-94,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
13,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-461,4,-461,5,-270,2,-92,4,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
14,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-461,4,-461,5,-460,4,-148,6,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
15,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-461,4,-461,5,-460,4,-396,8,-92,4,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
16,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-461,4,-461,5,-460,4,-456,9,-276,9,-90,6,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
17,-415,50,-463,2,-331,134,-412,53,-462,4,-463,2,-462,4,-461,4,-461,5,-460,4,-456,9,-446,17,-161,7,-92,4,-91,5,-86,10,-94,2,-92,4,-93,3,-93,3,-91,5,-94,2,-90,6,-92,4,-94,2
