,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24
0,-155,31,-93,2,-146,77,-85,11,-93,2,-95,3,-93,2,-93,2,-93,2,-93,2,-91,4,-92,3,-88,8,-90,7,-91,4,-91,10,-92,3,-94,4,-89,6,-93,3,-93,2,-92,3,-93,11,-93,3,-94,5
1,-161,49,-93,2,-224,200,-85,11,-93,2,-95,3,-93,2,-93,2,-93,2,-93,2,-91,4,-92,3,-88,8,-90,7,-91,4,-91,10,-92,3,-94,4,-89,6,-93,3,-93,2,-92,3,-114,15,-93,3,-94,5
2,-168,65,-93,2,-437,214,-85,11,-93,2,-95,3,-93,2,-93,2,-93,2,-93,2,-91,4,-92,3,-88,8,-90,7,-91,4,-91,10,-92,3,-94,4,-89,6,-93,3,-93,2,-92,3,-114,15,-93,3,-94,5
3,-289,83,-93,2,-529,233,-85,11,-93,2,-95,3,-93,2,-93,2,-93,2,-93,2,-91,4,-92,3,-88,8,-90,7,-91,4,-91,10,-92,3,-94,4,-89,6,-93,3,-93,2,-92,3,-114,15,-93,3,-94,5
4,-354,85,-93,3,-567,241,-100,21,-94,2,-101,3,-93,2,-93,2,-93,2,-93,2,-91,6,-94,3,-98,13,-100,8,-94,5,-98,11,-94,3,-94,4,-89,6,-96,3,-95,2,-92,3,-138,23,-95,6,-109,8
5,-413,87,-93,3,-603,243,-121,37,-94,4,-101,3,-93,2,-93,2,-93,2,-93,2,-91,8,-94,3,-107,20,-106,10,-97,5,-102,13,-94,3,-96,4,-91,6,-96,3,-95,2,-92,3,-173,44,-98,11,-115,11
6,-442,87,-93,3,-603,243,-131,54,-94,4,-101,3,-93,2,-93,2,-93,2,-93,2,-91,8,-94,3,-204,28,-118,10,-97,5,-102,14,-94,3,-96,4,-92,6,-96,3,-95,2,-92,3,-209,65,-103,14,-120,16
7,-442,87,-93,3,-603,244,-212,81,-94,4,-101,3,-93,2,-93,2,-93,2,-93,2,-91,8,-94,3,-205,28,-118,10,-98,5,-102,15,-94,3,-96,4,-92,6,-96,3,-95,2,-92,3,-264,69,-137,16,-157,22
8,-531,88,-93,3,-620,245,-327,85,-94,4,-101,3,-93,2,-93,2,-93,2,-93,2,-91,8,-94,3,-207,28,-120,10,-98,5,-106,15,-94,3,-96,4,-92,6,-97,3,-96,2,-92,3,-272,69,-137,16,-162,22
9,-759,92,-93,3,-636,245,-328,86,-94,4,-101,3,-93,2,-93,2,-93,2,-93,2,-91,8,-94,3,-207,28,-120,10,-98,5,-106,15,-94,3,-96,4,-92,6,-97,3,-96,2,-92,3,-272,69,-137,16,-162,22
10,-783,98,-97,3,-636,245,-371,90,-98,5,-101,3,-93,2,-96,2,-93,2,-93,2,-95,8,-101,3,-207,28,-120,10,-98,7,-139,26,-97,3,-101,4,-112,8,-102,3,-96,2,-93,3,-334,69,-141,16,-164,22
