,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24
0,-307,38,-93,2,-79,16,-84,11,-93,2,-93,2,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
1,-432,48,-207,3,-79,16,-84,11,-93,2,-93,2,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
2,-432,48,-456,4,-79,16,-84,11,-93,2,-93,2,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
3,-432,48,-472,4,-238,91,-84,11,-93,2,-93,2,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
4,-432,48,-472,4,-345,135,-172,22,-93,2,-93,2,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
5,-432,48,-472,4,-345,135,-386,58,-93,2,-93,2,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
6,-432,48,-472,4,-345,135,-417,59,-309,4,-93,2,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
7,-432,48,-472,4,-345,135,-417,59,-471,8,-176,3,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
8,-432,48,-472,4,-345,135,-417,59,-471,8,-425,4,-93,2,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
9,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-294,3,-93,2,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
10,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-162,3,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
11,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-410,5,-92,3,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
12,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-279,4,-93,2,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
13,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-148,3,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
14,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-398,3,-92,3,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
15,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-260,7,-92,3,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
16,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-132,4,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
17,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-376,10,-89,6,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
18,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-241,11,-93,2,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
19,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-118,3,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
20,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-365,6,-89,6,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
21,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-220,17,-88,7,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
22,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-98,8,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
23,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-311,45,-92,3,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
24,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-215,6,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
25,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-460,11,-92,3,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
26,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-334,6,-89,6,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
27,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-194,11,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
28,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-440,15,-92,3,-89,6,-93,2,-86,9,-91,4,-91,4
29,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-318,6,-89,6,-93,2,-86,9,-91,4,-91,4
30,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-181,9,-93,2,-86,9,-91,4,-91,4
31,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-428,12,-93,2,-86,9,-91,4,-91,4
32,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-462,14,-303,6,-86,9,-91,4,-91,4
33,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-462,14,-472,7,-160,15,-91,4,-91,4
34,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-462,14,-472,7,-394,31,-91,4,-91,4
35,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-462,14,-472,7,-440,37,-279,14,-91,4
36,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-462,14,-472,7,-440,37,-456,21,-155,6
37,-432,48,-472,4,-345,135,-417,59,-471,8,-473,4,-474,3,-472,5,-472,5,-476,3,-466,10,-466,13,-451,25,-471,8,-440,36,-417,63,-465,11,-472,8,-459,17,-472,7,-462,14,-472,7,-440,37,-456,21,-393,18
38,-443,48,-484,4,-351,140,-426,62,-482,8,-484,4,-486,3,-481,5,-478,5,-481,3,-472,10,-471,13,-457,25,-476,8,-445,37,-421,64,-471,11,-477,8,-465,17,-477,7,-468,14,-477,7,-445,37,-462,21,-462,22
39,-461,49,-503,4,-366,144,-443,64,-501,8,-495,4,-489,3,-486,5,-486,5,-489,3,-480,10,-478,14,-465,25,-484,8,-451,39,-428,65,-479,11,-485,8,-473,17,-485,7,-476,14,-485,7,-453,37,-470,21,-470,22
40,-461,49,-503,4,-366,144,-443,64,-501,8,-503,4,-504,3,-501,5,-501,5,-504,3,-495,10,-492,15,-478,27,-499,8,-464,41,-440,68,-494,11,-499,9,-487,18,-500,7,-491,14,-500,7,-455,37,-470,21,-470,22
41,-470,49,-512,4,-372,147,-450,66,-510,8,-512,4,-513,3,-509,5,-509,5,-512,3,-503,10,-500,15,-486,27,-507,8,-470,43,-447,69,-502,11,-507,9,-495,18,-508,7,-498,15,-508,7,-473,40,-492,22,-492,23
42,-479,49,-521,4,-378,150,-457,68,-519,8,-521,4,-523,3,-520,5,-520,5,-523,3,-514,10,-510,16,-497,27,-517,9,-481,43,-456,71,-513,11,-517,10,-506,18,-517,7,-507,15,-517,7,-482,40,-500,23,-501,23
43,-488,49,-531,4,-384,153,-467,68,-528,9,-531,4,-533,3,-530,5,-530,5,-533,3,-524,10,-520,16,-506,28,-527,9,-489,45,-462,74,-523,11,-525,10,-515,18,-528,7,-518,15,-528,7,-493,40,-511,23,-512,23
44,-496,51,-541,4,-392,155,-477,68,-537,10,-541,4,-543,3,-540,5,-541,5,-544,3,-535,10,-529,18,-515,29,-536,9,-497,46,-470,75,-532,11,-535,10,-524,19,-538,7,-527,16,-538,7,-503,40,-521,23,-522,23
45,-507,52,-552,5,-397,162,-489,68,-549,10,-553,4,-555,3,-552,5,-553,5,-556,3,-547,10,-540,19,-525,29,-544,9,-504,47,-476,77,-540,11,-543,10,-532,19,-546,7,-535,16,-546,7,-511,40,-528,24,-530,23
46,-512,54,-558,6,-404,162,-496,68,-556,10,-560,4,-562,3,-559,5,-560,5,-563,3,-554,10,-547,19,-532,32,-557,9,-515,49,-487,79,-553,11,-556,10,-544,20,-559,7,-548,16,-558,8,-523,41,-541,24,-543,23
47,-522,55,-568,7,-413,164,-506,69,-567,10,-571,4,-573,3,-570,5,-571,5,-574,3,-565,10,-557,20,-542,32,-566,9,-524,49,-494,81,-560,13,-565,10,-551,22,-568,7,-556,17,-567,8,-530,43,-550,24,-552,23
48,-528,58,-577,7,-421,165,-515,69,-576,10,-580,4,-582,3,-578,6,-580,5,-583,3,-574,10,-565,21,-552,32,-577,9,-535,49,-503,83,-571,13,-575,11,-562,22,-579,7,-567,17,-578,8,-539,45,-561,24,-563,23
49,-538,61,-590,7,-432,167,-525,72,-589,10,-592,5,-595,3,-591,6,-593,5,-596,3,-585,10,-572,21,-559,32,-585,9,-542,50,-510,84,-579,13,-583,11,-568,24,-586,8,-574,18,-586,8,-546,46,-569,24,-570,23
50,-551,61,-604,7,-439,173,-536,75,-602,10,-606,5,-609,3,-599,6,-597,5,-599,3,-591,10,-581,21,-569,32,-594,9,-552,50,-519,84,-589,13,-592,11,-577,25,-595,8,-584,18,-595,8,-556,46,-579,24,-579,24
51,-555,62,-609,7,-443,174,-540,76,-607,10,-611,5,-614,3,-610,6,-612,5,-614,3,-605,11,-596,21,-581,32,-604,10,-562,51,-529,85,-600,13,-603,11,-588,25,-606,8,-593,20,-606,8,-567,46,-590,24,-588,26
52,-563,62,-617,7,-451,174,-547,77,-615,10,-619,5,-622,3,-618,6,-620,5,-622,3,-612,12,-604,21,-592,32,-616,10,-573,52,-538,88,-612,13,-615,11,-599,26,-618,8,-605,20,-618,8,-577,48,-601,25,-599,26
53,-575,65,-632,7,-461,179,-560,79,-624,10,-628,5,-631,3,-627,6,-629,5,-631,3,-621,12,-613,21,-601,32,-625,10,-580,54,-546,89,-621,13,-624,11,-608,26,-627,8,-614,20,-627,8,-586,48,-609,26,-609,26
54,-586,66,-644,7,-470,182,-564,79,-634,10,-638,5,-641,3,-637,6,-639,5,-641,3,-631,12,-623,21,-611,32,-634,11,-589,55,-554,91,-631,13,-633,12,-618,26,-636,9,-623,21,-637,8,-596,48,-619,26,-617,28
55,-590,66,-648,7,-473,183,-576,79,-646,10,-649,6,-653,3,-649,6,-651,5,-653,3,-643,12,-633,21,-621,32,-644,11,-599,56,-562,94,-640,14,-643,12,-628,26,-646,9,-633,21,-647,8,-603,51,-628,27,-626,29
56,-598,68,-658,7,-479,187,-585,80,-656,10,-659,6,-663,3,-659,6,-661,5,-663,3,-653,12,-645,21,-631,32,-654,11,-608,56,-568,97,-649,15,-653,12,-637,27,-656,9,-643,21,-657,8,-612,52,-638,27,-636,29
57,-607,70,-669,7,-489,188,-594,82,-667,10,-670,6,-674,3,-670,6,-672,5,-674,3,-664,12,-656,21,-640,33,-663,11,-617,56,-577,97,-657,16,-661,13,-646,27,-665,9,-651,22,-666,8,-619,54,-647,27,-645,29
58,-616,72,-680,7,-497,191,-602,85,-678,10,-681,6,-685,3,-681,6,-683,5,-685,3,-675,12,-667,21,-653,34,-678,11,-625,57,-585,97,-665,16,-669,13,-653,28,-673,9,-659,22,-673,9,-627,54,-655,27,-653,29
59,-622,74,-688,7,-503,193,-609,86,-686,10,-689,6,-693,3,-689,6,-691,5,-692,4,-683,12,-675,21,-660,35,-686,11,-639,57,-596,101,-680,16,-683,14,-666,28,-684,9,-670,22,-684,9,-637,55,-665,28,-663,30
