Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
6.752835052,6.818556701,6.824226804,6.788659794,6.878092784,6.655927835,6.716494845,6.75128866,6.619587629,5.227233677,5.554123711
6.373453608,6.353608247,6.405927835,6.450515464,6.342268041,6.409793814,6.370618557,6.652061856,5.237113402,5.291666667,5.128865979
6.279381443,6.015721649,6.248195876,6.21185567,5.791494845,6.320360825,6.219072165,6.034278351,4.883247423,5.005154639,5.113831615
5.785309278,5.878608247,6.173195876,6.049484536,5.474742268,5.966752577,5.755412371,5.923453608,4.760051546,4.965635739,4.903350515
5.716494845,5.714690722,6.126804124,5.847938144,5.020103093,5.847938144,5.526030928,5.792268041,4.610051546,4.652491409,4.888745704
5.68685567,5.687886598,5.947938144,5.874226804,4.88814433,5.766494845,5.38685567,5.345103093,4.312371134,4.431701031,4.876718213
5.539690722,5.659020619,5.805927835,5.503350515,4.760824742,5.801804124,5.074742268,5.129381443,4.143814433,4.320876289,4.76975945
5.380670103,5.606185567,5.570618557,5.283762887,4.713402062,5.318814433,4.971907216,5.028865979,3.901804124,4.255584192,4.47637457
5.214175258,5.629639175,5.557989691,5.004381443,4.483505155,5.355670103,4.746649485,4.953092784,3.810824742,4.213917526,4.5854811
5.044329897,5.643556701,5.195360825,4.888917526,4.282216495,5.017525773,4.715979381,4.748195876,3.662628866,4.111683849,4.698883162
5.023195876,5.646391753,4.96314433,4.882216495,4.279381443,4.694329897,4.599484536,4.662628866,3.510824742,4.193298969,4.635738832
4.952319588,5.58814433,4.760309278,4.535051546,4.157989691,4.643814433,4.521649485,4.594587629,3.504896907,3.879295533,4.339776632
4.837886598,5.632216495,4.496907216,4.470618557,4.103092784,4.667783505,4.502061856,4.434278351,3.427061856,3.821305842,4.525773196
4.884536082,5.608505155,4.167268041,4.314175258,3.812628866,4.420876289,4.28814433,4.360051546,3.299484536,3.73152921,4.509450172
4.794845361,5.610051546,4.029896907,4.103350515,3.767783505,4.196649485,4.175773196,4.344845361,3.283505155,3.60524055,4.409364261
4.613917526,5.67371134,3.746134021,3.879381443,3.679381443,4.012886598,4.023969072,4.239690722,3.207731959,3.585910653,4.287371134
4.525515464,5.630412371,3.575773196,3.729896907,3.578865979,3.882731959,4.153865979,4.115463918,3.180927835,3.493986254,4.06185567
4.554123711,5.630412371,3.403865979,3.643814433,3.446391753,3.826030928,4.008762887,4.057474227,3.071907216,3.395189003,3.781786942
4.518814433,5.566237113,3.367525773,3.546391753,3.375515464,3.593298969,3.938917526,4.054381443,3.011082474,3.35137457,3.75
4.357731959,5.621649485,3.27757732,3.498195876,3.268298969,3.721391753,3.88814433,4.031443299,2.995876289,3.279639175,3.691151203
4.348195876,5.56185567,3.152835052,3.33814433,3.271907216,3.615721649,3.784793814,3.978865979,2.968298969,3.197594502,3.565292096
4.238917526,5.514948454,3.129639175,3.321391753,3.110824742,3.570103093,3.724226804,3.857216495,2.965721649,3.10137457,3.463487973
4.174484536,5.550257732,3.044072165,3.392010309,3.093556701,3.540206186,3.711340206,3.871134021,2.900257732,3.090206186,3.426116838
4.056701031,5.457989691,2.999742268,3.271907216,3.036340206,3.449484536,3.68685567,3.793556701,2.842783505,2.992268041,3.196305842
4.003865979,5.503608247,2.975515464,3.234536082,3.007989691,3.403865979,3.624742268,3.729381443,2.855927835,2.905927835,3.158934708
3.995360825,5.461340206,2.896907216,3.282474227,2.94871134,3.428865979,3.57242268,3.790206186,2.797164948,2.879725086,3.115979381
4.006185567,5.459278351,2.837371134,3.266494845,2.937886598,3.448195876,3.657989691,3.675257732,2.820618557,2.740979381,3.156357388
3.910824742,5.417268041,2.808762887,3.154896907,2.931443299,3.416494845,3.576030928,3.660824742,2.816237113,2.662371134,2.941151203
3.791494845,5.444329897,2.819845361,3.163917526,2.869072165,3.451546392,3.539948454,3.662886598,2.801030928,2.652491409,3.030068729
3.801804124,5.366237113,2.776030928,3.234536082,2.828092784,3.443814433,3.508247423,3.564175258,2.812886598,2.612113402,2.885738832
3.802835052,5.354896907,2.769329897,3.182731959,2.828608247,3.509536082,3.491237113,3.529381443,2.811597938,2.521907216,2.793814433
3.744587629,5.271391753,2.754381443,3.155927835,2.786082474,3.458505155,3.48943299,3.52628866,2.773453608,2.538230241,2.695017182
3.727319588,5.296391753,2.741494845,3.167010309,2.734536082,3.543814433,3.39742268,3.479123711,2.786340206,2.442439863,2.494845361
