Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.000257732,0.000257732,0.000257732,0.000257732,0.000257732,0.000257732,0.000257732,0.000257732,0.000257732,0.002147766,0.002147766
0.005596465,0.001202749,0.088169217,0,0.000773196,0,0.000257732,0.000429553,0.050693231,0.009785694,0.003006873
0.010265096,0.002749141,0.13184406,0,0.001546392,0,0.000257732,0.000687285,0.130215694,0.063612014,0.003006873
0.015056679,0.007264626,0.143316748,0,0.003092784,0,0.000515464,0.000945017,0.159060296,0.090952382,0.003436426
0.021670711,0.009081023,0.171073767,0,0.003608247,0,0.000515464,0.001202749,0.175773917,0.076423696,0.010297005
0.02661068,0.010441169,0.180399985,0,0.003865979,0,0.001116838,0.001718213,0.181762296,0.079743509,0.015535324
0.035197654,0.017324743,0.185662854,0,0.004123711,0,0.001116838,0.002233677,0.187459788,0.086604097,0.016825491
0.038404473,0.02460107,0.192361375,0,0.004896907,0.000343643,0.00137457,0.001975945,0.194072115,0.092606746,0.016825491
0.044707354,0.032523127,0.196364744,0,0.005154639,0.000773196,0.002147766,0.002147766,0.203247907,0.101289819,0.016825491
0.04886016,0.04051263,0.198430405,0.000515464,0.005412371,0.001202749,0.002417771,0.002675503,0.207529513,0.106602241,0.016825491
0.05895879,0.046610947,0.198414871,0.000773196,0.005154639,0.00137457,0.002675503,0.003964163,0.212230224,0.114741097,0.016825491
0.058293357,0.052958532,0.195609197,0.000945017,0.005154639,0.002233677,0.003105056,0.004737359,0.219041928,0.126162884,0.016825491
0.0587338,0.059959947,0.194218526,0.000945017,0.006701031,0.002491409,0.003362788,0.004737359,0.233916608,0.129922099,0.016825491
0.060114765,0.059968995,0.195790991,0.001116838,0.006958763,0.003092784,0.003946981,0.005440264,0.2288592,0.133326832,0.016825491
0.065930107,0.066846151,0.198737922,0.001116838,0.007474227,0.003453608,0.004376534,0.006127549,0.232045107,0.13975237,0.016825491
0.069009235,0.072316333,0.19640657,0.001116838,0.008762887,0.003453608,0.005252823,0.006053912,0.226912014,0.144219876,0.016825491
0.073921891,0.077151419,0.196487865,0.001804124,0.009278351,0.003453608,0.006283751,0.006053912,0.218454154,0.14599627,0.016825491
0.078862758,0.080228737,0.19630139,0.001975945,0.008505155,0.00371134,0.007442317,0.007437854,0.214093337,0.150014038,0.017255044
0.084129388,0.085764103,0.195599843,0.002405498,0.008505155,0.00371134,0.007980954,0.008212724,0.205976572,0.154937851,0.018870983
0.087903533,0.093570788,0.195340366,0.00266323,0.007731959,0.003981345,0.008764646,0.008915629,0.20861008,0.157529193,0.020195956
0.091267569,0.098056766,0.195968269,0.002835052,0.007989691,0.004239077,0.009795573,0.010450831,0.20166397,0.158688165,0.021847226
0.092607633,0.103281284,0.196557268,0.003092784,0.007731959,0.005434435,0.010116447,0.011360847,0.199922147,0.158257033,0.022276779
0.097163284,0.108742929,0.196402523,0.003264605,0.008505155,0.006999647,0.010832999,0.011788615,0.194631127,0.158687135,0.023148283
0.095646584,0.113467548,0.197546924,0.004415808,0.007731959,0.011876156,0.013238006,0.014919333,0.193256439,0.158687135,0.024036026
0.096360485,0.120115864,0.19817939,0.00562592,0.008247423,0.018376107,0.014910474,0.016060618,0.191737583,0.158557537,0.02446558
0.09608947,0.126123705,0.198623388,0.006926853,0.008762887,0.028215758,0.016399445,0.016749623,0.191475851,0.158557537,0.02446558
0.097232665,0.130494196,0.198806162,0.00819182,0.008762887,0.038073114,0.018394357,0.017185102,0.190364072,0.15886186,0.02446558
0.096905234,0.135704176,0.199250938,0.009775105,0.009278351,0.051820833,0.019827142,0.019254171,0.192257922,0.159470394,0.02446558
