Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.047625859,0.047625859,0.047625859,0.047625859,0.047625859,0.047625859,0.047625859,0.047625859,0.047625859,0.047233677,0.047233677
0.047409364,0.047584622,0.046799828,0.047636168,0.047605241,0.047636168,0.047625859,0.04761555,0.046582904,0.047233677,0.047199313
0.047264605,0.047543814,0.045621993,0.047636168,0.047574313,0.047636168,0.047625859,0.047605241,0.044539948,0.048041237,0.047199313
0.047099227,0.047595361,0.043746134,0.047636168,0.047512457,0.047636168,0.04761555,0.047594931,0.043622423,0.045893471,0.047182131
0.047026632,0.047594931,0.04271134,0.047636168,0.047491838,0.047636168,0.04761555,0.047584622,0.042993986,0.044914089,0.047010309
0.046995275,0.047574313,0.042155498,0.047636168,0.047481529,0.047636168,0.047584622,0.047564003,0.042560137,0.044776632,0.046907216
0.046768471,0.047419674,0.042000859,0.047636168,0.04747122,0.047636168,0.047584622,0.047543385,0.042364691,0.044587629,0.046907216
0.046902491,0.04732646,0.041661942,0.047636168,0.047440292,0.047636168,0.047574313,0.047553694,0.042200172,0.04443299,0.046907216
0.046655069,0.047140893,0.041579038,0.047636168,0.047429983,0.047625859,0.047543385,0.047543385,0.041889605,0.044278351,0.046907216
0.046469502,0.046975515,0.041435137,0.04761555,0.047419674,0.04761555,0.047533076,0.047522766,0.042034364,0.044140893,0.046907216
0.046170103,0.046800258,0.041476375,0.047605241,0.047429983,0.047605241,0.047522766,0.04747122,0.041786942,0.044003436,0.046907216
0.04607732,0.046625,0.041589777,0.047594931,0.047429983,0.047553694,0.047502148,0.047440292,0.041755584,0.043642612,0.046907216
0.046015464,0.046470361,0.041651632,0.047605241,0.047368127,0.047553694,0.047491838,0.047440292,0.041271478,0.043728522,0.046907216
0.045860825,0.046489691,0.041569158,0.047594931,0.047357818,0.047532646,0.047481529,0.047419674,0.041486254,0.043573883,0.046907216
0.045768041,0.04621134,0.041435137,0.047594931,0.047337199,0.047522337,0.047460911,0.047378436,0.041414948,0.04338488,0.046907216
0.045634021,0.046034794,0.041517612,0.047594931,0.047285653,0.047522337,0.047429983,0.047378436,0.041076031,0.043230241,0.046907216
0.045458763,0.045859107,0.041527921,0.047564003,0.047265034,0.047532646,0.047378436,0.047399055,0.041640893,0.04314433,0.046907216
0.045458763,0.04579768,0.04153823,0.047553265,0.047295962,0.047522337,0.047337199,0.047337199,0.041217784,0.042972509,0.046890034
0.045324742,0.045622423,0.041589777,0.047532646,0.047295962,0.047532646,0.047337199,0.047316581,0.041444588,0.042766323,0.046821306
0.045201031,0.045323454,0.041600515,0.047522337,0.04732689,0.047532646,0.047285653,0.047306271,0.041176976,0.042680412,0.046752577
0.045036082,0.045179124,0.041579467,0.047532646,0.047316581,0.047522337,0.047244416,0.047285653,0.041352234,0.042628866,0.046666667
0.044974227,0.044962199,0.04153823,0.047532646,0.04732689,0.047553265,0.047285653,0.047244416,0.041373282,0.042646048,0.046649485
0.044850515,0.044796821,0.04153823,0.047522337,0.047295962,0.04762543,0.047265034,0.047234107,0.041476375,0.042628866,0.04661512
0.044891323,0.044652062,0.041496993,0.0474811,0.04732689,0.047676976,0.047254725,0.047099656,0.04154854,0.042628866,0.046580756
0.044808849,0.0443939,0.041466065,0.047429553,0.047306271,0.047584622,0.047213488,0.047037801,0.041558849,0.042628866,0.046563574
0.044808849,0.044146907,0.041445447,0.047367698,0.047285653,0.047585052,0.047151632,0.047037801,0.041590206,0.042628866,0.046563574
0.044829467,0.043929983,0.041435137,0.04733677,0.047285653,0.047534364,0.047141753,0.047017612,0.041621134,0.042611684,0.046563574
0.044891323,0.04368256,0.041414519,0.047285223,0.047265034,0.047358677,0.047098797,0.046966065,0.041548969,0.04257732,0.046563574
0.044880584,0.04354854,0.0413939,0.047295533,0.047285653,0.04733677,0.04704811,0.04690421,0.041559278,0.042542955,0.046563574
0.044880584,0.043486684,0.041373282,0.047151203,0.047254725,0.04747079,0.047007302,0.046738832,0.041435567,0.042542955,0.046563574
0.044602234,0.0433939,0.041321306,0.047068729,0.047254725,0.047645189,0.047017182,0.046676546,0.041384021,0.042525773,0.046563574
0.044591924,0.043311426,0.041300687,0.046945017,0.047244416,0.047685997,0.046955326,0.046573454,0.041322165,0.042525773,0.046563574
0.044602234,0.043228522,0.041310997,0.046935567,0.047265034,0.047850945,0.046789089,0.046532216,0.041301546,0.042508591,0.046563574
0.044643471,0.043083763,0.041300687,0.04675,0.047275344,0.04777878,0.046634021,0.046521907,0.04125,0.042508591,0.046563574
0.044571306,0.04298067,0.041269759,0.046687715,0.047275344,0.047666667,0.04663445,0.046408505,0.041208333,0.042491409,0.04652921
0.044447595,0.042795103,0.041269759,0.046490979,0.047275344,0.047832474,0.046552405,0.046347079,0.041187285,0.042491409,0.04652921
0.044344072,0.04270146,0.04125945,0.046306271,0.047244416,0.047935567,0.046376718,0.046243986,0.041207904,0.042491409,0.046546392
0.044323454,0.042608247,0.041228522,0.046161942,0.047223797,0.047904639,0.046252577,0.04619244,0.041197595,0.042491409,0.046563574
0.044210052,0.042536082,0.041176976,0.046089777,0.047213488,0.047863832,0.046139175,0.046109966,0.041187285,0.042439863,0.046477663
0.044076031,0.042493986,0.041176976,0.045862113,0.047223797,0.047770619,0.046097509,0.045986254,0.041207904,0.042439863,0.046477663
0.044003436,0.042442869,0.041156357,0.045821735,0.047213488,0.047718643,0.045973797,0.045893041,0.041186426,0.042405498,0.046305842
0.04395146,0.042339777,0.04112543,0.045738832,0.047213488,0.047667096,0.045870275,0.045779639,0.041165808,0.042353952,0.046168385
0.043858247,0.042185137,0.041094502,0.045573454,0.047192869,0.047563574,0.045695017,0.045594072,0.041217354,0.042319588,0.045927835
0.043816581,0.042164089,0.041053265,0.045490979,0.047161942,0.047387457,0.04565421,0.045511168,0.041227663,0.042302405,0.045670103
0.043661512,0.042081615,0.041043385,0.04521134,0.047151632,0.047191151,0.045488402,0.045428265,0.041237973,0.042268041,0.045670103
0.04354854,0.041947165,0.041043385,0.04520189,0.047131014,0.047077749,0.045364691,0.045397337,0.041237973,0.042268041,0.045635739
0.043507302,0.041906787,0.041012457,0.045027062,0.047120704,0.046685997,0.045190292,0.045253007,0.041207045,0.042268041,0.045584192
0.043475945,0.041917096,0.040991838,0.044975515,0.047089777,0.0463561,0.044931701,0.045170962,0.041207045,0.042233677,0.04556701
0.04340378,0.041917096,0.04097122,0.044861684,0.047079467,0.046129296,0.044911082,0.045025344,0.041196735,0.042216495,0.045309278
0.043414089,0.041824313,0.04097122,0.044604381,0.04703823,0.045850945,0.044745704,0.044963918,0.041155498,0.042199313,0.045137457
0.043456186,0.041690292,0.040950172,0.044531787,0.047017612,0.045438574,0.04466366,0.044850086,0.04113488,0.042164948,0.045085911
0.043518041,0.041649055,0.040919244,0.044397337,0.046986684,0.045293814,0.044436426,0.04465421,0.04112457,0.042164948,0.044862543
0.043435567,0.04156701,0.040919244,0.044036512,0.046924828,0.044973368,0.044261168,0.044540378,0.04112457,0.042147766,0.044656357
0.043424399,0.041536082,0.040908935,0.043954467,0.046841924,0.044705326,0.044219931,0.044405928,0.04112457,0.042147766,0.044553265
0.04325945,0.041495275,0.040898625,0.043665808,0.046800687,0.044530069,0.04409622,0.044375859,0.041114261,0.042164948,0.044450172
0.043104811,0.041351375,0.040888316,0.043542096,0.046780069,0.0442311,0.043880155,0.044271907,0.041114261,0.042147766,0.044278351
0.043012027,0.041289519,0.040878007,0.043304553,0.046769759,0.043941581,0.043704038,0.044137887,0.041073024,0.042130584,0.044106529
0.042939863,0.041268471,0.040857388,0.043387027,0.046707904,0.04366323,0.043631873,0.044097509,0.041042096,0.04209622,0.043900344
0.042960481,0.041175687,0.040816151,0.043222079,0.046656357,0.043632302,0.043601375,0.044014605,0.041031787,0.042079038,0.043780069
0.042991409,0.041072595,0.040816151,0.043138316,0.046553265,0.043570447,0.043466924,0.043829038,0.041000859,0.042010309,0.043556701
0.042899055,0.040887027,0.040774914,0.04308634,0.04647079,0.043487973,0.043332474,0.043756873,0.04099055,0.041993127,0.04347079
