Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.000416667,0.000416667,0.000416667,0.000416667,0.000416667,0.000416667,0.000416667,0.000416667,0.000416667,0.003639624,0.003639624
0.009863399,0.002164625,0.135919834,0,0.0012788,0,0.000416667,0.000840395,0.083337291,0.015212645,0.005088899
0.017833959,0.004730157,0.197150824,0,0.002568219,0,0.000416667,0.001250175,0.200420085,0.093568488,0.005089021
0.026605084,0.011864511,0.219220096,0,0.005141324,0,0.000840395,0.001684958,0.239876333,0.139678005,0.005832947
0.037842365,0.015287454,0.257974654,0,0.006030371,0,0.000840395,0.002131386,0.262448251,0.12695737,0.019326397
0.046585096,0.017903592,0.268619669,0,0.006468967,0,0.002111825,0.002975283,0.272602655,0.131863982,0.02859816
0.059768749,0.029385887,0.275535665,0,0.006892696,0,0.002111825,0.0038411,0.279252878,0.142152386,0.030657197
0.064360133,0.042582216,0.285374392,0,0.008178494,0.000866207,0.002531994,0.003417371,0.285838538,0.151078268,0.030657197
0.075231392,0.05566003,0.2894803,0,0.008609528,0.001710104,0.003800158,0.003834038,0.297383543,0.162998008,0.030657197
0.081765994,0.06892274,0.293332988,0.001289936,0.009036814,0.002554,0.004209938,0.004689242,0.300527349,0.171315073,0.030657197
0.097268032,0.078311563,0.292824138,0.001710104,0.008608606,0.002981351,0.004630106,0.00682091,0.306351814,0.182491506,0.030657197
0.096422708,0.088696811,0.288885709,0.002133832,0.008627685,0.005133809,0.005481555,0.008106961,0.313152996,0.198328529,0.030657197
0.09712156,0.099418569,0.286945843,0.002133832,0.011156601,0.005546975,0.005901723,0.008106961,0.330620143,0.202426353,0.030657197
0.099536518,0.099642496,0.289115028,0.002557561,0.01158757,0.006829529,0.007138121,0.009359969,0.324445828,0.207324461,0.030657197
0.108672233,0.110193191,0.292781658,0.002557561,0.012438649,0.007662683,0.007993325,0.010634966,0.327280073,0.21601891,0.030657197
0.113426879,0.11827952,0.29039742,0.002557561,0.014555007,0.007662683,0.009330643,0.010638463,0.324607258,0.222487935,0.030657197
0.120740857,0.125689157,0.290230436,0.00383243,0.015413518,0.007662683,0.011430081,0.010624514,0.312380427,0.225232989,0.030657197
0.128258454,0.13026229,0.289974926,0.004271027,0.014159781,0.008079349,0.013544849,0.01313048,0.309859399,0.231212974,0.031381835
0.135783696,0.138503108,0.288742156,0.005134122,0.01411184,0.008075906,0.014340848,0.014387404,0.300807914,0.237618075,0.034183727
0.141357649,0.150134878,0.288450138,0.005550789,0.012828119,0.00848919,0.015592054,0.015597915,0.304318425,0.240894883,0.03699757
0.14602306,0.156013179,0.289354319,0.005985571,0.013244786,0.008898969,0.017280566,0.018080736,0.296328958,0.242560136,0.040457005
0.148130701,0.164438288,0.290007841,0.006395351,0.012831677,0.010988873,0.017736503,0.020138927,0.294456606,0.242037697,0.041123672
0.154610306,0.172383227,0.290036223,0.006811958,0.014106487,0.01374468,0.018934541,0.020975275,0.288645255,0.242597809,0.042511295
0.152492148,0.178713258,0.291513585,0.008913031,0.012831494,0.021742087,0.022668956,0.026425634,0.287081056,0.242597809,0.043917581
0.153603065,0.188059495,0.292419223,0.011034108,0.013661559,0.031958917,0.025600722,0.028394173,0.285915451,0.242590161,0.044589351
0.153447417,0.196464395,0.292991111,0.013592161,0.014513009,0.047201736,0.028418357,0.029668616,0.285435704,0.242590161,0.044589351
0.154893742,0.203341119,0.293279993,0.016057637,0.014495438,0.062273803,0.03169262,0.030523852,0.28430929,0.243141913,0.044589351
0.154566275,0.211131405,0.293916977,0.019002699,0.015369217,0.082365726,0.034612664,0.034258282,0.286424845,0.244241309,0.044589351
0.153397389,0.216245903,0.294495201,0.021779097,0.014509387,0.102445693,0.039234297,0.037131532,0.287427642,0.245292368,0.044589351
0.157968967,0.219392737,0.295079492,0.029105715,0.015789609,0.11347838,0.042427403,0.044120432,0.29083066,0.245292368,0.044589351
0.162029609,0.223193065,0.296597311,0.034426674,0.015786109,0.124504909,0.044796615,0.048579562,0.292218276,0.245820134,0.044589351
0.165595106,0.226993843,0.29715796,0.042383033,0.016188041,0.138052592,0.048920185,0.053371442,0.294067275,0.245820134,0.044589351
0.166334428,0.230792359,0.297095908,0.049243656,0.015336315,0.149294628,0.055039148,0.056145903,0.293943499,0.246335844,0.044589351
0.166548266,0.235593009,0.297389712,0.060884084,0.014905346,0.160618024,0.060468823,0.057327763,0.295438804,0.246335844,0.044589351
0.168787027,0.238868495,0.298253138,0.06823935,0.014835329,0.172847031,0.064234687,0.064797066,0.296173503,0.246858283,0.045911836
0.17473187,0.244015431,0.298253138,0.080691843,0.014875715,0.180011308,0.071287052,0.069947194,0.297039798,0.246858283,0.046595146
0.179532758,0.247235476,0.298542021,0.092890313,0.016169586,0.184744696,0.078604164,0.075384603,0.297159633,0.246858283,0.047141031
0.182620245,0.250662918,0.299405731,0.101208688,0.017032681,0.189834776,0.082580162,0.077488001,0.297455892,0.246858283,0.04977726
0.186068081,0.253118579,0.300885236,0.108456648,0.01745641,0.195668168,0.087599301,0.082705458,0.297259518,0.248447944,0.055145293
0.192390685,0.254944889,0.301903402,0.116132902,0.017046574,0.198725072,0.09417254,0.088367161,0.296655598,0.248447944,0.060421734
0.194686637,0.256502502,0.302463966,0.122521425,0.017456353,0.199142052,0.102384516,0.09494552,0.297266401,0.249488322,0.067059023
