Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
5.982731959,6.060309278,6.062628866,6.032731959,6.126804124,5.894072165,5.95257732,5.996391753,5.857216495,5.463058419,5.807989691
5.594587629,5.570618557,5.612628866,5.694072165,5.570360825,5.64871134,5.587886598,5.894587629,4.401804124,5.503436426,5.35652921
5.474742268,5.238917526,5.450257732,5.469587629,4.989948454,5.595876289,5.418556701,5.243298969,4.041752577,5.206185567,5.325601375
4.991237113,5.101804124,5.33814433,5.279639175,4.643556701,5.198453608,4.928092784,5.148195876,3.924226804,5.175687285,5.095360825
4.920876289,4.938402062,5.305927835,5.054639175,4.181443299,5.066237113,4.689690722,4.979381443,3.756185567,4.804123711,5.063573883
4.879381443,4.903608247,5.093298969,5.103608247,4.033505155,4.989175258,4.53814433,4.52371134,3.436597938,4.568298969,5.056271478
4.735309278,4.872164948,4.937628866,4.704896907,3.904896907,5.015979381,4.194587629,4.297164948,3.242525773,4.448024055,4.944587629
4.566494845,4.817525773,4.660309278,4.46056701,3.845360825,4.507474227,4.090979381,4.18943299,2.97371134,4.368556701,4.658934708
4.387113402,4.841494845,4.63685567,4.168814433,3.602835052,4.542010309,3.859020619,4.095360825,2.872938144,4.338487973,4.760309278
4.212628866,4.853350515,4.264690722,4.021134021,3.38943299,4.171907216,3.833505155,3.880927835,2.71314433,4.202749141,4.875
4.179381443,4.853350515,4.018556701,4.017010309,3.382216495,3.817525773,3.701546392,3.789690722,2.545618557,4.283505155,4.818728522
4.115463918,4.820876289,3.803350515,3.646907216,3.240206186,3.762113402,3.627835052,3.709793814,2.545103093,3.956185567,4.493986254
3.984020619,4.847680412,3.526546392,3.557989691,3.174484536,3.775,3.595876289,3.534278351,2.447164948,3.899484536,4.706185567
4.028865979,4.809278351,3.198969072,3.385824742,2.879123711,3.509278351,3.375257732,3.465463918,2.309536082,3.810137457,4.672680412
3.915463918,4.819587629,3.054639175,3.167783505,2.815463918,3.263659794,3.254896907,3.446907216,2.294587629,3.674828179,4.561426117
3.733505155,4.872680412,2.765979381,2.941752577,2.723453608,3.072680412,3.089175258,3.320618557,2.205927835,3.655068729,4.445446735
3.640979381,4.83556701,2.588917526,2.780927835,2.616752577,2.942525773,3.223453608,3.183247423,2.18943299,3.555841924,4.240979381
3.650773196,4.819587629,2.423453608,2.697680412,2.470103093,2.889175258,3.074226804,3.133505155,2.076030928,3.45919244,3.923539519
3.615979381,4.752319588,2.38556701,2.594329897,2.393814433,2.65128866,3.007474227,3.130412371,2.013659794,3.400773196,3.89604811
3.451546392,4.800773196,2.277061856,2.534020619,2.279381443,2.767783505,2.943814433,3.099484536,1.994587629,3.328178694,3.83161512
3.437371134,4.745103093,2.152319588,2.363402062,2.279123711,2.666494845,2.844587629,3.040206186,1.969845361,3.234536082,3.682130584
3.331443299,4.706185567,2.129381443,2.354639175,2.11314433,2.643814433,2.763659794,2.926030928,1.957731959,3.138316151,3.586769759
3.255412371,4.730670103,2.042010309,2.424742268,2.096649485,2.602319588,2.753608247,2.93556701,1.887886598,3.124570447,3.559278351
3.121649485,4.642010309,1.984020619,2.309020619,2.037886598,2.508762887,2.733247423,2.853865979,1.829639175,3.037371134,3.291666667
3.068298969,4.694587629,1.962628866,2.270103093,2.004639175,2.463917526,2.658762887,2.789948454,1.836082474,2.939003436,3.262457045
3.054123711,4.656185567,1.882216495,2.312113402,1.939948454,2.490721649,2.613659794,2.850257732,1.775,2.917525773,3.202749141
3.059793814,4.647680412,1.819587629,2.309793814,1.937371134,2.505927835,2.694072165,2.722938144,1.800257732,2.766752577,3.238831615
2.962886598,4.596134021,1.786597938,2.203865979,1.929639175,2.477061856,2.609536082,2.706701031,1.803608247,2.691580756,3.028780069
2.83814433,4.642783505,1.799484536,2.201546392,1.864948454,2.510051546,2.57628866,2.708762887,1.784020619,2.684707904,3.109536082
2.840721649,4.566494845,1.76056701,2.281443299,1.828092784,2.495618557,2.539690722,2.605927835,1.797680412,2.637027491,2.990549828
2.853865979,4.544072165,1.75128866,2.226546392,1.810051546,2.556958763,2.524484536,2.568814433,1.798969072,2.545103093,2.87628866
2.783247423,4.449484536,1.734278351,2.21314433,1.762886598,2.506443299,2.527319588,2.556958763,1.759020619,2.563573883,2.787371134
2.76185567,4.466752577,1.724742268,2.22628866,1.715979381,2.592783505,2.420876289,2.513402062,1.771907216,2.463917526,2.572594502
2.753092784,4.405927835,1.729639175,2.258247423,1.709536082,2.437371134,2.445360825,2.523195876,1.748969072,2.4604811,2.419243986
2.676546392,4.340463918,1.728092784,2.268298969,1.696391753,2.518041237,2.425515464,2.439948454,1.776030928,2.370274914,2.323024055
2.676030928,4.327319588,1.710309278,2.313402062,1.707989691,2.508762887,2.39871134,2.483247423,1.791494845,2.303694158,2.282646048
2.690979381,4.280412371,1.757216495,2.208762887,1.720876289,2.489690722,2.369845361,2.467783505,1.81185567,2.35652921,2.20919244
2.683762887,4.188659794,1.712113402,2.232731959,1.675773196,2.50257732,2.409020619,2.44742268,1.786597938,2.269329897,2.145189003
2.636082474,4.133247423,1.722164948,2.22757732,1.648453608,2.478865979,2.405154639,2.428350515,1.806443299,2.223367698,2.06443299
2.565721649,4.089175258,1.778608247,2.151546392,1.660051546,2.485824742,2.355412371,2.331958763,1.785309278,2.161082474,2.150773196
2.563402062,4.003092784,1.69871134,2.107474227,1.669329897,2.441237113,2.276546392,2.323453608,1.783762887,2.26847079,2.210051546
2.587628866,3.953608247,1.719072165,2.134278351,1.64742268,2.455670103,2.280154639,2.366237113,1.781443299,2.209621993,2.239690722
2.555412371,3.95,1.720360825,2.12242268,1.641752577,2.457216495,2.281958763,2.327061856,1.76443299,2.129295533,2.173109966
2.572938144,3.834793814,1.74871134,2.075,1.650515464,2.41443299,2.263659794,2.349742268,1.746134021,2.189862543,2.195876289
2.528865979,3.817268041,1.72628866,2.08943299,1.666752577,2.477061856,2.233247423,2.277319588,1.759536082,2.122852234,2.249140893
2.526030928,3.756185567,1.728865979,2.043814433,1.727319588,2.432989691,2.277319588,2.279896907,1.76314433,2.10652921,2.20532646
2.487113402,3.709793814,1.705412371,2.006958763,1.670876289,2.484793814,2.249484536,2.28685567,1.72242268,2.140034364,2.14475945
2.453350515,3.717783505,1.700773196,1.953092784,1.662886598,2.442010309,2.253865979,2.248195876,1.74742268,2.100945017,2.198453608
2.385051546,3.683247423,1.729123711,2.021907216,1.639690722,2.393041237,2.183247423,2.234278351,1.78814433,2.063573883,2.160223368
2.370103093,3.585051546,1.723453608,1.971134021,1.645103093,2.393041237,2.173453608,2.259793814,1.714690722,2.070446735,2.206185567
2.333247423,3.522164948,1.696391753,1.973453608,1.625515464,2.296134021,2.192010309,2.231958763,1.772164948,2.050687285,2.195017182
2.320103093,3.443298969,1.697164948,1.922938144,1.669072165,2.355412371,2.160309278,2.196134021,1.760309278,1.999570447,2.20532646
2.275773196,3.439175258,1.702319588,1.859793814,1.629123711,2.302319588,2.156958763,2.194845361,1.758247423,2.048969072,2.208333333
2.263659794,3.337628866,1.703608247,1.85128866,1.651804124,2.276804124,2.12628866,2.187628866,1.754123711,2.021907216,2.246134021
2.236340206,3.255412371,1.706443299,1.82242268,1.642783505,2.237628866,2.140206186,2.144587629,1.760309278,1.999140893,2.243127148
2.215463918,3.236597938,1.729639175,1.864948454,1.663402062,2.219072165,2.122680412,2.175515464,1.77757732,2.034364261,2.207044674
2.195876289,3.15,1.686340206,1.82371134,1.654896907,2.181443299,2.081185567,2.152835052,1.719587629,2.02104811,2.260309278
2.204896907,3.103865979,1.707216495,1.805412371,1.662886598,2.132216495,2.078608247,2.142010309,1.707216495,2.003436426,2.343642612
2.154639175,3.020360825,1.716237113,1.769587629,1.64742268,2.181443299,2.113917526,2.134793814,1.742783505,1.981099656,2.301975945
2.139690722,2.94871134,1.718556701,1.780670103,1.673195876,2.089690722,2.098969072,2.130154639,1.746134021,2.015893471,2.250859107
2.116494845,2.946649485,1.716237113,1.809278351,1.681958763,2.058505155,2.069845361,2.139690722,1.742783505,1.974226804,2.232388316
