,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-677,59,-562,174,-711,25,-729,7,-693,43,-711,25,-705,31,-619,117,-710,26,-721,15,-708,28,-656,80,-699,37,-724,12,-673,63,-702,34,-531,205,-722,14,-708,28,-673,63,-672,64,-667,69,-692,44
1,-713,63,-598,178,-748,28,-769,7,-729,47,-747,29,-743,33,-652,124,-745,31,-758,18,-747,29,-687,89,-736,40,-762,14,-706,70,-738,38,-563,213,-758,18,-745,31,-709,67,-709,67,-701,75,-726,50
2,-747,69,-622,194,-788,28,-809,7,-769,47,-787,29,-783,33,-675,141,-784,32,-797,19,-786,30,-727,89,-774,42,-802,14,-741,75,-777,39,-590,226,-798,18,-783,33,-747,69,-747,69,-738,78,-765,51
3,-783,73,-646,210,-827,29,-849,7,-807,49,-827,29,-821,35,-694,162,-824,32,-836,20,-825,31,-766,90,-814,42,-842,14,-779,77,-816,40,-616,240,-836,20,-823,33,-784,72,-784,72,-776,80,-805,51
4,-821,75,-672,224,-867,29,-889,7,-846,50,-866,30,-860,36,-718,178,-864,32,-876,20,-864,32,-804,92,-854,42,-881,15,-817,79,-856,40,-642,254,-876,20,-863,33,-822,74,-823,73,-811,85,-844,52
5,-855,81,-698,238,-907,29,-929,7,-885,51,-906,30,-900,36,-741,195,-903,33,-916,20,-904,32,-841,95,-893,43,-921,15,-852,84,-896,40,-673,263,-916,20,-901,35,-861,75,-862,74,-847,89,-882,54
6,-892,84,-724,252,-946,30,-969,7,-925,51,-946,30,-938,38,-765,211,-940,36,-955,21,-943,33,-879,97,-932,44,-961,15,-887,89,-933,43,-702,274,-956,20,-940,36,-900,76,-901,75,-886,90,-920,56
7,-927,89,-748,268,-986,30,-1009,7,-964,52,-985,31,-977,39,-790,226,-980,36,-995,21,-981,35,-918,98,-972,44,-1000,16,-924,92,-972,44,-735,281,-996,20,-979,37,-939,77,-940,76,-922,94,-959,57
8,-964,92,-772,284,-1025,31,-1049,7,-1003,53,-1025,31,-1017,39,-819,237,-1019,37,-1035,21,-1019,37,-957,99,-1010,46,-1036,20,-959,97,-1012,44,-765,291,-1036,20,-1016,40,-978,78,-977,79,-954,102,-997,59
9,-1000,96,-809,287,-1063,33,-1088,8,-1040,56,-1065,31,-1053,43,-851,245,-1059,37,-1074,22,-1058,38,-994,102,-1049,47,-1076,20,-998,98,-1049,47,-790,306,-1075,21,-1054,42,-1016,80,-1015,81,-992,104,-1031,65
10,-1038,98,-847,289,-1102,34,-1126,10,-1079,57,-1104,32,-1092,44,-887,249,-1097,39,-1114,22,-1097,39,-1028,108,-1087,49,-1116,20,-1036,100,-1084,52,-817,319,-1115,21,-1091,45,-1051,85,-1049,87,-1031,105,-1066,70
11,-1075,101,-874,302,-1142,34,-1166,10,-1117,59,-1144,32,-1132,44,-912,264,-1135,41,-1154,22,-1135,41,-1064,112,-1126,50,-1154,22,-1072,104,-1124,52,-846,330,-1154,22,-1130,46,-1091,85,-1087,89,-1065,111,-1105,71
12,-1108,108,-903,313,-1182,34,-1205,11,-1156,60,-1184,32,-1172,44,-944,272,-1172,44,-1193,23,-1173,43,-1101,115,-1163,53,-1194,22,-1111,105,-1162,54,-870,346,-1194,22,-1169,47,-1127,89,-1123,93,-1103,113,-1139,77
