,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-670,66,-577,159,-709,27,-729,7,-691,45,-711,25,-705,31,-624,112,-703,33,-721,15,-707,29,-655,81,-698,38,-722,14,-663,73,-702,34,-526,210,-722,14,-706,30,-673,63,-666,70,-664,72,-680,56
1,-705,71,-610,166,-749,27,-769,7,-729,47,-751,25,-745,31,-662,114,-734,42,-759,17,-745,31,-695,81,-733,43,-760,16,-692,84,-741,35,-547,229,-762,14,-744,32,-711,65,-699,77,-692,84,-703,73
2,-742,74,-647,169,-789,27,-807,9,-769,47,-790,26,-784,32,-702,114,-763,53,-799,17,-784,32,-734,82,-771,45,-799,17,-722,94,-781,35,-571,245,-802,14,-783,33,-749,67,-737,79,-716,100,-726,90
3,-776,80,-683,173,-827,29,-847,9,-809,47,-829,27,-824,32,-738,118,-799,57,-837,19,-824,32,-769,87,-805,51,-838,18,-756,100,-820,36,-594,262,-841,15,-822,34,-787,69,-771,85,-748,108,-752,104
4,-809,87,-711,185,-867,29,-887,9,-846,50,-868,28,-863,33,-772,124,-835,61,-876,20,-862,34,-804,92,-840,56,-878,18,-790,106,-858,38,-616,280,-881,15,-861,35,-823,73,-807,89,-783,113,-786,110
5,-846,90,-738,198,-905,31,-926,10,-884,52,-908,28,-901,35,-795,141,-873,63,-915,21,-902,34,-841,95,-879,57,-918,18,-826,110,-897,39,-648,288,-921,15,-897,39,-860,76,-845,91,-818,118,-823,113
6,-883,93,-772,204,-944,32,-966,10,-924,52,-948,28,-939,37,-823,153,-910,66,-954,22,-941,35,-879,97,-918,58,-957,19,-860,116,-935,41,-669,307,-960,16,-935,41,-895,81,-878,98,-854,122,-855,121
7,-916,100,-809,207,-982,34,-1006,10,-962,54,-988,28,-978,38,-849,167,-949,67,-994,22,-979,37,-916,100,-955,61,-997,19,-894,122,-975,41,-693,323,-1000,16,-975,41,-934,82,-914,102,-885,131,-891,125
8,-949,107,-844,212,-1018,38,-1046,10,-1000,56,-1028,28,-1017,39,-881,175,-984,72,-1034,22,-1017,39,-955,101,-991,65,-1037,19,-930,126,-1014,42,-722,334,-1040,16,-1013,43,-972,84,-949,107,-918,138,-928,128
9,-981,115,-877,219,-1058,38,-1084,12,-1037,59,-1068,28,-1057,39,-908,188,-1021,75,-1074,22,-1055,41,-991,105,-1031,65,-1077,19,-968,128,-1053,43,-748,348,-1079,17,-1052,44,-1009,87,-985,111,-953,143,-963,133
10,-1014,122,-907,229,-1097,39,-1123,13,-1073,63,-1107,29,-1096,40,-939,197,-1060,76,-1113,23,-1093,43,-1026,110,-1070,66,-1116,20,-1005,131,-1092,44,-775,361,-1117,19,-1091,45,-1048,88,-1019,117,-989,147,-997,139
11,-1047,129,-940,236,-1136,40,-1163,13,-1111,65,-1147,29,-1136,40,-969,207,-1100,76,-1152,24,-1131,45,-1063,113,-1109,67,-1155,21,-1042,134,-1132,44,-794,382,-1157,19,-1131,45,-1084,92,-1052,124,-1028,148,-1030,146
12,-1081,135,-978,238,-1169,47,-1203,13,-1147,69,-1186,30,-1176,40,-1001,215,-1137,79,-1192,24,-1168,48,-1099,117,-1145,71,-1194,22,-1070,146,-1171,45,-823,393,-1196,20,-1167,49,-1121,95,-1087,129,-1064,152,-1069,147
13,-1117,139,-1010,246,-1205,51,-1243,13,-1182,74,-1226,30,-1215,41,-1036,220,-1174,82,-1232,24,-1206,50,-1135,121,-1182,74,-1234,22,-1105,151,-1210,46,-849,407,-1236,20,-1205,51,-1158,98,-1120,136,-1100,156,-1106,150
14,-1154,142,-1043,253,-1242,54,-1280,16,-1218,78,-1266,30,-1255,41,-1070,226,-1214,82,-1272,24,-1245,51,-1174,122,-1220,76,-1274,22,-1143,153,-1250,46,-871,425,-1274,22,-1244,52,-1196,100,-1143,153,-1138,158,-1140,156
15,-1187,149,-1075,261,-1279,57,-1320,16,-1253,83,-1306,30,-1293,43,-1102,234,-1253,83,-1312,24,-1283,53,-1212,124,-1260,76,-1314,22,-1183,153,-1289,47,-897,439,-1314,22,-1283,53,-1231,105,-1173,163,-1174,162,-1177,159
16,-1224,152,-1113,263,-1317,59,-1360,16,-1290,86,-1345,31,-1333,43,-1132,244,-1292,84,-1352,24,-1322,54,-1248,128,-1299,77,-1354,22,-1221,155,-1326,50,-917,459,-1354,22,-1322,54,-1270,106,-1205,171,-1209,167,-1209,167
17,-1258,158,-1145,271,-1355,61,-1400,16,-1328,88,-1384,32,-1373,43,-1162,254,-1331,85,-1392,24,-1362,54,-1285,131,-1339,77,-1394,22,-1255,161,-1366,50,-942,474,-1394,22,-1360,56,-1306,110,-1237,179,-1247,169,-1245,171
18,-1293,163,-1177,279,-1393,63,-1440,16,-1367,89,-1424,32,-1412,44,-1193,263,-1370,86,-1432,24,-1402,54,-1320,136,-1379,77,-1433,23,-1294,162,-1406,50,-964,492,-1433,23,-1399,57,-1343,113,-1268,188,-1281,175,-1283,173
19,-1333,163,-1214,282,-1431,65,-1480,16,-1405,91,-1463,33,-1450,46,-1216,280,-1408,88,-1472,24,-1439,57,-1355,141,-1416,80,-1473,23,-1333,163,-1445,51,-990,506,-1473,23,-1438,58,-1381,115,-1304,192,-1319,177,-1320,176
20,-1370,166,-1245,291,-1465,71,-1520,16,-1440,96,-1501,35,-1488,48,-1248,288,-1448,88,-1512,24,-1475,61,-1390,146,-1452,84,-1513,23,-1371,165,-1484,52,-1018,518,-1512,24,-1477,59,-1419,117,-1338,198,-1358,178,-1356,180
21,-1407,169,-1280,296,-1501,75,-1560,16,-1473,103,-1538,38,-1525,51,-1279,297,-1488,88,-1552,24,-1512,64,-1423,153,-1490,86,-1553,23,-1409,167,-1523,53,-1040,536,-1552,24,-1517,59,-1456,120,-1371,205,-1395,181,-1395,181
22,-1445,171,-1314,302,-1538,78,-1600,16,-1508,108,-1577,39,-1562,54,-1312,304,-1527,89,-1591,25,-1551,65,-1458,158,-1529,87,-1593,23,-1448,168,-1559,57,-1069,547,-1591,25,-1557,59,-1490,126,-1408,208,-1431,185,-1433,183
23,-1482,174,-1350,306,-1576,80,-1640,16,-1543,113,-1614,42,-1598,58,-1343,313,-1566,90,-1631,25,-1591,65,-1493,163,-1568,88,-1633,23,-1485,171,-1599,57,-1091,565,-1631,25,-1597,59,-1527,129,-1443,213,-1466,190,-1469,187
24,-1521,175,-1386,310,-1614,82,-1679,17,-1583,113,-1653,43,-1635,61,-1374,322,-1604,92,-1671,25,-1631,65,-1527,169,-1607,89,-1672,24,-1520,176,-1638,58,-1113,583,-1670,26,-1633,63,-1564,132,-1474,222,-1505,191,-1504,192
