,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-672,67,-598,158,-700,27,-728,7,-689,44,-719,26,-700,34,-632,120,-714,27,-706,14,-714,28,-658,80,-707,38,-718,13,-668,65,-700,32,-518,212,-720,15,-704,28,-665,63,-670,64,-670,66,-686,44
1,-709,72,-635,170,-729,29,-774,7,-726,47,-755,28,-745,37,-659,126,-761,27,-742,15,-748,29,-684,84,-742,39,-762,14,-704,69,-745,34,-547,218,-763,16,-729,32,-703,67,-709,67,-705,69,-729,47
2,-749,76,-675,177,-778,30,-803,7,-765,50,-796,30,-780,40,-688,134,-798,28,-779,17,-788,31,-714,88,-774,40,-801,16,-739,72,-779,35,-578,234,-797,17,-766,34,-746,70,-753,70,-742,74,-760,50
3,-790,79,-717,188,-817,30,-836,7,-791,51,-836,30,-814,41,-720,141,-838,28,-822,18,-818,33,-745,90,-832,41,-844,19,-782,77,-813,35,-615,248,-836,18,-800,37,-780,72,-789,75,-780,75,-789,51
4,-825,83,-754,199,-852,32,-880,7,-833,51,-890,31,-852,42,-750,147,-878,29,-860,18,-854,33,-778,93,-866,46,-884,22,-814,80,-860,36,-638,260,-875,18,-830,39,-819,76,-827,80,-808,75,-830,54
5,-860,86,-791,203,-883,32,-924,7,-876,55,-923,32,-886,44,-784,153,-924,29,-895,18,-895,33,-808,97,-901,51,-926,23,-848,83,-902,38,-671,268,-917,18,-875,41,-852,78,-864,85,-833,78,-881,57
6,-886,89,-821,214,-920,33,-956,8,-908,56,-975,34,-924,47,-822,163,-963,31,-932,18,-927,35,-836,106,-931,55,-960,27,-889,88,-946,41,-699,282,-953,18,-922,41,-895,84,-897,85,-866,79,-923,63
7,-925,92,-854,220,-959,34,-991,8,-945,59,-1023,34,-971,50,-845,168,-997,32,-967,18,-971,36,-872,108,-963,56,-998,27,-926,90,-986,41,-734,296,-1005,18,-971,42,-929,88,-930,90,-892,81,-962,64
8,-964,97,-879,235,-998,35,-1025,8,-972,59,-1063,35,-1005,56,-878,174,-1033,34,-1002,19,-1007,36,-909,114,-999,59,-1042,28,-971,93,-1021,43,-764,307,-1055,19,-1006,43,-967,90,-964,91,-930,82,-1008,69
9,-993,100,-923,243,-1044,36,-1069,8,-1009,61,-1095,35,-1037,58,-907,179,-1075,36,-1041,21,-1049,37,-939,119,-1037,59,-1081,29,-1017,94,-1062,45,-792,321,-1095,19,-1044,43,-1010,93,-992,96,-960,86,-1046,73
10,-1029,101,-948,252,-1090,37,-1102,8,-1051,62,-1146,36,-1067,59,-944,189,-1111,39,-1071,23,-1086,37,-976,123,-1079,61,-1119,29,-1057,96,-1096,48,-831,333,-1131,19,-1082,43,-1042,103,-1032,99,-993,87,-1086,75
11,-1068,106,-978,258,-1124,39,-1144,8,-1090,68,-1195,36,-1095,60,-983,199,-1150,40,-1111,23,-1124,40,-1012,127,-1108,63,-1159,29,-1096,99,-1140,51,-865,343,-1168,19,-1120,45,-1067,108,-1070,105,-1027,88,-1123,77
12,-1103,109,-1008,267,-1162,40,-1181,8,-1139,72,-1229,37,-1128,61,-1017,203,-1193,41,-1145,23,-1157,43,-1049,135,-1159,66,-1193,29,-1129,102,-1180,54,-884,358,-1209,20,-1162,46,-1103,113,-1112,106,-1060,91,-1163,79
13,-1146,110,-1044,273,-1199,41,-1228,9,-1179,73,-1262,38,-1171,62,-1053,216,-1232,42,-1197,23,-1189,44,-1084,135,-1196,67,-1231,31,-1154,107,-1226,55,-907,370,-1246,22,-1198,47,-1137,116,-1152,106,-1102,92,-1195,81
14,-1178,113,-1080,280,-1242,43,-1278,9,-1216,78,-1296,38,-1205,65,-1080,224,-1275,44,-1242,24,-1225,46,-1112,139,-1231,67,-1275,32,-1189,116,-1261,60,-942,381,-1284,23,-1231,48,-1165,121,-1191,110,-1135,94,-1236,84
15,-1219,115,-1112,285,-1285,44,-1312,9,-1246,81,-1328,40,-1244,66,-1115,230,-1313,44,-1286,24,-1271,47,-1145,141,-1278,67,-1319,32,-1234,118,-1296,61,-963,392,-1323,23,-1259,51,-1208,124,-1226,114,-1170,100,-1278,90
16,-1253,118,-1147,291,-1332,44,-1347,9,-1281,82,-1363,41,-1278,72,-1142,241,-1344,45,-1326,26,-1315,49,-1182,149,-1320,69,-1358,33,-1269,125,-1323,65,-997,402,-1352,23,-1308,51,-1243,126,-1260,120,-1213,100,-1319,95
17,-1284,120,-1188,299,-1364,45,-1389,10,-1320,83,-1404,42,-1321,74,-1182,245,-1385,46,-1371,26,-1348,51,-1229,154,-1359,71,-1395,33,-1310,128,-1357,65,-1017,413,-1391,23,-1347,52,-1275,127,-1286,124,-1254,102,-1361,98
18,-1322,123,-1226,305,-1403,46,-1442,10,-1351,85,-1447,42,-1364,75,-1219,253,-1423,49,-1407,26,-1385,52,-1264,159,-1386,74,-1424,33,-1354,134,-1394,67,-1044,421,-1433,23,-1381,53,-1304,129,-1332,126,-1296,106,-1396,100
19,-1360,125,-1261,316,-1443,48,-1479,10,-1388,86,-1484,45,-1406,78,-1256,262,-1457,50,-1444,27,-1426,53,-1290,166,-1423,77,-1465,33,-1395,138,-1433,68,-1072,431,-1476,23,-1424,53,-1343,135,-1363,131,-1320,111,-1433,101
20,-1402,131,-1301,324,-1475,48,-1525,10,-1435,89,-1523,45,-1442,78,-1287,270,-1493,52,-1483,27,-1465,53,-1323,172,-1464,78,-1497,34,-1431,139,-1470,71,-1092,439,-1521,23,-1466,55,-1387,138,-1410,134,-1354,112,-1456,104
21,-1430,133,-1331,328,-1505,48,-1561,10,-1481,94,-1562,46,-1482,80,-1323,279,-1541,54,-1530,27,-1493,55,-1363,176,-1504,78,-1537,35,-1470,141,-1514,73,-1115,445,-1568,24,-1506,56,-1424,142,-1442,139,-1386,117,-1493,107
22,-1460,135,-1354,339,-1545,49,-1607,10,-1516,96,-1603,49,-1522,81,-1359,285,-1582,55,-1565,28,-1533,58,-1401,176,-1537,80,-1577,35,-1497,143,-1565,75,-1144,455,-1603,25,-1539,59,-1456,146,-1476,143,-1434,122,-1542,107
23,-1489,137,-1386,349,-1583,49,-1650,10,-1553,99,-1653,50,-1554,83,-1388,295,-1616,57,-1602,30,-1568,59,-1434,180,-1582,83,-1604,35,-1539,144,-1596,77,-1179,461,-1648,27,-1579,60,-1495,146,-1505,147,-1488,123,-1588,108
24,-1535,140,-1420,355,-1612,49,-1692,10,-1582,103,-1691,52,-1594,84,-1427,301,-1656,60,-1645,30,-1602,60,-1475,184,-1617,84,-1653,36,-1571,150,-1631,79,-1213,470,-1687,28,-1622,63,-1535,148,-1535,150,-1526,130,-1611,110
25,-1575,144,-1441,368,-1647,49,-1739,10,-1621,105,-1727,53,-1637,84,-1469,305,-1697,61,-1685,30,-1637,61,-1512,190,-1654,85,-1693,38,-1612,153,-1664,81,-1244,483,-1727,28,-1663,66,-1563,153,-1562,155,-1566,133,-1646,112
26,-1613,147,-1476,375,-1685,49,-1784,10,-1661,105,-1762,56,-1681,88,-1494,312,-1730,63,-1714,30,-1674,62,-1555,194,-1699,85,-1729,39,-1647,154,-1700,85,-1271,494,-1774,29,-1700,70,-1597,159,-1599,157,-1594,138,-1694,114
27,-1660,151,-1511,379,-1712,49,-1826,11,-1701,108,-1803,57,-1731,89,-1523,317,-1758,64,-1752,31,-1717,62,-1592,197,-1739,86,-1757,40,-1687,155,-1746,85,-1306,505,-1806,29,-1749,70,-1634,160,-1629,162,-1631,143,-1734,114
28,-1701,151,-1548,387,-1742,49,-1872,12,-1747,109,-1835,59,-1768,91,-1555,327,-1803,64,-1790,32,-1751,62,-1630,200,-1772,88,-1797,40,-1722,156,-1783,87,-1338,516,-1845,30,-1792,72,-1676,166,-1658,167,-1661,144,-1776,117
29,-1737,154,-1575,394,-1792,49,-1914,13,-1789,116,-1866,60,-1808,94,-1586,337,-1843,65,-1831,32,-1794,62,-1662,206,-1801,88,-1831,41,-1757,158,-1828,88,-1370,529,-1883,30,-1831,72,-1718,170,-1686,170,-1694,150,-1812,122
