,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-678,58,-600,136,-715,21,-730,6,-695,41,-717,19,-697,39,-616,120,-712,24,-719,17,-713,23,-656,80,-702,34,-730,6,-663,73,-700,36,-529,207,-726,10,-712,24,-661,75,-667,69,-674,62,-687,49
1,-715,61,-630,146,-754,22,-770,6,-735,41,-757,19,-737,39,-651,125,-752,24,-758,18,-752,24,-687,89,-739,37,-770,6,-703,73,-740,36,-563,213,-766,10,-751,25,-690,86,-705,71,-713,63,-727,49
2,-752,64,-665,151,-793,23,-810,6,-775,41,-797,19,-776,40,-680,136,-792,24,-797,19,-790,26,-723,93,-779,37,-809,7,-742,74,-780,36,-590,226,-806,10,-791,25,-719,97,-745,71,-751,65,-767,49
3,-789,67,-694,162,-833,23,-850,6,-813,43,-835,21,-813,43,-711,145,-832,24,-837,19,-826,30,-756,100,-819,37,-847,9,-781,75,-819,37,-621,235,-846,10,-830,26,-751,105,-783,73,-788,68,-805,51
4,-825,71,-728,168,-872,24,-890,6,-853,43,-874,22,-851,45,-742,154,-872,24,-876,20,-864,32,-791,105,-858,38,-884,12,-818,78,-858,38,-647,249,-886,10,-869,27,-782,114,-822,74,-821,75,-845,51
5,-862,74,-757,179,-912,24,-930,6,-891,45,-911,25,-888,48,-778,158,-912,24,-913,23,-903,33,-827,109,-896,40,-924,12,-858,78,-895,41,-677,259,-926,10,-909,27,-814,122,-860,76,-860,76,-884,52
6,-899,77,-793,183,-951,25,-969,7,-930,46,-948,28,-923,53,-814,162,-951,25,-951,25,-942,34,-864,112,-935,41,-964,12,-898,78,-932,44,-709,267,-966,10,-949,27,-841,135,-898,78,-898,78,-922,54
7,-936,80,-828,188,-990,26,-1009,7,-969,47,-984,32,-958,58,-848,168,-991,25,-988,28,-982,34,-897,119,-974,42,-1004,12,-937,79,-970,46,-737,279,-1006,10,-988,28,-868,148,-938,78,-935,81,-958,58
8,-975,81,-864,192,-1030,26,-1049,7,-1008,48,-1020,36,-994,62,-884,172,-1031,25,-1027,29,-1021,35,-934,122,-1012,44,-1044,12,-977,79,-1008,48,-767,289,-1046,10,-1028,28,-897,159,-974,82,-974,82,-994,62
9,-1011,85,-899,197,-1070,26,-1088,8,-1047,49,-1059,37,-1030,66,-917,179,-1070,26,-1065,31,-1060,36,-970,126,-1049,47,-1083,13,-1013,83,-1046,50,-798,298,-1086,10,-1068,28,-931,165,-1011,85,-1013,83,-1032,64
10,-1043,93,-930,206,-1109,27,-1128,8,-1084,52,-1098,38,-1066,70,-952,184,-1110,26,-1104,32,-1100,36,-1007,129,-1088,48,-1122,14,-1051,85,-1085,51,-829,307,-1126,10,-1106,30,-961,175,-1047,89,-1050,86,-1072,64
11,-1079,97,-965,211,-1149,27,-1168,8,-1122,54,-1137,39,-1105,71,-983,193,-1150,26,-1143,33,-1136,40,-1042,134,-1127,49,-1161,15,-1090,86,-1120,56,-863,313,-1165,11,-1146,30,-994,182,-1084,92,-1084,92,-1110,66
12,-1115,101,-1001,215,-1189,27,-1208,8,-1161,55,-1176,40,-1144,72,-1018,198,-1188,28,-1181,35,-1176,40,-1075,141,-1166,50,-1201,15,-1127,89,-1157,59,-891,325,-1205,11,-1186,30,-1023,193,-1123,93,-1122,94,-1149,67
13,-1152,104,-1037,219,-1228,28,-1248,8,-1199,57,-1215,41,-1180,76,-1052,204,-1228,28,-1220,36,-1216,40,-1112,144,-1204,52,-1240,16,-1165,91,-1193,63,-918,338,-1245,11,-1223,33,-1054,202,-1163,93,-1160,96,-1188,68
14,-1188,108,-1069,227,-1268,28,-1288,8,-1239,57,-1254,42,-1219,77,-1089,207,-1268,28,-1260,36,-1255,41,-1145,151,-1242,54,-1280,16,-1204,92,-1226,70,-944,352,-1285,11,-1262,34,-1085,211,-1202,94,-1197,99,-1227,69
15,-1225,111,-1101,235,-1307,29,-1328,8,-1278,58,-1292,44,-1257,79,-1124,212,-1308,28,-1300,36,-1293,43,-1180,156,-1279,57,-1319,17,-1240,96,-1262,74,-975,361,-1325,11,-1302,34,-1117,219,-1239,97,-1233,103,-1266,70
16,-1263,113,-1133,243,-1345,31,-1368,8,-1317,59,-1329,47,-1293,83,-1158,218,-1347,29,-1337,39,-1333,43,-1210,166,-1317,59,-1358,18,-1278,98,-1300,76,-1006,370,-1365,11,-1341,35,-1153,223,-1278,98,-1270,106,-1305,71
17,-1301,115,-1170,246,-1384,32,-1406,10,-1354,62,-1365,51,-1332,84,-1194,222,-1387,29,-1375,41,-1372,44,-1239,177,-1355,61,-1397,19,-1314,102,-1335,81,-1042,374,-1405,11,-1379,37,-1188,228,-1316,100,-1309,107,-1344,72
18,-1340,116,-1204,252,-1424,32,-1446,10,-1392,64,-1402,54,-1366,90,-1231,225,-1427,29,-1412,44,-1408,48,-1273,183,-1394,62,-1436,20,-1349,107,-1373,83,-1068,388,-1445,11,-1419,37,-1221,235,-1355,101,-1349,107,-1383,73
19,-1377,119,-1236,260,-1463,33,-1486,10,-1430,66,-1441,55,-1402,94,-1265,231,-1467,29,-1452,44,-1446,50,-1306,190,-1429,67,-1472,24,-1388,108,-1412,84,-1091,405,-1485,11,-1459,37,-1258,238,-1392,104,-1388,108,-1423,73
