,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-674,62,-604,132,-714,22,-730,6,-692,44,-717,19,-696,40,-614,122,-713,23,-718,18,-715,21,-656,80,-700,36,-730,6,-661,75,-696,40,-530,206,-725,11,-711,25,-677,59,-668,68,-675,61,-684,52
1,-714,62,-638,138,-753,23,-769,7,-732,44,-755,21,-734,42,-650,126,-752,24,-755,21,-754,22,-690,86,-737,39,-770,6,-700,76,-730,46,-563,213,-765,11,-749,27,-715,61,-703,73,-713,63,-722,54
2,-749,67,-676,140,-793,23,-809,7,-769,47,-794,22,-773,43,-686,130,-790,26,-793,23,-792,24,-723,93,-772,44,-808,8,-739,77,-768,48,-592,224,-805,11,-787,29,-753,63,-742,74,-752,64,-758,58
3,-786,70,-714,142,-833,23,-847,9,-808,48,-832,24,-813,43,-722,134,-827,29,-832,24,-832,24,-755,101,-811,45,-847,9,-774,82,-807,49,-623,233,-845,11,-823,33,-787,69,-778,78,-790,66,-792,64
4,-825,71,-748,148,-873,23,-885,11,-847,49,-871,25,-851,45,-760,136,-866,30,-871,25,-871,25,-787,109,-849,47,-886,10,-813,83,-843,53,-661,235,-882,14,-860,36,-823,73,-815,81,-828,68,-827,69
5,-862,74,-783,153,-911,25,-925,11,-886,50,-911,25,-888,48,-795,141,-906,30,-911,25,-911,25,-821,115,-888,48,-926,10,-850,86,-881,55,-692,244,-920,16,-899,37,-860,76,-854,82,-868,68,-862,74
6,-899,77,-820,156,-948,28,-965,11,-923,53,-949,27,-922,54,-834,142,-946,30,-950,26,-949,27,-857,119,-927,49,-966,10,-886,90,-915,61,-726,250,-959,17,-938,38,-896,80,-892,84,-907,69,-901,75
7,-939,77,-853,163,-985,31,-1005,11,-962,54,-988,28,-962,54,-871,145,-985,31,-989,27,-984,32,-893,123,-965,51,-1004,12,-925,91,-949,67,-759,257,-999,17,-976,40,-934,82,-930,86,-942,74,-940,76
8,-976,80,-889,167,-1021,35,-1045,11,-999,57,-1028,28,-1000,56,-908,148,-1025,31,-1028,28,-1023,33,-927,129,-1000,56,-1044,12,-961,95,-987,69,-791,265,-1039,17,-1012,44,-969,87,-968,88,-980,76,-976,80
9,-1014,82,-922,174,-1060,36,-1083,13,-1036,60,-1067,29,-1039,57,-945,151,-1064,32,-1065,31,-1063,33,-962,134,-1038,58,-1084,12,-997,99,-1025,71,-821,275,-1079,17,-1049,47,-1008,88,-1004,92,-1018,78,-1013,83
10,-1051,85,-961,175,-1098,38,-1123,13,-1073,63,-1105,31,-1077,59,-981,155,-1103,33,-1103,33,-1101,35,-996,140,-1074,62,-1124,12,-1035,101,-1062,74,-851,285,-1118,18,-1086,50,-1046,90,-1040,96,-1055,81,-1052,84
11,-1090,86,-1000,176,-1137,39,-1160,16,-1111,65,-1141,35,-1113,63,-1021,155,-1143,33,-1140,36,-1140,36,-1032,144,-1111,65,-1164,12,-1072,104,-1097,79,-878,298,-1157,19,-1125,51,-1084,92,-1077,99,-1093,83,-1088,88
12,-1126,90,-1039,177,-1176,40,-1199,17,-1146,70,-1179,37,-1148,68,-1060,156,-1183,33,-1179,37,-1179,37,-1067,149,-1147,69,-1201,15,-1111,105,-1130,86,-909,307,-1196,20,-1162,54,-1120,96,-1117,99,-1131,85,-1128,88
13,-1164,92,-1074,182,-1216,40,-1239,17,-1184,72,-1217,39,-1185,71,-1096,160,-1221,35,-1217,39,-1219,37,-1106,150,-1184,72,-1239,17,-1150,106,-1166,90,-938,318,-1234,22,-1199,57,-1156,100,-1156,100,-1170,86,-1165,91
14,-1203,93,-1111,185,-1253,43,-1277,19,-1221,75,-1256,40,-1222,74,-1135,161,-1258,38,-1257,39,-1257,39,-1141,155,-1222,74,-1279,17,-1188,108,-1204,92,-974,322,-1274,22,-1238,58,-1189,107,-1193,103,-1209,87,-1201,95
15,-1237,99,-1144,192,-1292,44,-1316,20,-1258,78,-1294,42,-1261,75,-1174,162,-1295,41,-1296,40,-1294,42,-1177,159,-1262,74,-1319,17,-1227,109,-1243,93,-1006,330,-1314,22,-1275,61,-1226,110,-1231,105,-1247,89,-1236,100
16,-1274,102,-1180,196,-1332,44,-1356,20,-1297,79,-1330,46,-1295,81,-1214,162,-1335,41,-1336,40,-1331,45,-1211,165,-1300,76,-1357,19,-1267,109,-1281,95,-1039,337,-1354,22,-1312,64,-1261,115,-1270,106,-1286,90,-1274,102
17,-1313,103,-1216,200,-1372,44,-1395,21,-1332,84,-1367,49,-1328,88,-1250,166,-1374,42,-1373,43,-1369,47,-1245,171,-1339,77,-1396,20,-1305,111,-1317,99,-1071,345,-1394,22,-1351,65,-1296,120,-1308,108,-1326,90,-1314,102
18,-1349,107,-1250,206,-1410,46,-1433,23,-1371,85,-1406,50,-1365,91,-1290,166,-1414,42,-1412,44,-1408,48,-1280,176,-1378,78,-1432,24,-1344,112,-1355,101,-1096,360,-1434,22,-1391,65,-1332,124,-1348,108,-1363,93,-1352,104
19,-1386,110,-1289,207,-1450,46,-1472,24,-1408,88,-1444,52,-1401,95,-1327,169,-1454,42,-1451,45,-1446,50,-1313,183,-1416,80,-1471,25,-1381,115,-1392,104,-1129,367,-1473,23,-1430,66,-1370,126,-1387,109,-1402,94,-1387,109
20,-1422,114,-1328,208,-1488,48,-1510,26,-1445,91,-1484,52,-1437,99,-1366,170,-1494,42,-1490,46,-1483,53,-1351,185,-1456,80,-1510,26,-1419,117,-1429,107,-1161,375,-1511,25,-1469,67,-1405,131,-1425,111,-1439,97,-1425,111
