,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-676,60,-589,147,-714,22,-728,8,-696,40,-715,21,-697,39,-612,124,-705,31,-718,18,-715,21,-656,80,-702,34,-729,7,-646,90,-698,38,-528,208,-726,10,-714,22,-679,57,-660,76,-667,69,-677,59
1,-713,63,-614,162,-753,23,-768,8,-732,44,-755,21,-737,39,-650,126,-739,37,-757,19,-753,23,-694,82,-742,34,-769,7,-666,110,-737,39,-561,215,-766,10,-751,25,-718,58,-695,81,-694,82,-706,70
2,-753,63,-650,166,-793,23,-807,9,-771,45,-793,23,-777,39,-689,127,-762,54,-796,20,-792,24,-732,84,-781,35,-807,9,-685,131,-776,40,-584,232,-806,10,-789,27,-758,58,-733,83,-710,106,-736,80
3,-792,64,-683,173,-833,23,-846,10,-811,45,-832,24,-817,39,-729,127,-789,67,-833,23,-831,25,-771,85,-819,37,-845,11,-709,147,-815,41,-614,242,-846,10,-829,27,-797,59,-769,87,-727,129,-763,93
4,-829,67,-716,180,-873,23,-885,11,-850,46,-872,24,-857,39,-768,128,-820,76,-871,25,-871,25,-811,85,-858,38,-885,11,-739,157,-854,42,-633,263,-885,11,-866,30,-835,61,-806,90,-751,145,-783,113
5,-867,69,-749,187,-912,24,-924,12,-890,46,-912,24,-896,40,-806,130,-849,87,-911,25,-911,25,-848,88,-889,47,-925,11,-765,171,-893,43,-663,273,-923,13,-905,31,-873,63,-842,94,-778,158,-810,126
6,-903,73,-786,190,-952,24,-964,12,-930,46,-952,24,-933,43,-841,135,-887,89,-951,25,-951,25,-884,92,-927,49,-965,11,-797,179,-933,43,-687,289,-962,14,-945,31,-911,65,-878,98,-807,169,-838,138
7,-932,84,-821,195,-992,24,-1003,13,-970,46,-991,25,-972,44,-878,138,-922,94,-990,26,-991,25,-922,94,-964,52,-1004,12,-831,185,-970,46,-720,296,-1001,15,-983,33,-946,70,-912,104,-840,176,-864,152
8,-970,86,-845,211,-1032,24,-1043,13,-1010,46,-1031,25,-1007,49,-915,141,-959,97,-1028,28,-1030,26,-960,96,-1000,56,-1042,14,-865,191,-1008,48,-748,308,-1040,16,-1022,34,-982,74,-948,108,-873,183,-894,162
9,-1006,90,-875,221,-1071,25,-1083,13,-1050,46,-1070,26,-1045,51,-952,144,-995,101,-1068,28,-1069,27,-995,101,-1037,59,-1082,14,-895,201,-1046,50,-774,322,-1080,16,-1060,36,-1017,79,-980,116,-908,188,-927,169
10,-1042,94,-905,231,-1111,25,-1123,13,-1089,47,-1110,26,-1085,51,-983,153,-1032,104,-1108,28,-1109,27,-1034,102,-1075,61,-1122,14,-926,210,-1085,51,-802,334,-1118,18,-1099,37,-1055,81,-1011,125,-941,195,-955,181
11,-1076,100,-932,244,-1149,27,-1162,14,-1127,49,-1150,26,-1124,52,-1017,159,-1069,107,-1148,28,-1148,28,-1072,104,-1112,64,-1162,14,-962,214,-1124,52,-822,354,-1156,20,-1136,40,-1094,82,-1044,132,-978,198,-986,190
12,-1108,108,-958,258,-1188,28,-1202,14,-1165,51,-1189,27,-1161,55,-1056,160,-1106,110,-1186,30,-1188,28,-1109,107,-1152,64,-1201,15,-997,219,-1163,53,-846,370,-1196,20,-1175,41,-1132,84,-1076,140,-1013,203,-1018,198
13,-1140,116,-984,272,-1227,29,-1241,15,-1204,52,-1228,28,-1198,58,-1094,162,-1142,114,-1225,31,-1228,28,-1148,108,-1190,66,-1240,16,-1031,225,-1203,53,-873,383,-1236,20,-1214,42,-1171,85,-1110,146,-1047,209,-1050,206
14,-1169,127,-1004,292,-1265,31,-1281,15,-1243,53,-1268,28,-1236,60,-1132,164,-1178,118,-1265,31,-1268,28,-1187,109,-1229,67,-1280,16,-1063,233,-1243,53,-905,391,-1274,22,-1253,43,-1211,85,-1145,151,-1085,211,-1087,209
15,-1199,137,-1027,309,-1305,31,-1321,15,-1283,53,-1308,28,-1276,60,-1170,166,-1213,123,-1304,32,-1308,28,-1225,111,-1268,68,-1319,17,-1098,238,-1282,54,-932,404,-1314,22,-1293,43,-1250,86,-1173,163,-1120,216,-1124,212
16,-1228,148,-1049,327,-1343,33,-1361,15,-1322,54,-1348,28,-1315,61,-1204,172,-1253,123,-1342,34,-1346,30,-1264,112,-1307,69,-1359,17,-1137,239,-1322,54,-958,418,-1354,22,-1332,44,-1288,88,-1203,173,-1156,220,-1160,216
17,-1261,155,-1072,344,-1382,34,-1400,16,-1361,55,-1388,28,-1354,62,-1238,178,-1292,124,-1382,34,-1386,30,-1301,115,-1346,70,-1398,18,-1175,241,-1360,56,-978,438,-1394,22,-1370,46,-1328,88,-1226,190,-1192,224,-1195,221
18,-1295,161,-1097,359,-1421,35,-1439,17,-1400,56,-1428,28,-1393,63,-1275,181,-1330,126,-1422,34,-1425,31,-1339,117,-1386,70,-1438,18,-1212,244,-1398,58,-1003,453,-1433,23,-1408,48,-1366,90,-1256,200,-1229,227,-1233,223
19,-1328,168,-1118,378,-1460,36,-1479,17,-1440,56,-1467,29,-1430,66,-1315,181,-1370,126,-1462,34,-1464,32,-1375,121,-1424,72,-1476,20,-1250,246,-1438,58,-1023,473,-1473,23,-1447,49,-1406,90,-1286,210,-1263,233,-1271,225
20,-1361,175,-1137,399,-1500,36,-1519,17,-1479,57,-1506,30,-1470,66,-1351,185,-1409,127,-1501,35,-1502,34,-1410,126,-1462,74,-1513,23,-1287,249,-1477,59,-1046,490,-1513,23,-1483,53,-1442,94,-1319,217,-1296,240,-1310,226
