,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-676,60,-598,138,-714,22,-730,6,-695,41,-717,19,-696,40,-609,127,-710,26,-719,17,-715,21,-656,80,-699,37,-728,8,-662,74,-698,38,-521,215,-724,12,-714,22,-678,58,-665,71,-676,60,-683,53
1,-714,62,-631,145,-754,22,-769,7,-733,43,-756,20,-732,44,-641,135,-750,26,-759,17,-753,23,-688,88,-738,38,-766,10,-698,78,-737,39,-554,222,-763,13,-752,24,-712,64,-703,73,-716,60,-722,54
2,-754,62,-663,153,-792,24,-809,7,-770,46,-794,22,-770,46,-672,144,-789,27,-799,17,-793,23,-722,94,-777,39,-806,10,-736,80,-776,40,-586,230,-802,14,-791,25,-748,68,-739,77,-752,64,-761,55
3,-790,66,-693,163,-831,25,-849,7,-807,49,-834,22,-810,46,-706,150,-827,29,-839,17,-833,23,-760,96,-816,40,-846,10,-770,86,-815,41,-615,241,-842,14,-831,25,-785,71,-776,80,-791,65,-798,58
4,-830,66,-724,172,-869,27,-888,8,-843,53,-874,22,-849,47,-740,156,-866,30,-879,17,-872,24,-794,102,-854,42,-886,10,-807,89,-853,43,-641,255,-882,14,-869,27,-823,73,-813,83,-828,68,-832,64
5,-867,69,-759,177,-909,27,-928,8,-881,55,-913,23,-889,47,-770,166,-905,31,-918,18,-910,26,-829,107,-888,48,-923,13,-844,92,-891,45,-671,265,-922,14,-909,27,-858,78,-852,84,-863,73,-870,66
6,-905,71,-788,188,-949,27,-967,9,-919,57,-953,23,-927,49,-803,173,-944,32,-958,18,-949,27,-865,111,-928,48,-963,13,-882,94,-931,45,-700,276,-962,14,-947,29,-893,83,-887,89,-898,78,-907,69
7,-945,71,-823,193,-988,28,-1007,9,-956,60,-992,24,-966,50,-839,177,-983,33,-998,18,-989,27,-904,112,-967,49,-1002,14,-917,99,-968,48,-728,288,-1002,14,-986,30,-927,89,-924,92,-933,83,-941,75
8,-982,74,-856,200,-1028,28,-1046,10,-994,62,-1032,24,-1004,52,-874,182,-1019,37,-1037,19,-1027,29,-940,116,-1005,51,-1040,16,-955,101,-1007,49,-756,300,-1041,15,-1026,30,-966,90,-960,96,-970,86,-976,80
9,-1017,79,-890,206,-1067,29,-1086,10,-1029,67,-1071,25,-1039,57,-905,191,-1058,38,-1077,19,-1067,29,-978,118,-1043,53,-1079,17,-994,102,-1044,52,-784,312,-1081,15,-1066,30,-1003,93,-998,98,-1008,88,-1013,83
10,-1054,82,-926,210,-1106,30,-1126,10,-1064,72,-1109,27,-1074,62,-937,199,-1097,39,-1117,19,-1104,32,-1011,125,-1080,56,-1119,17,-1032,104,-1084,52,-812,324,-1121,15,-1102,34,-1040,96,-1036,100,-1045,91,-1052,84
11,-1090,86,-958,218,-1144,32,-1166,10,-1099,77,-1149,27,-1110,66,-968,208,-1137,39,-1157,19,-1143,33,-1049,127,-1120,56,-1158,18,-1066,110,-1124,52,-841,335,-1161,15,-1139,37,-1076,100,-1075,101,-1079,97,-1087,89
12,-1130,86,-991,225,-1184,32,-1206,10,-1137,79,-1188,28,-1147,69,-1004,212,-1177,39,-1197,19,-1182,34,-1083,133,-1158,58,-1197,19,-1105,111,-1162,54,-866,350,-1201,15,-1178,38,-1111,105,-1113,103,-1118,98,-1126,90
13,-1166,90,-1022,234,-1221,35,-1246,10,-1174,82,-1227,29,-1185,71,-1034,222,-1217,39,-1237,19,-1220,36,-1121,135,-1197,59,-1236,20,-1141,115,-1202,54,-895,361,-1241,15,-1216,40,-1150,106,-1151,105,-1154,102,-1165,91
14,-1203,93,-1057,239,-1259,37,-1286,10,-1213,83,-1267,29,-1224,72,-1064,232,-1257,39,-1277,19,-1259,37,-1158,138,-1236,60,-1276,20,-1177,119,-1240,56,-921,375,-1280,16,-1254,42,-1184,112,-1188,108,-1190,106,-1203,93
15,-1238,98,-1089,247,-1298,38,-1325,11,-1252,84,-1305,31,-1263,73,-1098,238,-1294,42,-1317,19,-1297,39,-1191,145,-1276,60,-1315,21,-1212,124,-1280,56,-952,384,-1320,16,-1293,43,-1219,117,-1226,110,-1227,109,-1240,96
16,-1277,99,-1120,256,-1337,39,-1365,11,-1288,88,-1345,31,-1298,78,-1130,246,-1333,43,-1357,19,-1336,40,-1226,150,-1314,62,-1355,21,-1250,126,-1318,58,-982,394,-1360,16,-1332,44,-1256,120,-1263,113,-1265,111,-1276,100
