,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-153,27,-105,15,-94,26,-98,22,-96,24,-98,22
1,-204,36,-105,15,-94,26,-98,22,-96,24,-98,22
2,-255,45,-105,15,-94,26,-98,22,-96,24,-98,22
3,-305,55,-105,15,-94,26,-98,22,-96,24,-98,22
4,-350,70,-105,15,-94,26,-98,22,-96,24,-98,22
5,-401,79,-105,15,-94,26,-98,22,-96,24,-98,22
6,-451,89,-105,15,-94,26,-98,22,-96,24,-98,22
7,-502,98,-105,15,-94,26,-98,22,-96,24,-98,22
8,-548,112,-105,15,-94,26,-98,22,-96,24,-98,22
9,-595,125,-105,15,-94,26,-98,22,-96,24,-98,22
10,-639,141,-105,15,-94,26,-98,22,-96,24,-98,22
11,-687,153,-105,15,-94,26,-98,22,-96,24,-98,22
12,-736,164,-105,15,-94,26,-98,22,-96,24,-98,22
13,-783,177,-105,15,-94,26,-98,22,-96,24,-98,22
14,-833,187,-105,15,-94,26,-98,22,-96,24,-98,22
15,-885,195,-105,15,-94,26,-98,22,-96,24,-98,22
16,-935,205,-105,15,-94,26,-98,22,-96,24,-98,22
17,-983,217,-105,15,-94,26,-98,22,-96,24,-98,22
18,-1031,229,-105,15,-94,26,-98,22,-96,24,-98,22
19,-1083,237,-105,15,-94,26,-98,22,-96,24,-98,22
20,-1137,243,-105,15,-94,26,-98,22,-96,24,-98,22
21,-1186,254,-105,15,-94,26,-98,22,-96,24,-98,22
22,-1236,264,-105,15,-94,26,-98,22,-96,24,-98,22
23,-1288,272,-105,15,-94,26,-98,22,-96,24,-98,22
24,-1339,281,-105,15,-94,26,-98,22,-96,24,-98,22
25,-1390,290,-105,15,-94,26,-98,22,-96,24,-98,22
26,-1442,298,-105,15,-94,26,-98,22,-96,24,-98,22
27,-1493,307,-105,15,-94,26,-98,22,-96,24,-98,22
28,-1541,319,-105,15,-94,26,-98,22,-96,24,-98,22
29,-1591,329,-105,15,-94,26,-98,22,-96,24,-98,22
30,-1641,339,-105,15,-94,26,-98,22,-96,24,-98,22
31,-1688,352,-105,15,-94,26,-98,22,-96,24,-98,22
32,-1734,366,-105,15,-94,26,-98,22,-96,24,-98,22
33,-1768,379,-116,17,-94,26,-98,22,-96,24,-98,22
34,-1771,380,-160,29,-94,26,-98,22,-96,24,-98,22
35,-1776,380,-207,37,-94,26,-98,22,-96,24,-98,22
36,-1782,380,-255,43,-94,26,-98,22,-96,24,-98,22
37,-1782,380,-304,54,-94,26,-98,22,-96,24,-98,22
38,-1782,380,-359,59,-94,26,-98,22,-96,24,-98,22
39,-1782,380,-405,73,-94,26,-98,22,-96,24,-98,22
40,-1782,380,-450,88,-94,26,-98,22,-96,24,-98,22
41,-1782,380,-502,96,-94,26,-98,22,-96,24,-98,22
42,-1782,380,-554,104,-94,26,-98,22,-96,24,-98,22
43,-1782,380,-604,114,-94,26,-98,22,-96,24,-98,22
44,-1782,380,-658,120,-94,26,-98,22,-96,24,-98,22
45,-1782,380,-713,125,-94,26,-98,22,-96,24,-98,22
46,-1782,380,-758,140,-94,26,-98,22,-96,24,-98,22
47,-1782,380,-807,151,-94,26,-98,22,-96,24,-98,22
48,-1782,380,-859,159,-94,26,-98,22,-96,24,-98,22
49,-1782,380,-912,166,-94,26,-98,22,-96,24,-98,22
50,-1782,380,-966,172,-94,26,-98,22,-96,24,-98,22
51,-1782,380,-1013,185,-94,26,-98,22,-96,24,-98,22
52,-1782,380,-1065,193,-94,26,-98,22,-96,24,-98,22
53,-1782,380,-1118,200,-94,26,-98,22,-96,24,-98,22
54,-1782,380,-1165,213,-94,26,-98,22,-96,24,-98,22
55,-1782,380,-1218,220,-94,26,-98,22,-96,24,-98,22
56,-1782,380,-1263,235,-94,26,-98,22,-96,24,-98,22
57,-1782,380,-1317,241,-94,26,-98,22,-96,24,-98,22
58,-1782,380,-1372,246,-94,26,-98,22,-96,24,-98,22
59,-1782,380,-1423,255,-94,26,-98,22,-96,24,-98,22
60,-1782,380,-1473,265,-94,26,-98,22,-96,24,-98,22
61,-1782,380,-1522,276,-94,26,-98,22,-96,24,-98,22
62,-1782,380,-1578,280,-94,26,-98,22,-96,24,-98,22
63,-1782,380,-1627,291,-94,26,-98,22,-96,24,-98,22
64,-1782,380,-1679,299,-94,26,-98,22,-96,24,-98,22
65,-1782,380,-1725,313,-94,26,-98,22,-96,24,-98,22
66,-1782,380,-1777,321,-94,26,-98,22,-96,24,-98,22
67,-1782,380,-1820,327,-103,28,-98,22,-96,24,-98,22
68,-1782,380,-1824,327,-152,35,-98,22,-96,24,-98,22
69,-1782,380,-1829,327,-198,44,-98,22,-96,24,-98,22
70,-1782,380,-1833,329,-244,52,-98,22,-96,24,-98,22
71,-1782,380,-1833,329,-296,60,-98,22,-96,24,-98,22
72,-1782,380,-1833,329,-351,65,-98,22,-96,24,-98,22
73,-1782,380,-1833,329,-402,74,-98,22,-96,24,-98,22
74,-1782,380,-1833,329,-457,79,-98,22,-96,24,-98,22
75,-1782,380,-1833,329,-509,87,-98,22,-96,24,-98,22
76,-1782,380,-1833,329,-558,98,-98,22,-96,24,-98,22
77,-1782,380,-1833,329,-605,111,-98,22,-96,24,-98,22
78,-1782,380,-1833,329,-657,119,-98,22,-96,24,-98,22
79,-1782,380,-1833,329,-708,128,-98,22,-96,24,-98,22
