,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-148,32,-104,16,-99,21,-101,19,-89,31,-98,22
1,-199,41,-104,16,-99,21,-101,19,-89,31,-98,22
2,-252,48,-104,16,-99,21,-101,19,-89,31,-98,22
3,-297,63,-104,16,-99,21,-101,19,-89,31,-98,22
4,-351,69,-104,16,-99,21,-101,19,-89,31,-98,22
5,-399,81,-104,16,-99,21,-101,19,-89,31,-98,22
6,-447,93,-104,16,-99,21,-101,19,-89,31,-98,22
7,-495,105,-104,16,-99,21,-101,19,-89,31,-98,22
8,-553,107,-104,16,-99,21,-101,19,-89,31,-98,22
9,-601,119,-104,16,-99,21,-101,19,-89,31,-98,22
10,-650,130,-104,16,-99,21,-101,19,-89,31,-98,22
11,-697,143,-104,16,-99,21,-101,19,-89,31,-98,22
12,-740,160,-104,16,-99,21,-101,19,-89,31,-98,22
13,-794,166,-104,16,-99,21,-101,19,-89,31,-98,22
14,-840,180,-104,16,-99,21,-101,19,-89,31,-98,22
15,-893,187,-104,16,-99,21,-101,19,-89,31,-98,22
16,-938,202,-104,16,-99,21,-101,19,-89,31,-98,22
17,-987,213,-104,16,-99,21,-101,19,-89,31,-98,22
18,-1038,222,-104,16,-99,21,-101,19,-89,31,-98,22
19,-1089,231,-104,16,-99,21,-101,19,-89,31,-98,22
20,-1140,240,-104,16,-99,21,-101,19,-89,31,-98,22
21,-1189,251,-104,16,-99,21,-101,19,-89,31,-98,22
22,-1234,266,-104,16,-99,21,-101,19,-89,31,-98,22
23,-1284,276,-104,16,-99,21,-101,19,-89,31,-98,22
24,-1332,288,-104,16,-99,21,-101,19,-89,31,-98,22
25,-1387,293,-104,16,-99,21,-101,19,-89,31,-98,22
26,-1429,311,-104,16,-99,21,-101,19,-89,31,-98,22
27,-1477,323,-104,16,-99,21,-101,19,-89,31,-98,22
28,-1532,328,-104,16,-99,21,-101,19,-89,31,-98,22
29,-1584,336,-104,16,-99,21,-101,19,-89,31,-98,22
30,-1630,350,-104,16,-99,21,-101,19,-89,31,-98,22
31,-1677,363,-104,16,-99,21,-101,19,-89,31,-98,22
32,-1726,374,-104,16,-99,21,-101,19,-89,31,-98,22
33,-1765,383,-114,18,-99,21,-101,19,-89,31,-98,22
34,-1768,383,-160,29,-99,21,-101,19,-89,31,-98,22
35,-1770,383,-213,34,-99,21,-101,19,-89,31,-98,22
36,-1774,383,-261,42,-99,21,-101,19,-89,31,-98,22
37,-1782,383,-306,49,-99,21,-101,19,-89,31,-98,22
38,-1784,383,-353,60,-99,21,-101,19,-89,31,-98,22
39,-1784,383,-406,67,-99,21,-101,19,-89,31,-98,22
40,-1784,383,-461,72,-99,21,-101,19,-89,31,-98,22
41,-1784,383,-511,82,-99,21,-101,19,-89,31,-98,22
42,-1784,383,-565,88,-99,21,-101,19,-89,31,-98,22
43,-1784,383,-616,97,-99,21,-101,19,-89,31,-98,22
44,-1784,383,-664,109,-99,21,-101,19,-89,31,-98,22
45,-1784,383,-721,112,-99,21,-101,19,-89,31,-98,22
46,-1784,383,-772,121,-99,21,-101,19,-89,31,-98,22
47,-1784,383,-824,129,-99,21,-101,19,-89,31,-98,22
48,-1784,383,-877,136,-99,21,-101,19,-89,31,-98,22
49,-1784,383,-924,149,-99,21,-101,19,-89,31,-98,22
50,-1784,383,-974,159,-99,21,-101,19,-89,31,-98,22
51,-1784,383,-1028,165,-99,21,-101,19,-89,31,-98,22
52,-1784,383,-1078,175,-99,21,-101,19,-89,31,-98,22
53,-1784,383,-1128,185,-99,21,-101,19,-89,31,-98,22
54,-1784,383,-1177,196,-99,21,-101,19,-89,31,-98,22
55,-1784,383,-1224,209,-99,21,-101,19,-89,31,-98,22
56,-1784,383,-1274,219,-99,21,-101,19,-89,31,-98,22
57,-1784,383,-1326,227,-99,21,-101,19,-89,31,-98,22
58,-1784,383,-1377,236,-99,21,-101,19,-89,31,-98,22
59,-1784,383,-1426,247,-99,21,-101,19,-89,31,-98,22
60,-1784,383,-1478,255,-99,21,-101,19,-89,31,-98,22
61,-1784,383,-1531,262,-99,21,-101,19,-89,31,-98,22
62,-1784,383,-1580,273,-99,21,-101,19,-89,31,-98,22
63,-1784,383,-1622,291,-99,21,-101,19,-89,31,-98,22
64,-1784,383,-1673,300,-99,21,-101,19,-89,31,-98,22
65,-1784,383,-1719,314,-99,21,-101,19,-89,31,-98,22
66,-1784,383,-1774,319,-99,21,-101,19,-89,31,-98,22
67,-1784,383,-1818,330,-103,22,-101,19,-89,31,-98,22
68,-1784,383,-1821,330,-151,31,-101,19,-89,31,-98,22
69,-1784,383,-1823,330,-202,38,-101,19,-89,31,-98,22
70,-1784,383,-1825,332,-250,46,-101,19,-89,31,-98,22
71,-1784,383,-1833,332,-292,56,-101,19,-89,31,-98,22
72,-1784,383,-1835,332,-338,68,-101,19,-89,31,-98,22
73,-1784,383,-1835,332,-386,80,-101,19,-89,31,-98,22
74,-1784,383,-1835,332,-438,88,-101,19,-89,31,-98,22
75,-1784,383,-1835,332,-494,92,-101,19,-89,31,-98,22
76,-1784,383,-1835,332,-543,103,-101,19,-89,31,-98,22
77,-1784,383,-1835,332,-591,115,-101,19,-89,31,-98,22
78,-1784,383,-1835,332,-640,126,-101,19,-89,31,-98,22
79,-1784,383,-1835,332,-691,135,-101,19,-89,31,-98,22
