Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.39076234,0.39076234,0.39076234,0.39076234,0.39076234,0.39076234,0.39076234,0.39076234,0.39076234,0.391538756,0.392137434
0.405364184,0.394403471,0.487415478,0.404636971,0.389061095,0.396141417,0.403759671,0.398229,0.494835662,0.395814985,0.401597746
0.419917126,0.399021027,0.524190741,0.413551344,0.39124257,0.399686748,0.413450667,0.409366414,0.530851323,0.409392853,0.411907885
0.433422304,0.401500878,0.542954725,0.421825707,0.392783921,0.400054425,0.426475481,0.417271999,0.54953204,0.419224896,0.417767526
0.446150174,0.403266532,0.558601146,0.428890265,0.392710048,0.40313288,0.433957576,0.422330356,0.57032785,0.423012059,0.422423302
0.453955587,0.408414901,0.571193267,0.433671885,0.394597639,0.405316624,0.446053549,0.427358958,0.578579023,0.425956656,0.424932999
0.466819689,0.414386058,0.575012066,0.434812094,0.394376918,0.402350786,0.456954487,0.434329454,0.59069603,0.43281523,0.430667347
0.474571578,0.417884296,0.580616118,0.441421713,0.39478229,0.40321626,0.466256314,0.439785716,0.602042585,0.435198121,0.433219522
0.484107307,0.420275911,0.591249084,0.444194995,0.395359764,0.405019868,0.47248072,0.444211437,0.607785046,0.438553359,0.433694347
0.49072996,0.423991921,0.595299718,0.444209364,0.398512191,0.406298447,0.476943498,0.449837472,0.610354669,0.440776082,0.435067571
0.497107659,0.427370991,0.601690183,0.450678812,0.400092805,0.410551315,0.484896865,0.451842784,0.617424023,0.442776888,0.43872673
0.501904026,0.431204926,0.607794705,0.451836875,0.401309392,0.412684219,0.489174163,0.45546537,0.621235155,0.444147406,0.439534069
0.507395735,0.433908624,0.61122771,0.457299485,0.40271988,0.417065402,0.493495991,0.457628117,0.627128917,0.445199099,0.439740453
0.510732721,0.438551103,0.613317178,0.459762665,0.402159845,0.419809453,0.503091167,0.464613204,0.632178204,0.444955742,0.442195145
0.515710117,0.440458082,0.620789104,0.463768869,0.40340211,0.42370508,0.507315825,0.467443986,0.636549666,0.445775294,0.442800349
0.521797323,0.444944187,0.621116679,0.466958521,0.405919774,0.4265896,0.513706232,0.471009436,0.637250366,0.445438435,0.444514731
0.524899879,0.449643333,0.623845795,0.470887985,0.407883144,0.42791088,0.515504882,0.473836144,0.640235434,0.445844871,0.444791039
0.532987224,0.45396207,0.62729479,0.473221678,0.409419304,0.428690673,0.522167799,0.477622325,0.641165058,0.44576045,0.444666909
0.536993236,0.45866189,0.631013043,0.475982721,0.41197393,0.430907346,0.526199734,0.482469791,0.646318833,0.446284558,0.445559895
0.541723269,0.461081667,0.638322262,0.48015096,0.413712167,0.43228086,0.529449242,0.485417924,0.646205268,0.447233098,0.445695753
