Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
1.6259375,1.630625,1.624479167,1.6278125,1.6271875,1.6246875,1.623645833,1.629270833,1.630104167,1.600854701,1.604741379
1.6178125,1.6359375,1.601979167,1.611875,1.616354167,1.628229167,1.6196875,1.621041667,1.601145833,1.592948718,1.595402299
1.603229167,1.628125,1.585833333,1.6015625,1.599270833,1.624166667,1.60625,1.621041667,1.575729167,1.585683761,1.591522989
1.6003125,1.630833333,1.565625,1.588958333,1.585833333,1.625729167,1.592395833,1.61375,1.561354167,1.585470085,1.580172414
1.586979167,1.633229167,1.5440625,1.585,1.574791667,1.621770833,1.587708333,1.604583333,1.538854167,1.581303419,1.570689655
1.580729167,1.628125,1.532604167,1.576354167,1.5675,1.625208333,1.576770833,1.600208333,1.539375,1.57724359,1.564942529
1.5728125,1.62375,1.524583333,1.568854167,1.555520833,1.6246875,1.569375,1.601666667,1.523541667,1.572435897,1.560632184
1.5646875,1.624166667,1.516666667,1.556354167,1.548854167,1.623645833,1.5609375,1.5953125,1.508020833,1.566559829,1.559482759
1.5553125,1.620416667,1.5128125,1.558541667,1.540625,1.623229167,1.550208333,1.594791667,1.4984375,1.556410256,1.553304598
1.549479167,1.615833333,1.502708333,1.549479167,1.534583333,1.618958333,1.543333333,1.591354167,1.498854167,1.539850427,1.555603448
1.538541667,1.616666667,1.494270833,1.545208333,1.531770833,1.621875,1.536666667,1.5921875,1.496770833,1.536538462,1.548132184
1.5359375,1.617083333,1.4909375,1.5415625,1.52625,1.620208333,1.533958333,1.591041667,1.484166667,1.524358974,1.545977011
1.525833333,1.6159375,1.494895833,1.537291667,1.514479167,1.615625,1.5240625,1.586666667,1.480416667,1.516239316,1.541666667
1.5215625,1.614479167,1.487395833,1.5353125,1.504479167,1.612395833,1.520625,1.587395833,1.4778125,1.515598291,1.543821839
1.515833333,1.613125,1.4875,1.528645833,1.503020833,1.614270833,1.516354167,1.585208333,1.469479167,1.508119658,1.542528736
1.5153125,1.611979167,1.48375,1.523229167,1.498125,1.608854167,1.512708333,1.585520833,1.4675,1.509188034,1.537931034
