Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.284425604,0.284425604,0.284425604,0.284425604,0.284425604,0.284425604,0.284425604,0.284425604,0.284425604,0.280704488,0.284045945
0.301716464,0.291345761,0.443742587,0.300173905,0.280234685,0.29052118,0.301234518,0.292053724,0.463047397,0.287584233,0.297697255
0.32070377,0.301371293,0.504901171,0.309545936,0.283500921,0.29542622,0.31479683,0.305832358,0.519428506,0.309910545,0.312396206
0.339535747,0.307646204,0.53209609,0.315505698,0.284596877,0.297465019,0.332919635,0.315005265,0.550084683,0.322675617,0.321259694
0.356121454,0.312359501,0.553480444,0.32055779,0.284643769,0.301130983,0.342354133,0.322423262,0.582758563,0.327103404,0.32775811
0.369589264,0.321371024,0.569380134,0.325042384,0.287178637,0.304936061,0.361314645,0.329798637,0.594873379,0.330658434,0.331178236
0.384619533,0.331450593,0.580492339,0.324764073,0.286707396,0.303422433,0.37538076,0.340065697,0.614556856,0.336011876,0.339399375
0.398542958,0.339316416,0.588821022,0.330337755,0.287437633,0.306046886,0.388380871,0.346913094,0.630286859,0.335841461,0.343093291
0.411123967,0.345756905,0.599689739,0.333527976,0.287715672,0.310752822,0.397964035,0.354677507,0.640114429,0.337886981,0.345071824
0.422510743,0.350529597,0.60965278,0.334995155,0.290850021,0.311099244,0.40342731,0.360901294,0.644661887,0.339628565,0.347333168
0.431987662,0.356330854,0.616517395,0.342741389,0.29316691,0.317806166,0.41541721,0.36480335,0.649465796,0.342004135,0.350161745
0.439774384,0.361489403,0.620249198,0.344232803,0.294938033,0.323329992,0.421869615,0.370829757,0.654497548,0.341816747,0.352708254
0.445976231,0.366486393,0.624087994,0.351230038,0.297384852,0.328783113,0.428092183,0.375363488,0.658876894,0.343624973,0.353177102
0.451735325,0.373833449,0.630112311,0.354955174,0.296193948,0.33432233,0.440456318,0.383479838,0.664937302,0.343311293,0.355331277
0.458559066,0.377528245,0.635224935,0.360524839,0.297932768,0.339137058,0.446893509,0.388846031,0.671136154,0.344721877,0.357158207
0.468215151,0.384954161,0.639222125,0.365609564,0.301131099,0.343039284,0.457148305,0.393560366,0.673407801,0.344828696,0.358870345
0.473034546,0.392138373,0.641164957,0.370687815,0.303968265,0.345823995,0.46154742,0.396528458,0.674938088,0.34576409,0.359774123
0.483533743,0.398741896,0.646168169,0.37507035,0.304906604,0.347235916,0.471497644,0.402566231,0.678506076,0.346193711,0.360444391
0.490564419,0.405071049,0.652350915,0.380041783,0.308257397,0.353168291,0.475785258,0.40840025,0.682161515,0.346621439,0.361736469
0.496455979,0.407490198,0.662662047,0.385637418,0.310137517,0.355669185,0.481405076,0.412107713,0.682471151,0.347634867,0.362161873
0.502367665,0.412495963,0.66574591,0.390789483,0.311960717,0.35999117,0.485385396,0.416514503,0.684153632,0.348462859,0.363984336
0.506873174,0.418387774,0.670126419,0.394132951,0.31094472,0.364042857,0.491265016,0.419663275,0.688812671,0.348996415,0.364701975
0.513829005,0.422363697,0.672045108,0.400233961,0.314960758,0.368319944,0.496536146,0.422480669,0.692727317,0.350201075,0.365378904
0.514729669,0.428199906,0.682109216,0.407658698,0.316753055,0.369999807,0.502126331,0.42670265,0.692191693,0.3506536,0.366676881
0.518613453,0.432867559,0.685777618,0.415912331,0.317558864,0.37412125,0.508796715,0.43085366,0.691248911,0.351187669,0.366782775
0.523253502,0.437287998,0.690940423,0.421825334,0.322136594,0.376674674,0.511949644,0.434286403,0.692994501,0.351773617,0.367568419
