Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.136111111,0.136111111,0.136111111,0.136111111,0.136111111,0.136111111,0.136111111,0.136111111,0.136111111,0.136413818,0.136111111
0.133368056,0.135347222,0.117586806,0.133454861,0.136423611,0.134982639,0.133611111,0.134861111,0.11546875,0.135541311,0.13407567
0.130607639,0.134375,0.110052083,0.131736111,0.1359375,0.134079861,0.131354167,0.132743056,0.107864583,0.132603276,0.131920498
0.127899306,0.133836806,0.106302083,0.130225694,0.135677083,0.134131944,0.12859375,0.131197917,0.104097222,0.130698006,0.130579502
0.125225694,0.133298611,0.102847222,0.129079861,0.135503472,0.133420139,0.127013889,0.130225694,0.099548611,0.130039174,0.129645594
0.123645833,0.132274306,0.099913194,0.128177083,0.134930556,0.132847222,0.124461806,0.129079861,0.097552083,0.129362536,0.129094828
0.12125,0.131059028,0.099253472,0.128107639,0.135,0.133368056,0.122361111,0.127638889,0.095069444,0.127831197,0.127849617
0.119427083,0.130225694,0.09828125,0.127013889,0.134809028,0.133194444,0.120225694,0.126614583,0.092604167,0.127279202,0.127322797
0.117482639,0.1296875,0.095520833,0.126354167,0.134635417,0.132777778,0.119131944,0.125729167,0.091423611,0.126673789,0.127203065
0.116006944,0.128958333,0.094618056,0.126475694,0.134079861,0.132465278,0.118263889,0.124548611,0.091041667,0.126175214,0.126891762
0.114600694,0.128298611,0.093020833,0.125225694,0.133645833,0.131666667,0.116545139,0.124097222,0.088854167,0.125676638,0.12605364
0.113541667,0.127517361,0.091649306,0.125,0.133229167,0.131145833,0.115625,0.123506944,0.088159722,0.125551994,0.125933908
0.112378472,0.126857639,0.0909375,0.123993056,0.132951389,0.130190972,0.114722222,0.123020833,0.086805556,0.125267094,0.125838123
0.11171875,0.12578125,0.090625,0.123559028,0.133107639,0.129583333,0.112586806,0.121371528,0.085625,0.125409544,0.125335249
0.110625,0.125364583,0.088506944,0.122725694,0.132743056,0.128680556,0.111614583,0.120868056,0.084305556,0.125213675,0.125167625
0.109392361,0.124461806,0.088628472,0.122048611,0.132256944,0.128090278,0.110260417,0.120121528,0.084375,0.1252849,0.124784483
0.10859375,0.123472222,0.088003472,0.12125,0.131805556,0.127899306,0.109878472,0.119479167,0.083784722,0.125195869,0.12473659
0.106979167,0.122447917,0.087170139,0.120729167,0.131458333,0.127760417,0.108420139,0.118732639,0.083732639,0.125195869,0.124760536
0.105850694,0.121423611,0.086371528,0.120052083,0.1309375,0.127135417,0.107621528,0.11765625,0.0828125,0.125089031,0.124592912
0.1046875,0.120972222,0.084722222,0.119045139,0.130677083,0.126840278,0.106770833,0.117204861,0.082708333,0.124893162,0.124568966
0.10390625,0.120190972,0.084027778,0.118315972,0.130260417,0.12640625,0.106180556,0.116440972,0.082100694,0.124750712,0.123970307
0.103559028,0.119288194,0.082934028,0.118003472,0.130486111,0.125538194,0.105590278,0.116111111,0.081388889,0.124661681,0.12394636
0.102152778,0.118888889,0.082413194,0.117135417,0.129565972,0.12515625,0.104565972,0.115746528,0.080225694,0.124519231,0.123635057
0.102065972,0.118090278,0.081215278,0.115868056,0.129045139,0.124861111,0.103854167,0.114982639,0.080347222,0.124376781,0.123515326
0.101475694,0.117361111,0.080625,0.114670139,0.128819444,0.124131944,0.10296875,0.114583333,0.080798611,0.124341168,0.123347701
0.10078125,0.1165625,0.079201389,0.113871528,0.128125,0.123715278,0.102309028,0.11390625,0.079930556,0.12423433,0.123204023
0.099826389,0.11578125,0.078854167,0.11296875,0.127951389,0.122552083,0.10171875,0.113454861,0.079097222,0.124269943,0.122964559
0.098871528,0.115121528,0.078125,0.112135417,0.1275,0.121892361,0.100642361,0.113142361,0.078888889,0.124341168,0.122772989
0.097986111,0.114756944,0.077326389,0.111753472,0.127361111,0.121302083,0.099895833,0.1128125,0.07859375,0.124287749,0.122916667
0.09828125,0.114097222,0.077430556,0.110295139,0.126805556,0.120833333,0.099340278,0.111944444,0.0778125,0.124269943,0.122796935
0.097482639,0.114027778,0.077430556,0.10953125,0.126440972,0.120607639,0.098871528,0.111927083,0.077795139,0.124216524,0.122677203
0.096840278,0.113940972,0.076631944,0.108784722,0.126284722,0.120555556,0.098715278,0.111753472,0.0778125,0.124198718,0.122389847
0.096597222,0.113125,0.077135417,0.108454861,0.125364583,0.120503472,0.098177083,0.111579861,0.077239583,0.124180912,0.12210249
0.095642361,0.112690972,0.0765625,0.108663194,0.125295139,0.11953125,0.097621528,0.111232639,0.076736111,0.124145299,0.12217433
0.095052083,0.111614583,0.076527778,0.108333333,0.124861111,0.119496528,0.097361111,0.111006944,0.07625,0.124163105,0.121000958
0.094756944,0.111336806,0.076336806,0.107621528,0.124565972,0.119288194,0.096892361,0.110763889,0.076284722,0.124127493,0.117720307
0.094565972,0.110972222,0.076163194,0.106701389,0.124496528,0.118333333,0.096927083,0.110208333,0.076423611,0.124163105,0.116451149
0.094010417,0.110677083,0.075850694,0.106354167,0.124236111,0.117986111,0.096284722,0.1096875,0.076527778,0.124145299,0.115565134
0.093576389,0.110347222,0.076284722,0.105677083,0.123315972,0.117239583,0.095729167,0.109184028,0.076371528,0.12409188,0.11460728
0.093315972,0.110086806,0.076875,0.105295139,0.123090278,0.116736111,0.095555556,0.108663194,0.075815972,0.124074074,0.11408046
0.093211806,0.109895833,0.076684028,0.104791667,0.123125,0.116059028,0.095138889,0.1084375,0.076267361,0.12409188,0.113769157
0.092795139,0.109722222,0.076232639,0.104288194,0.12265625,0.115486111,0.094739583,0.108003472,0.076059028,0.124074074,0.11329023
0.092135417,0.108958333,0.076510417,0.103836806,0.122534722,0.114739583,0.09421875,0.108038194,0.076024306,0.124074074,0.113002874
0.091979167,0.108663194,0.076649306,0.102604167,0.122430556,0.114548611,0.093767361,0.107534722,0.076371528,0.124038462,0.11302682
0.09171875,0.108125,0.07640625,0.102135417,0.121909722,0.114461806,0.093368056,0.107777778,0.076232639,0.124038462,0.11302682
0.091267361,0.107638889,0.076961806,0.101597222,0.121180556,0.114114583,0.093229167,0.1075,0.075972222,0.124074074,0.112811303
0.091475694,0.107291667,0.076649306,0.100763889,0.120225694,0.113368056,0.092743056,0.107065972,0.07625,0.12409188,0.112476054
0.091111111,0.106336806,0.076875,0.100381944,0.119982639,0.112621528,0.092673611,0.106527778,0.076440972,0.124109687,0.112595785
0.091145833,0.106041667,0.076788194,0.100190972,0.119513889,0.112118056,0.092256944,0.106701389,0.076319444,0.124145299,0.112308429
0.090833333,0.105954861,0.076788194,0.099375,0.118541667,0.111666667,0.09203125,0.106354167,0.076215278,0.124127493,0.112452107
0.090729167,0.105347222,0.0765625,0.098628472,0.117951389,0.110989583,0.091631944,0.106128472,0.076319444,0.124109687,0.112380268
0.090295139,0.104895833,0.076423611,0.09828125,0.117048611,0.110815972,0.091163194,0.105711806,0.076701389,0.124127493,0.112116858
