Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.385194954,0.385194954,0.385194954,0.385194954,0.385194954,0.385194954,0.385194954,0.385194954,0.385194954,0.379328586,0.386527468
0.405738176,0.392465711,0.538302062,0.399315291,0.38279994,0.389280537,0.40425336,0.392631275,0.572422204,0.376318871,0.404049079
0.427397144,0.40384599,0.591867722,0.405777444,0.387808848,0.392750992,0.42016774,0.406967108,0.622371878,0.390000004,0.41990785
0.450578791,0.409832683,0.617388907,0.411328382,0.39129296,0.39482737,0.441319599,0.416666015,0.648198328,0.399094411,0.429305067
0.467803486,0.415428441,0.635348414,0.415343541,0.392039663,0.39914149,0.453902181,0.423067563,0.674080206,0.402546371,0.43548128
0.48165717,0.426765984,0.649640644,0.418223351,0.39628875,0.403504528,0.474260402,0.430195841,0.683200578,0.40580358,0.438985756
0.498617012,0.439368201,0.655506853,0.418332474,0.396877135,0.400293813,0.490665619,0.440366177,0.696902215,0.411644232,0.445653768
0.51324356,0.44764404,0.661181894,0.42448968,0.397873656,0.401741952,0.504526743,0.448337709,0.708221541,0.413069139,0.448447525
0.526818974,0.454104402,0.671383546,0.427269368,0.399627666,0.404434856,0.514348663,0.455673716,0.71478965,0.415566922,0.449509722
0.53852002,0.460122919,0.677611086,0.429219834,0.405477664,0.405295435,0.519407972,0.461727109,0.717876661,0.417521654,0.45113595
0.548496872,0.465413257,0.684255349,0.436935748,0.40832751,0.413484424,0.531771434,0.465562747,0.723616921,0.418935152,0.454147869
0.555976263,0.472093061,0.688465024,0.439441994,0.410439317,0.417727153,0.538117303,0.471243707,0.726105558,0.419686691,0.455373717
0.564370188,0.477476839,0.692065079,0.44564007,0.412693237,0.423351322,0.543657689,0.475270877,0.730969243,0.420689747,0.455736579
0.569911694,0.485285299,0.695728727,0.449278857,0.411224988,0.428810101,0.556397222,0.484380596,0.735080138,0.420475058,0.457683819
0.577573947,0.488878742,0.702170183,0.454298296,0.412829399,0.434530626,0.56420827,0.488772832,0.739283778,0.421280929,0.458476428
0.587140945,0.496806068,0.703247006,0.460707012,0.416144051,0.439474884,0.574496407,0.493456956,0.740013996,0.421143464,0.459972927
0.591827771,0.503874027,0.706920938,0.465436037,0.420327637,0.441744106,0.577589943,0.496586274,0.742479022,0.421545856,0.460312243
0.601640058,0.511093953,0.711572061,0.469406467,0.422164403,0.443186478,0.587774156,0.50171459,0.744007575,0.421551462,0.46045713
0.607934023,0.517552675,0.717172236,0.473717436,0.426664517,0.44832331,0.592473163,0.507023698,0.748181747,0.421908377,0.461196126
0.613942716,0.52156889,0.725984241,0.477955138,0.429340244,0.450862342,0.597983014,0.510803596,0.748201198,0.422674134,0.461332611
0.619290635,0.527350242,0.728539389,0.483355574,0.432389093,0.454729198,0.601382347,0.515107202,0.750149941,0.423270639,0.463393734
0.623158957,0.534028626,0.732560006,0.486870317,0.431266895,0.461861215,0.606640543,0.517576855,0.753266595,0.423578498,0.463565002
0.630029575,0.537688999,0.7363079,0.492710309,0.436827442,0.465795323,0.612110103,0.520945886,0.756481456,0.424218317,0.464611319
0.630612126,0.543497334,0.746369662,0.501184354,0.439063602,0.467708234,0.616964269,0.524854822,0.756003223,0.42466668,0.465182614
0.633548303,0.547964423,0.749883706,0.511050893,0.440983959,0.471394704,0.623136457,0.528039646,0.754450976,0.424904846,0.465715179
0.637515576,0.552989853,0.754989078,0.516373296,0.446869172,0.474302611,0.626284578,0.531549794,0.757085225,0.425340654,0.466278007
0.644219528,0.557688907,0.758035594,0.523061836,0.447773006,0.48005497,0.630061438,0.534960843,0.758802555,0.425217947,0.467196197
0.649945244,0.5625937,0.76207759,0.530829795,0.450963906,0.484849868,0.636288595,0.537221179,0.759889237,0.424974146,0.467981732
0.654453852,0.565722263,0.764689911,0.534880698,0.451384202,0.488716924,0.642102151,0.538467149,0.762013764,0.425087188,0.467485272
0.654446109,0.568497027,0.762901136,0.543543348,0.455756028,0.493090108,0.644556609,0.544463518,0.763807783,0.425163144,0.467873461
0.658904897,0.569701412,0.764299802,0.54861346,0.457462966,0.495491117,0.647271182,0.544433668,0.763679953,0.4253918,0.468458067
0.662070666,0.571009003,0.765980947,0.554733813,0.459178767,0.496440331,0.650034514,0.546165578,0.763881114,0.42545401,0.469299673
0.663165018,0.575556744,0.764734782,0.557504852,0.46424458,0.497595092,0.6535631,0.547887357,0.765117587,0.425544052,0.470137974
0.668650165,0.578990279,0.766540171,0.557378335,0.465542646,0.503174804,0.656419462,0.549731166,0.765972674,0.425680258,0.470034231
0.671870613,0.584310932,0.76580219,0.559619734,0.467886707,0.504525479,0.658372772,0.551870705,0.766996657,0.425615019,0.479601748
0.67398951,0.586792384,0.766033558,0.565406731,0.469362499,0.506180752,0.661135909,0.554003392,0.76681516,0.425676284,0.49905213
0.675794173,0.588606796,0.766194293,0.569763835,0.469434646,0.510823359,0.662343631,0.556267378,0.766406751,0.42553817,0.506178209
0.678085105,0.590227663,0.767085572,0.573576119,0.472687311,0.513047563,0.665679587,0.559216106,0.765554022,0.425602904,0.510925032
0.680770684,0.592237126,0.764551295,0.57730335,0.478686767,0.518421292,0.668691225,0.562417199,0.765434436,0.425728511,0.515254878
0.681827778,0.593985064,0.762406889,0.581416174,0.480335344,0.521995498,0.669598266,0.564957702,0.767258978,0.425785272,0.517570222
0.682565791,0.595477345,0.763167344,0.586070926,0.480705788,0.525511169,0.671838386,0.566488583,0.765488672,0.425714432,0.519055944
0.685200979,0.596547946,0.764089863,0.589323372,0.483989458,0.530039714,0.674642317,0.569247131,0.765728054,0.42577291,0.521134252
0.687430858,0.600612749,0.763347289,0.593084396,0.48578853,0.535039924,0.677241789,0.569524655,0.765537047,0.4257639,0.522242511
0.687655727,0.603046741,0.762568533,0.600536567,0.486389469,0.537463202,0.679831144,0.572147757,0.764501548,0.425864781,0.522235803
0.688614448,0.605930086,0.763263201,0.604301387,0.48995046,0.539265763,0.682236597,0.571880053,0.764712306,0.425897612,0.522313476
0.691691139,0.608796277,0.761453067,0.608593173,0.495298338,0.541929094,0.683089941,0.573537839,0.765233236,0.425792334,0.523256306
0.691849405,0.611121042,0.762546204,0.614278403,0.501027972,0.545941308,0.685820268,0.575459051,0.763846785,0.42577036,0.524472528
0.693638857,0.61624319,0.761438603,0.618245702,0.503194803,0.550285568,0.686506333,0.577269891,0.763035995,0.425724044,0.524064014
0.69383413,0.618294344,0.761593856,0.619205854,0.505814833,0.553415801,0.687457843,0.577102938,0.763278316,0.425583184,0.525260083
0.695170314,0.619084386,0.761633053,0.625034926,0.511165118,0.556336709,0.688281753,0.578988382,0.763590066,0.425644479,0.52472448
0.696083732,0.62225689,0.76204387,0.630525317,0.515348398,0.561063123,0.690922094,0.580261621,0.762936819,0.425709525,0.525145281
0.697039373,0.623916207,0.762538824,0.632318235,0.520893228,0.562514714,0.693503198,0.58227238,0.76166625,0.425638049,0.526301493
0.699331744,0.624446409,0.762504231,0.635164899,0.52463933,0.565833706,0.69559468,0.580863721,0.761713407,0.42565559,0.526936197
