Query-core-cuda n,Query-core-cuda p,MASFo n,MASFo p
-106.97701149425286,23.022988505747126,-103.78205128205127,26.21794871794872
-115.19540229885057,24.804597701149422,-108.33760683760686,31.66239316239316
-123.56896551724138,26.43103448275862,-113.06837606837608,36.93162393162393
-131.82183908045977,28.17816091954023,-118.4017094017094,41.598290598290596
-140.0632183908046,29.936781609195403,-123.65811965811967,46.34188034188034
-148.16091954022988,31.839080459770113,-129.40598290598288,50.5940170940171
-156.38505747126436,33.61494252873563,-135.26495726495727,54.73504273504275
-164.54597701149424,35.45402298850575,-141.2991452991453,58.700854700854705
-172.72988505747128,37.270114942528735,-147.46153846153848,62.53846153846154
-180.93103448275863,39.06896551724138,-153.76923076923077,66.23076923076924
-188.99425287356325,41.00574712643679,-160.93162393162393,69.06837606837608
-197.15517241379314,42.8448275862069,-168.54273504273505,71.45726495726495
-205.39655172413794,44.60344827586207,-176.68803418803418,73.31196581196582
-213.71264367816093,46.28735632183909,-184.87606837606836,75.12393162393163
-221.96551724137933,48.0344827586207,-193.41880341880344,76.58119658119658
-230.03448275862073,49.965517241379324,-201.52991452991452,78.47008547008546
-238.05747126436782,51.94252873563219,-209.73931623931625,80.26068376068376
-246.2873563218391,53.71264367816092,-218.0,82.00000000000001
-254.5919540229885,55.40804597701149,-226.17094017094016,83.82905982905983
-262.68390804597703,57.31609195402299,-234.54700854700852,85.45299145299145
-270.94252873563215,59.05747126436781,-243.11965811965808,86.88034188034187
-279.0977011494253,60.9022988505747,-251.46153846153845,88.53846153846155
-287.3735632183908,62.626436781609186,-259.88034188034186,90.1196581196581
-295.58045977011494,64.41954022988504,-268.4700854700855,91.52991452991454
-303.7758620689655,66.22413793103448,-277.2435897435898,92.75641025641026
-311.97701149425285,68.02298850574711,-286.06837606837604,93.93162393162395
-320.132183908046,69.86781609195401,-294.79487179487177,95.20512820512819
-328.4022988505747,71.59770114942528,-303.55982905982904,96.44017094017094
-336.60344827586204,73.39655172413792,-312.3333333333333,97.66666666666667
-344.9655172413793,75.03448275862068,-321.2905982905983,98.70940170940169
-353.1666666666667,76.83333333333333,-330.4957264957265,99.5042735042735
-361.21264367816093,78.78735632183907,-339.4145299145299,100.58547008547009
-369.62643678160913,80.3735632183908,-348.54700854700855,101.45299145299144
-377.82183908045977,82.17816091954022,-357.6666666666667,102.33333333333333
-386.2298850574712,83.77011494252874,-366.8205128205129,103.17948717948718
-394.6149425287356,85.38505747126436,-375.94017094017096,104.05982905982906
-403.0172413793103,86.98275862068965,-385.0555555555555,104.94444444444444
-411.6206896551723,88.37931034482757,-394.2094017094017,105.79059829059828
-420.1206896551723,89.87931034482757,-403.3846153846155,106.61538461538463
-428.5977011494253,91.40229885057471,-412.5982905982906,107.40170940170941
-435.6896551724137,92.58620689655173,-421.63675213675214,108.36324786324786
-442.83908045977006,93.71264367816093,-431.0042735042735,108.9957264957265
-449.8965517241379,94.93103448275862,-440.3888888888889,109.6111111111111
-456.9827586206896,96.12068965517243,-449.78205128205127,110.21794871794873
-464.0459770114942,97.33333333333333,-459.11111111111114,110.8888888888889
-471.1781609195402,98.47701149425289,-468.5213675213675,111.47863247863246
-478.1896551724137,99.74137931034483,-477.9743589743589,112.02564102564101
-485.1666666666666,101.04022988505749,-487.3760683760684,112.62393162393163
-492.2298850574712,102.25287356321839,-496.6538461538462,113.34615384615385
-499.3448275862068,103.4137931034483,-506.13675213675214,113.86324786324786
-506.2126436781609,104.82183908045978,-515.6794871794872,114.32051282051282
-513.3218390804598,105.98850574712645,-525.2991452991454,114.70085470085469
-520.2873563218391,107.29885057471266,-534.9444444444445,115.05555555555556
-527.3218390804597,108.54022988505746,-544.5811965811967,115.41880341880342
-534.3448275862069,109.79310344827587,-554.0683760683761,115.93162393162395
-541.3620689655172,111.05172413793105,-563.6410256410256,116.35897435897436
-548.316091954023,112.37356321839081,-573.3376068376068,116.66239316239317
-555.4597701149424,113.50574712643679,-582.9615384615386,117.03846153846153
-562.4367816091954,114.80459770114943,-592.3547008547009,117.64529914529913
-569.3793103448276,116.13793103448278,-601.6623931623932,118.33760683760683
-576.2931034482758,117.50000000000001,-610.7350427350428,119.26495726495726
-583.3390804597701,118.72988505747128,-619.7179487179487,120.28205128205128
-590.4252873563217,119.91954022988506,-628.3803418803419,121.6196581196581
-597.3850574712643,121.23563218390804,-636.6367521367521,123.36324786324786
-604.4597701149424,122.4367816091954,-644.7735042735043,125.22649572649571
-611.3793103448276,123.79310344827587,-652.3418803418804,127.65811965811965
-618.4137931034483,125.03448275862071,-658.6452991452992,131.35470085470087
-625.3620689655172,126.36206896551727,-664.5555555555555,135.44444444444443
-632.3620689655172,127.63793103448278,-669.6367521367521,140.36324786324786
-639.4367816091954,128.83908045977012,-675.0470085470084,144.95299145299145
-646.390804597701,130.1609195402299,-680.5940170940171,149.4059829059829
-653.2988505747127,131.52873563218392,-686.1025641025641,153.89743589743588
-660.1609195402299,132.94252873563218,-692.0,157.99999999999997
-667.0977011494252,134.2816091954023,-698.0811965811964,161.9188034188034
-674.0977011494252,135.55747126436782,-705.440170940171,164.55982905982907
-680.9942528735631,136.93678160919538,-713.3119658119657,166.68803418803418
-687.919540229885,138.28735632183907,-721.6752136752137,168.32478632478632
-694.7183908045977,139.76436781609195,-730.1495726495727,169.85042735042734
-701.5977011494252,141.16091954022988,-738.7606837606837,171.23931623931625
-708.4367816091955,142.5977011494253,-747.3418803418804,172.65811965811966
