,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-178,82,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
1,-279,121,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
2,-365,175,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
3,-460,220,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
4,-561,259,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
5,-657,303,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
6,-754,346,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
7,-848,392,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
8,-940,440,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
9,-1039,481,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
10,-1119,541,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
11,-1215,585,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
12,-1304,636,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
13,-1413,667,-70,50,-71,49,-78,42,-81,39,-86,34,-97,23,-90,30,-109,11,-106,14,-103,17,-37,83,-38,82,-118,2
