Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.343242928,0.343242928,0.343242928,0.343242928,0.343242928,0.343242928,0.343242928,0.343242928,0.343242928,0.341062206,0.34051657
0.345038515,0.344139944,0.351012891,0.343871909,0.343803035,0.344972205,0.34378458,0.34319839,0.35151297,0.340487898,0.34548031
0.346368142,0.344165186,0.35431259,0.344546648,0.345190306,0.346044744,0.34562661,0.343666786,0.357221542,0.340475352,0.348127941
0.347493525,0.344460384,0.35668592,0.345782117,0.346431761,0.348037399,0.347083352,0.343763468,0.361475478,0.340507,0.348997482
0.34862538,0.344613722,0.359516212,0.346837549,0.34751187,0.350431175,0.34822142,0.343571233,0.363282259,0.340492263,0.349746144
0.350023173,0.344545309,0.361044541,0.347223849,0.348493063,0.351316903,0.349229566,0.344431394,0.365145929,0.340502916,0.350123223
0.351311984,0.344722122,0.362164573,0.348270348,0.348868664,0.352295586,0.350610267,0.344464012,0.36678161,0.340494473,0.350941417
0.352087083,0.344711994,0.364378729,0.348981903,0.349498858,0.354284055,0.352054109,0.345462543,0.368859166,0.34051097,0.350737655
0.352516302,0.344840396,0.364819715,0.349055523,0.350347268,0.355101475,0.352464888,0.345444258,0.368671801,0.340520637,0.351125636
0.35330806,0.344656091,0.3658864,0.349870867,0.35037316,0.356571981,0.354174159,0.346210877,0.370267751,0.34053466,0.351250582
0.354200243,0.344320044,0.366429927,0.350952744,0.350858775,0.356764879,0.354596256,0.34654984,0.370963518,0.340552634,0.35161002
0.354422098,0.344494859,0.368298531,0.351826688,0.352246282,0.35762411,0.355417358,0.346764311,0.372422917,0.340588833,0.351974757
0.356295122,0.344199176,0.370065403,0.35208866,0.352055034,0.35854713,0.356544391,0.347266009,0.373185629,0.340597844,0.351589806
0.357097172,0.34474729,0.371259476,0.353101663,0.352662594,0.359152644,0.356971467,0.347883846,0.37425148,0.34060339,0.35134709
0.357529523,0.345158489,0.371549866,0.353025243,0.353639157,0.359467645,0.357365301,0.347907359,0.374582254,0.340619691,0.351545729
0.357658533,0.345909194,0.37246544,0.353741591,0.353883072,0.359759398,0.358200334,0.348711042,0.375718199,0.340622283,0.352964912
0.357958259,0.34685876,0.373315035,0.354596408,0.354145453,0.360525316,0.358748485,0.34868109,0.376680322,0.340609752,0.354680159
0.35882822,0.347199332,0.37403954,0.356342534,0.354221011,0.361388133,0.359582018,0.348872782,0.377176009,0.340605762,0.354864904
0.359734811,0.347748537,0.374257963,0.356526809,0.354935257,0.361779309,0.360647526,0.349391009,0.377211127,0.340588096,0.355212041
0.359431533,0.348186854,0.374373407,0.356676014,0.355147313,0.361932859,0.360839467,0.350530641,0.377954385,0.340585389,0.356513959
0.359803672,0.348906816,0.37499978,0.357172512,0.355484699,0.36286209,0.361356677,0.350423787,0.378830836,0.340592178,0.356220863
0.360562205,0.34973692,0.375700007,0.357650923,0.355923381,0.363027394,0.361876071,0.350650282,0.379059611,0.340585675,0.356613083
0.361137515,0.350184656,0.376535655,0.35776027,0.356557066,0.36354154,0.362213599,0.350300346,0.379753223,0.340580373,0.357233365
0.361228429,0.350960618,0.377700696,0.357610943,0.357070565,0.364144968,0.362758519,0.350524875,0.380249023,0.340565624,0.35718088
0.361984989,0.351485331,0.378419628,0.357827009,0.356542122,0.365001687,0.362764289,0.351028302,0.381254648,0.340566702,0.357345611
0.36182657,0.351890059,0.379820674,0.358287482,0.357224709,0.365767427,0.363222659,0.351002221,0.38041961,0.340557311,0.357358832
0.362507776,0.352380052,0.380548462,0.358916937,0.357853406,0.365775849,0.363598305,0.351033168,0.381955334,0.340536477,0.357176879
0.363503123,0.353601354,0.381461762,0.358686379,0.35846393,0.365986917,0.363774032,0.351237128,0.382798117,0.340537817,0.357643551
0.363841544,0.353606386,0.381157022,0.359041937,0.358271159,0.366812279,0.364257463,0.35166318,0.382299143,0.340532343,0.357486354
0.363939681,0.354278747,0.382129443,0.359958543,0.358358856,0.367479937,0.364868912,0.35195094,0.383281557,0.340528693,0.357558314
0.364119535,0.354868477,0.382676886,0.360511236,0.358897219,0.366911023,0.365228517,0.352097117,0.383483752,0.34197405,0.358077158
0.364055778,0.355103407,0.382938121,0.360140158,0.359323511,0.367482114,0.365823513,0.352812534,0.384457456,0.343380381,0.358256296
0.364963835,0.355497898,0.383509435,0.360460418,0.358895101,0.367982939,0.366364811,0.352840964,0.384754641,0.344240907,0.35813557
0.365105472,0.35616501,0.383936817,0.360519408,0.359306299,0.368158665,0.366613972,0.353167203,0.385565538,0.344589395,0.358528134
0.364969659,0.357320465,0.384694235,0.361097023,0.359039484,0.3682014,0.366112379,0.353862038,0.386050894,0.34517588,0.358582247
0.366011937,0.357568446,0.384580904,0.361505504,0.359676137,0.368666559,0.36688678,0.354275843,0.386682314,0.34534168,0.358731125
0.366023559,0.358766684,0.385949117,0.362288551,0.359895083,0.369150739,0.367663266,0.353617015,0.386678275,0.345676004,0.358939493
0.366342143,0.358898624,0.385674943,0.362507099,0.359891955,0.369587005,0.367799634,0.354228137,0.387056208,0.345797481,0.359083624
0.367310928,0.359278882,0.38616045,0.362767707,0.360511095,0.3701978,0.367876946,0.35447707,0.387138794,0.345921838,0.359405509
0.367697139,0.359928586,0.386535246,0.362518162,0.360734691,0.370969069,0.368035871,0.354849191,0.387062651,0.346217652,0.359724456
0.367712268,0.360475537,0.386503315,0.362919973,0.361113113,0.370844326,0.36857358,0.354551277,0.387153954,0.346342384,0.35969189
0.367967303,0.361012385,0.387009854,0.363533155,0.361924923,0.371679073,0.368643794,0.354886361,0.387121554,0.346446296,0.359855527
0.368053703,0.361382211,0.387356072,0.363572761,0.362149533,0.371765941,0.369876431,0.355404253,0.387290665,0.346491794,0.360000733
0.368622121,0.361918424,0.387773096,0.364178967,0.362029079,0.372352646,0.369955304,0.35579607,0.387850817,0.34650477,0.360089771
0.369004967,0.362186309,0.388072935,0.36454565,0.362327254,0.372805886,0.370500199,0.356015207,0.38847846,0.346481421,0.360142854
0.369014658,0.363508006,0.388173989,0.365146489,0.362445164,0.373152769,0.37072502,0.356605068,0.388426414,0.348094822,0.360699194
0.369213646,0.363812723,0.388634733,0.365275125,0.362518923,0.373020842,0.370818502,0.356925051,0.388592181,0.349136189,0.360925825
0.369654456,0.364558987,0.388739053,0.365354142,0.362670172,0.373139836,0.371212821,0.357205959,0.388876585,0.35015812,0.361179724
0.370658243,0.365459666,0.388975746,0.365607795,0.363035765,0.373688565,0.3716172,0.357226132,0.388657843,0.350722969,0.360860425
0.370758651,0.365487581,0.389058742,0.365645029,0.363199654,0.374182727,0.372219631,0.357264381,0.389237047,0.35155622,0.361116476
0.3713199,0.366125246,0.389972886,0.366181272,0.362985026,0.37451896,0.372335237,0.357581873,0.389266013,0.351300796,0.36119623
0.371010772,0.366565204,0.390044674,0.365588641,0.362586786,0.375491996,0.372779963,0.357546308,0.389185778,0.351677379,0.361201482
0.371321395,0.367210936,0.390179408,0.366197708,0.363162368,0.37609921,0.373038957,0.357928375,0.390025189,0.351702206,0.361059352
0.371773162,0.367419097,0.390593122,0.366834119,0.36362549,0.376175461,0.373136318,0.357945074,0.390335571,0.35206112,0.361211559
0.371671049,0.367961446,0.391176695,0.366683088,0.363434408,0.376391472,0.373145055,0.357909993,0.390557398,0.352222275,0.361266623
0.371910178,0.368543991,0.3910622,0.367466658,0.364120645,0.376662324,0.373208034,0.358917248,0.39035241,0.352152232,0.361133352
0.372962174,0.369023303,0.39083418,0.367009497,0.364474044,0.376895034,0.373738589,0.358378943,0.390490368,0.352155248,0.360958206
0.372687352,0.369085364,0.390798127,0.367623196,0.36469117,0.377567112,0.374001366,0.358770064,0.390711957,0.352217204,0.361160215
0.372659367,0.36985712,0.391150175,0.36789954,0.364979595,0.377965144,0.37442203,0.358797776,0.39124586,0.352045891,0.360764352
0.373166292,0.370151032,0.391130449,0.368741662,0.364941337,0.377626972,0.374149309,0.359338124,0.391443599,0.353177313,0.360876544
0.373017922,0.370077454,0.391264946,0.368935493,0.365329597,0.377811497,0.374311862,0.359905406,0.391630515,0.355707366,0.361175722
0.37332749,0.370526806,0.391336999,0.369547428,0.365190705,0.378262232,0.374387025,0.359883568,0.391736673,0.356765109,0.361352991
0.373331146,0.371015227,0.39159617,0.369833446,0.365590395,0.378409176,0.37481599,0.360009815,0.392001855,0.35749338,0.361392142
0.37362786,0.371222805,0.391632097,0.370020635,0.36534,0.379070158,0.375097961,0.360356154,0.39219198,0.357553656,0.36144755
0.374060231,0.371256686,0.39165443,0.370094765,0.365543547,0.379603474,0.375189111,0.361097275,0.392558189,0.357579034,0.361679031
0.374080323,0.371344017,0.392057172,0.370061428,0.366048043,0.380373584,0.37558292,0.360871044,0.39244606,0.357723876,0.361909588
0.373774933,0.372095212,0.392190365,0.370368859,0.366304653,0.380684635,0.375730782,0.360805531,0.392719725,0.357863286,0.36209713
0.374036959,0.371814711,0.392162435,0.370535777,0.366470043,0.380756716,0.376040176,0.361498212,0.39284656,0.358018733,0.361916801
0.373834021,0.372148413,0.392137903,0.370515128,0.366744799,0.380887933,0.376710234,0.361601235,0.392905636,0.357918276,0.362226231
0.374107442,0.372786195,0.392713722,0.371262557,0.36701635,0.380477737,0.376917979,0.362204277,0.392955525,0.357956663,0.361920492
0.374521029,0.373192658,0.3928365,0.371251487,0.367120724,0.381019914,0.377468684,0.362047882,0.392688444,0.358172066,0.361929257
0.374803138,0.373160345,0.393010886,0.371961194,0.367284828,0.3811908,0.377524391,0.362323432,0.392902364,0.358020312,0.361981868
0.375115827,0.374332146,0.392964142,0.372073132,0.3676126,0.381847663,0.37764326,0.362613065,0.39284201,0.358088952,0.362027041
0.374941932,0.374848407,0.393215634,0.37240656,0.367727027,0.381528967,0.377976456,0.363325703,0.392822528,0.358155464,0.362017831
0.375066755,0.375108618,0.393334935,0.372835668,0.368303305,0.381670137,0.378407257,0.363164453,0.392872271,0.360938064,0.36245764
0.375286809,0.375653028,0.393622911,0.373146485,0.369275733,0.382246001,0.378404735,0.362899047,0.393041069,0.362694782,0.362403069
0.375970382,0.375792263,0.393495041,0.372923371,0.36863071,0.382410785,0.378681899,0.363006314,0.393212258,0.364287884,0.362743163
0.376205533,0.376228763,0.393453412,0.372415973,0.369258372,0.38294477,0.378647458,0.363907653,0.393330687,0.364721039,0.36274714
0.376151846,0.376394982,0.393298164,0.372735879,0.369625228,0.382798441,0.379321313,0.363566689,0.39326431,0.36522686,0.362782891
0.376417326,0.376770547,0.393168161,0.373299438,0.36948699,0.38340391,0.378988307,0.363895462,0.393251355,0.365443346,0.362783258
0.37613359,0.377247123,0.393331779,0.373551163,0.369969206,0.383527272,0.379012186,0.36401927,0.393128405,0.365638361,0.362997287
0.376137483,0.37785032,0.393420857,0.373665255,0.370427714,0.38380589,0.379462243,0.363805045,0.393240204,0.365862192,0.363113556
0.376125003,0.377877416,0.393326053,0.374427775,0.370287823,0.383926719,0.379314801,0.363687184,0.393030255,0.366045197,0.363310244
0.376599531,0.377968579,0.39370243,0.374493858,0.370605412,0.384029652,0.380010811,0.363940415,0.393252673,0.365976998,0.363052674
0.376759769,0.378546071,0.393705662,0.37453094,0.370621688,0.383838569,0.380495529,0.364239246,0.393350324,0.365996651,0.363442005
0.376368058,0.378775275,0.393987427,0.374989874,0.370869046,0.384287462,0.38118748,0.364285956,0.393160574,0.365991776,0.363111542
0.376624178,0.379406718,0.394005599,0.375009579,0.37088888,0.384499766,0.381125029,0.364380895,0.393546962,0.36611006,0.363182868
0.377510506,0.37937675,0.393722056,0.375226515,0.37120136,0.384855414,0.380953373,0.364590306,0.393614894,0.366171445,0.363048875
0.377902737,0.379974572,0.393810954,0.375339867,0.371593291,0.385120464,0.381311197,0.364886988,0.393701776,0.366123472,0.363048875
0.378212046,0.379991494,0.393935295,0.375335875,0.371825542,0.385025696,0.382152978,0.365129553,0.393811015,0.370792926,0.363138209
0.37835405,0.380030309,0.393881607,0.376320162,0.372364616,0.385429491,0.382171138,0.365474259,0.393722862,0.372972305,0.363138209
0.378406556,0.380477441,0.393934407,0.37620635,0.372650643,0.385469435,0.382467287,0.365415071,0.393743779,0.373946469,0.363336812
0.378257713,0.380371461,0.394200328,0.376303732,0.37299081,0.385614984,0.382270853,0.365432458,0.393642675,0.374281011,0.363426146
0.378310963,0.380591963,0.39414233,0.376480534,0.372712977,0.385836382,0.382598696,0.365479662,0.393806925,0.374648537,0.363426146
0.378575378,0.380926484,0.394116085,0.376787777,0.373442553,0.385912581,0.38289892,0.36588171,0.393817233,0.374732068,0.363705737
0.378772245,0.381117647,0.393967728,0.376624287,0.373560494,0.386404685,0.383289273,0.366061788,0.393854736,0.374690309,0.363629983
0.378797532,0.381285652,0.393908982,0.376260804,0.373734435,0.386649808,0.383049082,0.366148437,0.393881841,0.374935497,0.363474866
0.379326617,0.381248972,0.393760555,0.376830635,0.374084641,0.387126912,0.383448903,0.366083624,0.394023166,0.374859289,0.36355091
0.379567871,0.381685339,0.393795159,0.376933888,0.374218726,0.387626134,0.383477592,0.366232162,0.393868165,0.375039349,0.363638583
0.379827932,0.381911082,0.393856959,0.377589677,0.374494366,0.387770403,0.383530399,0.36646088,0.393965297,0.375173912,0.363636507
0.379492049,0.382274685,0.393916314,0.377531517,0.37514777,0.387946519,0.383687391,0.36684396,0.394382123,0.375237054,0.363636507
