Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
7.995539419,7.994294606,8.003215768,8.013485477,8.022302905,8.009854772,8.025622407,7.99533195,7.991701245,7.900829876,7.972869454
7.968983402,7.959439834,7.970435685,7.957157676,7.982572614,7.96120332,7.982987552,7.976244813,7.977385892,7.922703023,7.96137887
7.934128631,7.937448133,7.932053942,7.941390041,7.944502075,7.944294606,7.975622407,7.929771784,7.93526971,7.916775341,7.919246728
7.926970954,7.9343361,7.910788382,7.93246888,7.926556017,7.940248963,7.947614108,7.906016598,7.929979253,7.919324244,7.924672838
7.902178423,7.9343361,7.890975104,7.906016598,7.888900415,7.945954357,7.923547718,7.884128631,7.911929461,7.921221103,7.91062879
7.902904564,7.939419087,7.849377593,7.914522822,7.869190871,7.947302905,7.912966805,7.879771784,7.900311203,7.918375815,7.934248324
7.854253112,7.940145228,7.838589212,7.898547718,7.834751037,7.939522822,7.887344398,7.851763485,7.887759336,7.932009484,7.904883498
7.82219917,7.930809129,7.823236515,7.873858921,7.824688797,7.937551867,7.860165975,7.835684647,7.869605809,7.921813871,7.897542292
7.825103734,7.940871369,7.80840249,7.858298755,7.813381743,7.916182573,7.844190871,7.828112033,7.829045643,7.921932424,7.904883498
7.817323651,7.940456432,7.792427386,7.836307054,7.800103734,7.905809129,7.843360996,7.807572614,7.827489627,7.920569057,7.900095755
7.796991701,7.949896266,7.780186722,7.837863071,7.784232365,7.896991701,7.827489627,7.813381743,7.811929461,7.907883817,7.899138206
7.768879668,7.946058091,7.74253112,7.815975104,7.760788382,7.881742739,7.810684647,7.811929461,7.789522822,7.916656787,7.907436961
7.762136929,7.953838174,7.75560166,7.811307054,7.755082988,7.874896266,7.806846473,7.802282158,7.759232365,7.919205691,7.915097351
7.752074689,7.945435685,7.743049793,7.806950207,7.742427386,7.865560166,7.789211618,7.789834025,7.745643154,7.910314167,7.892435365
7.726037344,7.930912863,7.724170124,7.787759336,7.748443983,7.860684647,7.780186722,7.77873444,7.742012448,7.918790753,7.899776572
7.714834025,7.935373444,7.706639004,7.788174274,7.733713693,7.836099585,7.779460581,7.773651452,7.718879668,7.902133966,7.861474625
7.708921162,7.932780083,7.690145228,7.783921162,7.735580913,7.845954357,7.768672199,7.768257261,7.715456432,7.914167161,7.848707309
7.707987552,7.937344398,7.699896266,7.773443983,7.710477178,7.832365145,7.751244813,7.769917012,7.695539419,7.922703023,7.871688477
7.69813278,7.931639004,7.693983402,7.760062241,7.714419087,7.818568465,7.753941909,7.766390041,7.684854772,7.931238886,7.848388126
7.694294606,7.923755187,7.676556017,7.758609959,7.697925311,7.817842324,7.739419087,7.752593361,7.666182573,7.923473622,7.855729333
7.680290456,7.921887967,7.666804979,7.738070539,7.697821577,7.81120332,7.734543568,7.745435685,7.646576763,7.913040901,7.827002873
7.663692946,7.908298755,7.663070539,7.726556017,7.697925311,7.795954357,7.72966805,7.72593361,7.647406639,7.916301126,7.832748165
7.661618257,7.912966805,7.653008299,7.724585062,7.692012448,7.795020747,7.719605809,7.734128631,7.636825726,7.900829876,7.818384935
7.656846473,7.915975104,7.653526971,7.719813278,7.677074689,7.787136929,7.709647303,7.739937759,7.635062241,7.916123296,7.852218321
7.659543568,7.912448133,7.643568465,7.708817427,7.684751037,7.783921162,7.700414938,7.731120332,7.618153527,7.928630705,7.82668369
7.645643154,7.915248963,7.656431535,7.697614108,7.665975104,7.781016598,7.686721992,7.729875519,7.615871369,7.912863071,7.811362911
7.658817427,7.902593361,7.648858921,7.702489627,7.6593361,7.773340249,7.698755187,7.720539419,7.614107884,7.912922347,7.820938398
7.628008299,7.893153527,7.661514523,7.694190871,7.653215768,7.763692946,7.683713693,7.723340249,7.604253112,7.920272673,7.836897542
7.628630705,7.898029046,7.647406639,7.694294606,7.65840249,7.758713693,7.677074689,7.72593361,7.589522822,7.91138115,7.83338653
7.620643154,7.887240664,7.652489627,7.689419087,7.639522822,7.741286307,7.679460581,7.713900415,7.584854772,7.908535862,7.832748165
7.623651452,7.874688797,7.662344398,7.679045643,7.6343361,7.742634855,7.668049793,7.710995851,7.586618257,7.904979253,7.804021704
7.617946058,7.86753112,7.655394191,7.67313278,7.637033195,7.745643154,7.670020747,7.694190871,7.582365145,7.913159455,7.811043728
7.611618257,7.866390041,7.648340249,7.667842324,7.628319502,7.737448133,7.666390041,7.691493776,7.574585062,7.89235329,7.828598787
7.604149378,7.86379668,7.654875519,7.651659751,7.620746888,7.72219917,7.666804979,7.689522822,7.577904564,7.877593361,7.797638047
7.606846473,7.851659751,7.641286307,7.652489627,7.623962656,7.717842324,7.670746888,7.68060166,7.575311203,7.878245406,7.803383339
7.591078838,7.853423237,7.646576763,7.65093361,7.615248963,7.715248963,7.660788382,7.684751037,7.571680498,7.872614108,7.83115225
7.587448133,7.850726141,7.652282158,7.635373444,7.61939834,7.713589212,7.66120332,7.678941909,7.557883817,7.869887374,7.80019151
7.587033195,7.835995851,7.638174274,7.63620332,7.6093361,7.70653527,7.659439834,7.676659751,7.545643154,7.863307647,7.81678902
7.58879668,7.838485477,7.63879668,7.636099585,7.613900415,7.697717842,7.652697095,7.667012448,7.555082988,7.85429757,7.790616023
7.571784232,7.832780083,7.645850622,7.632987552,7.605082988,7.696369295,7.650622407,7.663692946,7.56120332,7.869531713,7.791573572
7.562966805,7.822614108,7.637344398,7.631327801,7.601141079,7.691390041,7.651970954,7.659854772,7.549585062,7.862833432,7.807851899
7.559854772,7.814004149,7.639419087,7.633713693,7.585788382,7.678941909,7.642323651,7.65466805,7.55280083,7.882750445,7.783274816
7.56026971,7.81120332,7.640456432,7.624896266,7.599273859,7.678526971,7.638692946,7.648858921,7.542738589,7.866686426,7.781359719
7.551452282,7.8093361,7.653319502,7.624585062,7.594709544,7.66473029,7.632780083,7.646991701,7.543983402,7.870183758,7.810724545
7.551141079,7.80186722,7.651037344,7.624273859,7.580809129,7.665560166,7.627074689,7.644605809,7.543153527,7.860462359,7.81678902
7.555082988,7.800311203,7.654149378,7.611514523,7.586618257,7.655912863,7.622614108,7.650829876,7.533609959,7.853586248,7.77816789
7.549377593,7.791390041,7.63973029,7.610165975,7.579979253,7.651244813,7.62593361,7.643049793,7.5343361,7.853052756,7.804021704
7.554875519,7.787551867,7.654460581,7.602074689,7.575518672,7.644813278,7.617946058,7.63879668,7.543879668,7.817486663,7.776891159
7.549481328,7.794605809,7.656327801,7.604875519,7.568672199,7.641908714,7.620539419,7.628941909,7.532365145,7.838114997,7.778806256
7.541286307,7.777697095,7.648340249,7.599896266,7.5656639,7.638174274,7.607261411,7.631224066,7.531742739,7.821517487,7.781998085
7.536410788,7.779564315,7.633713693,7.599688797,7.5656639,7.634439834,7.612240664,7.628008299,7.539315353,7.82406639,7.77369933
7.537863071,7.770020747,7.644294606,7.589419087,7.564107884,7.630809129,7.608713693,7.626659751,7.542634855,7.80616479,7.774337695
