Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.573027501,0.573027501,0.573027501,0.573027501,0.573027501,0.573027501,0.573027501,0.573027501,0.573027501,0.566167587,0.557141659
0.576938588,0.573876961,0.595570896,0.57363227,0.575553117,0.572210182,0.574841112,0.572181864,0.593792916,0.566902516,0.569448091
0.57867476,0.573723755,0.605255146,0.575055254,0.580635197,0.573760126,0.579214488,0.573801882,0.603810929,0.566936712,0.575726826
0.582984496,0.574026812,0.611761972,0.577092322,0.585107336,0.575876281,0.582903465,0.573746584,0.610329996,0.566895871,0.57795447
0.586091873,0.574165591,0.618002668,0.577845333,0.588494639,0.578580821,0.585652434,0.574319714,0.614826216,0.566849094,0.580090069
0.588932577,0.574070672,0.621748756,0.579851212,0.591906312,0.581247605,0.588419969,0.575224235,0.61767554,0.566784155,0.581828058
0.590986257,0.574202066,0.623077616,0.582603899,0.594052839,0.582175968,0.591445494,0.575706352,0.619709482,0.566696857,0.582420833
0.593376477,0.574147208,0.627971654,0.583292336,0.595097465,0.585259682,0.594907605,0.577793076,0.62263862,0.566538982,0.582729823
0.594201945,0.574003875,0.629734578,0.583246426,0.596371285,0.58660758,0.595694226,0.578363309,0.623838904,0.566286827,0.583777985
0.596702443,0.574112312,0.631586864,0.584689173,0.596858661,0.588844547,0.599036351,0.580041797,0.626584406,0.566114396,0.584329284
0.598195434,0.57356009,0.63260905,0.586416499,0.599284454,0.588812651,0.60074804,0.58132147,0.628316145,0.565995493,0.584815012
0.598847495,0.573817793,0.634769192,0.588042527,0.602111634,0.589764564,0.602139865,0.582384849,0.630295539,0.565940976,0.585671929
0.601696079,0.574632398,0.63731066,0.588738518,0.602620591,0.591334867,0.604174328,0.584331821,0.632262784,0.565902207,0.584935943
0.602811168,0.575889759,0.637685162,0.589577877,0.604047273,0.592757977,0.605598011,0.584931791,0.63422089,0.565815862,0.584437804
0.604218756,0.577002735,0.638724976,0.589796602,0.605849599,0.593414421,0.606906395,0.586218125,0.634394498,0.565695447,0.5847726
0.604217303,0.57945402,0.640014792,0.591961874,0.605753331,0.594147194,0.608671995,0.587131495,0.635720104,0.565557681,0.592557713
0.605132924,0.58283405,0.641057757,0.592110756,0.607299334,0.594969666,0.609992656,0.587159766,0.636807463,0.565534472,0.599667723
0.607252777,0.583584423,0.641675001,0.594086132,0.608465985,0.596561877,0.611346683,0.587304194,0.637472339,0.565392414,0.599142721
0.60961111,0.585430933,0.642250096,0.594891185,0.610171604,0.597143528,0.612961969,0.588619994,0.63695489,0.565344619,0.600234338
0.610107227,0.585913753,0.642441034,0.594310075,0.611871574,0.597077606,0.613519521,0.590607287,0.637889207,0.565390424,0.604667609
0.6107364,0.587523185,0.642239666,0.594709818,0.612319991,0.59800376,0.614635771,0.590238886,0.63830983,0.56544725,0.604488364
0.611330553,0.589250131,0.643138651,0.596282521,0.612488027,0.598181904,0.615779519,0.591178421,0.640281961,0.565597225,0.604865143
0.612478274,0.591011149,0.644089056,0.59639896,0.614404663,0.599156347,0.616117779,0.591301752,0.641045432,0.565688291,0.606049622
0.613324049,0.592141512,0.645188646,0.596052705,0.614715894,0.600946493,0.61735361,0.591437028,0.641626036,0.565734467,0.606483476
0.614948926,0.593183344,0.645013222,0.5962431,0.613901997,0.601334796,0.618110763,0.591898339,0.641864639,0.565807614,0.60711811
0.613995465,0.594953823,0.646127273,0.597281136,0.615571928,0.602215045,0.619103847,0.592369564,0.641699658,0.565820254,0.607335303
0.615031407,0.596502031,0.646160395,0.598407787,0.616213477,0.602586959,0.620161296,0.592429919,0.642992201,0.565927804,0.606523753
0.616327758,0.598483441,0.647015358,0.598336139,0.617579838,0.603262816,0.620275987,0.591721961,0.64374297,0.566052992,0.606837199
0.616569262,0.599080262,0.646444275,0.599053018,0.617611608,0.604222356,0.62107429,0.592763754,0.643025364,0.566129188,0.606714962
0.616523834,0.600507872,0.647776832,0.600841592,0.617907983,0.605069795,0.621823323,0.593248399,0.644418992,0.566330932,0.607255077
0.617679732,0.600845169,0.647821155,0.602013817,0.618476822,0.604508447,0.622331995,0.593330734,0.64438416,0.568836646,0.608547091
0.617826868,0.602052242,0.648327052,0.601606929,0.619103792,0.605257543,0.623468116,0.594469721,0.644962723,0.572736614,0.60888634
0.619136152,0.60292742,0.648656325,0.602228338,0.617936704,0.606032117,0.624280772,0.594724315,0.645717716,0.575338594,0.609508351
0.620556027,0.604254697,0.648632565,0.602869483,0.618595886,0.606257032,0.624243201,0.595466152,0.646347914,0.576284032,0.609883842
0.621014551,0.605671094,0.649126469,0.603360998,0.617718765,0.606586252,0.624511501,0.596646612,0.646674328,0.577064795,0.610207277
0.621861146,0.60638501,0.648766696,0.604758062,0.618256263,0.607133976,0.625325204,0.596854795,0.647123664,0.577713439,0.610593815
0.621849951,0.608212956,0.64995491,0.605841669,0.618717017,0.608257932,0.62565945,0.59683296,0.647254199,0.577752604,0.611001547
