Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.217753408,0.217753408,0.217753408,0.217753408,0.217753408,0.217753408,0.217753408,0.217753408,0.217753408,0.219413159,0.221786512
0.216641968,0.217412567,0.212551867,0.217442205,0.217516301,0.217012448,0.217286603,0.217686722,0.213315056,0.219353883,0.219278647
0.215723177,0.217323651,0.21044013,0.216930943,0.216390041,0.216893894,0.216160344,0.216671606,0.21062537,0.219349649,0.217933519
0.215167457,0.21716064,0.208609959,0.2160492,0.215537937,0.21585655,0.21530083,0.216508595,0.208735922,0.219315776,0.217431946
0.214685833,0.217042087,0.206609366,0.215367516,0.214893302,0.2147377,0.214596918,0.216478957,0.207683758,0.219345415,0.217021568
0.213737404,0.216953171,0.205846177,0.214982217,0.214241257,0.214248666,0.214070836,0.215989923,0.206809425,0.219345415,0.21679358
0.21287048,0.21679757,0.205090397,0.214248666,0.213818909,0.213900415,0.213092768,0.215737996,0.206053646,0.219379287,0.216383202
0.212144339,0.216871666,0.203430646,0.213692946,0.213463248,0.212996443,0.21194428,0.215241553,0.204838471,0.219383521,0.216451598
0.21194428,0.216775341,0.203008299,0.213581802,0.212766746,0.212581506,0.211684944,0.215063723,0.205023711,0.219413159,0.216246409
0.211277416,0.21679016,0.20223029,0.213033491,0.212714878,0.211633076,0.210499407,0.21455987,0.20410492,0.219430096,0.216200812
0.210603142,0.216945762,0.201756076,0.212196206,0.212440723,0.21138856,0.210203023,0.21417457,0.203275044,0.219430096,0.216018421
0.210521636,0.216879075,0.200570539,0.21156639,0.21156639,0.210795791,0.209580616,0.213648488,0.20243035,0.219408925,0.215813232
0.20951393,0.2169754,0.199607291,0.211544161,0.211551571,0.210306758,0.209098992,0.213389152,0.201748666,0.219396223,0.216018421
0.208906343,0.21660492,0.198829283,0.210981031,0.210862478,0.209713989,0.208728512,0.213026082,0.201170717,0.219404691,0.216132415
0.208780379,0.216449318,0.19888115,0.210943983,0.21006965,0.209313871,0.208409899,0.213152045,0.200985477,0.219396223,0.216064019
0.208706283,0.215975104,0.198066094,0.210462359,0.209958506,0.20895821,0.207728216,0.212596325,0.200200059,0.219413159,0.214673294
0.208291346,0.215367516,0.197777119,0.209951097,0.209632484,0.208528453,0.207476289,0.212566686,0.199614701,0.219442798,0.212325019
0.207787493,0.215397155,0.197465916,0.209284232,0.209684351,0.207994961,0.206979846,0.212529638,0.199370184,0.21947667,0.212051434
0.207135448,0.215130409,0.197258447,0.209047125,0.209291642,0.207683758,0.206372258,0.212136929,0.199429461,0.219502075,0.211595458
0.207313278,0.214826615,0.197169532,0.209091583,0.208913752,0.207580024,0.206327801,0.211262596,0.198814464,0.219493607,0.21045552
0.206994665,0.214256076,0.196710136,0.208735922,0.208654416,0.207076171,0.205986959,0.211181091,0.198414345,0.219472436,0.210865898
0.206438945,0.213952282,0.196132187,0.208232069,0.208454357,0.207053942,0.205512745,0.210877297,0.198288382,0.2194555,0.210523916
0.206187018,0.213633669,0.195724659,0.208113515,0.208165382,0.206831654,0.205283047,0.210780972,0.197740071,0.219438564,0.210136337
