Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.264242055,0.264242055,0.264242055,0.264242055,0.264242055,0.264242055,0.264242055,0.264242055,0.264242055,0.257633599,0.255531835
0.269742245,0.266596553,0.287839406,0.265208731,0.267293254,0.266468729,0.266832932,0.263739585,0.291520045,0.257059856,0.26787629
0.271141758,0.26706002,0.297539096,0.266538897,0.27184202,0.270387331,0.271382659,0.265722995,0.306644645,0.25706579,0.2739891
0.275392437,0.267793009,0.304520305,0.26878029,0.275663917,0.276110636,0.275514326,0.265427356,0.317473389,0.257080679,0.27580851
0.278690221,0.26831479,0.311547148,0.270305808,0.279416158,0.282420891,0.278804191,0.265443953,0.322739411,0.257062936,0.277465256
0.28214459,0.268048744,0.315059323,0.271884409,0.282590025,0.285921375,0.28179647,0.26675977,0.327781707,0.257059111,0.27839483
0.284588703,0.26806446,0.317513537,0.275603539,0.283700718,0.288223066,0.285475445,0.267481904,0.331658662,0.257036893,0.279301646
0.287265015,0.268142346,0.32191665,0.276777137,0.284919043,0.293225769,0.289089169,0.269706946,0.335756808,0.257027277,0.279409295
0.288954591,0.268151324,0.324460134,0.276947663,0.286080274,0.295537805,0.290026103,0.270510027,0.336656308,0.257002084,0.2799131
0.291021333,0.268133543,0.326764122,0.278504051,0.286605515,0.297890158,0.293669834,0.271913686,0.340025632,0.256985913,0.280134325
0.292777182,0.267881718,0.327794877,0.280572442,0.288350763,0.298280323,0.295844953,0.273204518,0.340896121,0.256979229,0.280515955
0.293968045,0.26825005,0.331103043,0.28217631,0.291742106,0.299512266,0.29776785,0.273266602,0.344038159,0.256983812,0.281042044
0.297386515,0.268666779,0.334205601,0.283141538,0.291558782,0.302317482,0.300385759,0.274854047,0.34619408,0.256990101,0.280678053
0.299123727,0.270613899,0.336122684,0.284800987,0.292693523,0.303774769,0.301801406,0.276346072,0.348023263,0.256981015,0.280363901
0.300416486,0.272004246,0.336990853,0.284866104,0.294669937,0.304256796,0.303022634,0.277484074,0.348817333,0.256981524,0.28050099
0.300790744,0.274836608,0.338092068,0.287234776,0.295006545,0.304666,0.305307077,0.278610926,0.350655126,0.256968341,0.289275415
0.301689343,0.278467679,0.339820788,0.288796935,0.296200136,0.306088014,0.306654666,0.279037025,0.3517883,0.256951601,0.294715154
0.303742537,0.280490595,0.341037928,0.292679936,0.29653341,0.307719722,0.308246277,0.278922053,0.352319237,0.256928042,0.295337537
0.305860525,0.282607411,0.342261706,0.292716549,0.297968697,0.308590539,0.310335401,0.280422107,0.353225698,0.25691646,0.296638242
0.306275637,0.283625375,0.342363499,0.292813258,0.298600988,0.308673819,0.310957745,0.282386559,0.353776881,0.256922998,0.299387964
0.307059365,0.284997899,0.34292503,0.293656217,0.299599716,0.309849586,0.312206998,0.282058058,0.354693371,0.256935966,0.29924685
0.307914409,0.287858446,0.343721676,0.294304726,0.299903454,0.310622439,0.313128743,0.282296586,0.356058715,0.256950664,0.299937274
0.30884502,0.289696735,0.34571871,0.294497192,0.301753039,0.311961234,0.313901451,0.281697457,0.356840772,0.256964245,0.30075381
0.309700372,0.291516123,0.347592368,0.294320869,0.302490468,0.313916223,0.3146798,0.282264087,0.357397033,0.25696931,0.301094052
0.311309047,0.292778325,0.348938538,0.294665126,0.301539323,0.314957037,0.315039266,0.282926419,0.358424961,0.256982275,0.301303446
0.310881798,0.294247934,0.35110227,0.295514281,0.303157425,0.316577895,0.316794203,0.283283107,0.357891087,0.256982334,0.301490302
0.312166524,0.295874789,0.352091198,0.296937288,0.304218779,0.316618843,0.317903635,0.283599939,0.360372154,0.25698735,0.301308619
0.313742445,0.29818694,0.354092518,0.297077903,0.305314228,0.317726936,0.318325311,0.283466758,0.360966402,0.257002985,0.301534098
0.314757881,0.298909677,0.354007852,0.297977911,0.305804388,0.319225334,0.319292558,0.284204111,0.360635,0.257010186,0.301435258
0.315276517,0.300081049,0.355099896,0.300467265,0.306014599,0.32052551,0.32034635,0.285145208,0.36229804,0.257030446,0.301655669
0.315462298,0.301296441,0.356488471,0.301416034,0.306923987,0.319957767,0.321434923,0.285270657,0.362862621,0.259158112,0.302534129
0.315856056,0.30258547,0.356771413,0.301165767,0.307887431,0.321246595,0.32281144,0.286625265,0.364485464,0.261463571,0.302763169
0.3169328,0.30386444,0.357856255,0.301915811,0.306801332,0.321911965,0.323572799,0.286639345,0.364879705,0.262801649,0.302891644
0.318157326,0.305283909,0.359132229,0.302144629,0.307742553,0.322228359,0.324152772,0.286939449,0.365619434,0.263436175,0.303367431
0.318488203,0.30719134,0.360146381,0.303207959,0.307309142,0.322909203,0.323601079,0.288083373,0.366358177,0.263971347,0.303386396
0.320361718,0.308570246,0.360264247,0.304588996,0.308210977,0.323952098,0.32502301,0.288580507,0.366966914,0.264335714,0.303596448
0.320280726,0.311234375,0.362868065,0.306483127,0.308263555,0.325193352,0.326441031,0.288069108,0.367058306,0.264440025,0.303833127
0.321410501,0.311567463,0.362702196,0.30690363,0.307898082,0.326400627,0.326577605,0.288952426,0.36760392,0.264539781,0.303973461
0.322551536,0.312601294,0.363584647,0.307377165,0.308909397,0.327681731,0.327135081,0.289372652,0.367929407,0.264600773,0.304662629
0.323509911,0.314014286,0.364634715,0.307594665,0.309345692,0.328947255,0.327569909,0.290026798,0.368154996,0.265132845,0.304945098
0.323704768,0.315374881,0.364401637,0.308388658,0.310479652,0.32923877,0.328152756,0.289694658,0.368284126,0.265226547,0.305185564
0.324395833,0.317086485,0.36551869,0.309596932,0.311601747,0.331224124,0.328506024,0.290277672,0.368792556,0.265462616,0.305387493
0.324568315,0.318387958,0.366349649,0.309879803,0.311982381,0.331423695,0.330180616,0.291288618,0.369179356,0.265472797,0.305456675
0.325531016,0.319371747,0.367117391,0.310887292,0.312041698,0.332899553,0.330497879,0.29221212,0.370037458,0.265505975,0.305614421
0.326143758,0.320422006,0.367687424,0.311927696,0.312636786,0.333459597,0.331138411,0.292681461,0.370859639,0.265402393,0.305881736
0.326885509,0.322945044,0.368146428,0.3130291,0.313004129,0.334456172,0.331937241,0.293603363,0.370658176,0.268597218,0.307051099
0.327024568,0.323566131,0.368833809,0.312788704,0.313048396,0.334243221,0.332380608,0.294033098,0.371036935,0.272452596,0.30730405
0.328293267,0.32520405,0.369293047,0.313524346,0.31321704,0.334895693,0.333081816,0.294312604,0.37170203,0.274655466,0.307581924
0.330186739,0.326231247,0.36944577,0.314058705,0.313828536,0.336100727,0.334395588,0.294332827,0.371134798,0.275697705,0.307286851
0.330811424,0.326717144,0.369862348,0.314124386,0.314018594,0.337109508,0.335127522,0.294454088,0.371924181,0.277019015,0.307640634
0.331156916,0.328181453,0.371112567,0.315493243,0.313767613,0.337881626,0.335179936,0.295189803,0.371785093,0.276619357,0.307705538
0.331292815,0.32889284,0.371643785,0.315208715,0.313786147,0.339665601,0.3359854,0.295572067,0.372090171,0.276867147,0.307639226
0.331865376,0.330228777,0.371627391,0.316953473,0.314782555,0.341002592,0.336179912,0.295943553,0.372916352,0.276931838,0.307470465
0.332556828,0.330803203,0.372459226,0.318354592,0.315317895,0.341365288,0.337050677,0.296035153,0.373731141,0.277484127,0.307501457
0.332644323,0.332567126,0.37316492,0.318210398,0.314942069,0.341826196,0.337298719,0.296320112,0.373861409,0.277844229,0.307662916
0.332870766,0.333518572,0.373435076,0.320029172,0.316409871,0.342568369,0.337745146,0.298485128,0.3737435,0.277796487,0.307516654
0.334595202,0.334326167,0.373104885,0.319596661,0.317150006,0.343071575,0.338360566,0.297724397,0.374046587,0.277899558,0.307396947
